pathway	Desmarestia_herbacea_m_completion_rate	Fragilariopsis_cylindrus_completion_rate	Laminarionema_elsbetiae_completion_rate	Thalassiosira_pseudonana_completion_rate	Fucus_serratus_MALE_completion_rate	Ectocarpus_crouaniorum_m_completion_rate	Ectocarpus_species7_completion_rate	Phaeodactylum_tricornutum_completion_rate	Ectocarpus_fasciculatus_m_completion_rate	Nemacystus_decipiens_completion_rate	Fistulifera_solaris_completion_rate	Saccharina_latissima_FEMALE_completion_rate	Nannochloropsis_gaditana_completion_rate	Ectocarpus_siliculosus_m_completion_rate	Dictyota_dichotoma_m_completion_rate	Scytosiphon_promiscuus_MALE_completion_rate	Pleurocladia_lacustris_completion_rate	Chordaria_linearis_completion_rate	Porterinema_fluviatile_completion_rate	Saccharina_japonica_completion_rate	Schizocladia_ischiensis_completion_rate	Undaria_pinnatifida_Kr2015_completion_rate	Ectocarpus_subulatus_completion_rate	Cladosiphon_okamuranus_completion_rate	Desmarestia_herbacea_m_rxn_assoc (sep=;)	Fragilariopsis_cylindrus_rxn_assoc (sep=;)	Laminarionema_elsbetiae_rxn_assoc (sep=;)	Thalassiosira_pseudonana_rxn_assoc (sep=;)	Fucus_serratus_MALE_rxn_assoc (sep=;)	Ectocarpus_crouaniorum_m_rxn_assoc (sep=;)	Ectocarpus_species7_rxn_assoc (sep=;)	Phaeodactylum_tricornutum_rxn_assoc (sep=;)	Ectocarpus_fasciculatus_m_rxn_assoc (sep=;)	Nemacystus_decipiens_rxn_assoc (sep=;)	Fistulifera_solaris_rxn_assoc (sep=;)	Saccharina_latissima_FEMALE_rxn_assoc (sep=;)	Nannochloropsis_gaditana_rxn_assoc (sep=;)	Ectocarpus_siliculosus_m_rxn_assoc (sep=;)	Dictyota_dichotoma_m_rxn_assoc (sep=;)	Scytosiphon_promiscuus_MALE_rxn_assoc (sep=;)	Pleurocladia_lacustris_rxn_assoc (sep=;)	Chordaria_linearis_rxn_assoc (sep=;)	Porterinema_fluviatile_rxn_assoc (sep=;)	Saccharina_japonica_rxn_assoc (sep=;)	Schizocladia_ischiensis_rxn_assoc (sep=;)	Undaria_pinnatifida_Kr2015_rxn_assoc (sep=;)	Ectocarpus_subulatus_rxn_assoc (sep=;)	Cladosiphon_okamuranus_rxn_assoc (sep=;)
PWY4FS-8	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667	PHOSPHAGLYPSYN-RXN;PGPPHOSPHA-RXN;PWY-5667
PWY-5800	1/3		1/3		1/3					1/3						1/3	1/3	1/3		1/3	1/3	1/3	1/3	1/3	RXN-9104		RXN-9104		RXN-9104					RXN-9104						RXN-9104	RXN-9104	RXN-9104		RXN-9104	RXN-9104	RXN-9104	RXN-9104	RXN-9104
2PHENDEG-PWY	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN	AMINEPHEN-RXN
PWY-5905	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	2/5	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;RXN-13416;RXN-13415;RXN-13417;DEOXYHYPUSINE-MONOOXYGENASE-RXN	RXN-13414;DEOXYHYPUSINE-MONOOXYGENASE-RXN
TYRSYN	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	3/3	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN;TYROSINE-AMINOTRANSFERASE-RXN;CHORISMATEMUT-RXN
PWY-6309	4/20	5/20	5/20	4/20	5/20	5/20	5/20	5/20	5/20	7/20	5/20	5/20	11/20	5/20	5/20	5/20	5/20	5/20	5/20	6/20	4/20	4/20	5/20	5/20	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665;PWY-5652;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;RXN-10721;2.6.1.7-RXN;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	ARYLFORMAMIDASE-RXN;PWY-5651;PWY-5652;KYNURENINE-3-MONOOXYGENASE-RXN	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;RXN-10721;2.6.1.7-RXN;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;PWY-5651;1.13.11.6-RXN;3-HYDROXY-KYNURENINASE-RXN;KYNURENINASE-RXN	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;RXN-10721;2.6.1.7-RXN;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-10722;RXN-10720;PWY-5652;RXN-10721;2.6.1.7-RXN;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651;3-HYDROXY-KYNURENINASE-RXN;KYNURENINASE-RXN	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-10723;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665;PWY-5652;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-8665;PWY-5652;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;PWY-5652;ARYLFORMAMIDASE-RXN;RXN-8665;PWY-5651	KYNURENINE-3-MONOOXYGENASE-RXN;RXN-10723;PWY-5652;RXN-8665;PWY-5651
PWY-4202	11/17	7/17	11/17	7/17	11/17	11/17	7/17	7/17	11/17	7/17	11/17	1/17	11/17	11/17	11/17	11/17	11/17	11/17	11/17	11/17	11/17	11/17	11/17	11/17	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22336;RXN-22333;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22336;RXN-22333;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22336;RXN-22333;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334	RXN-22336;RXN-22333;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22336;RXN-22333;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-21019	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323	RXN-22337;RXN-22336;RXN-22333;RXN-22324;RXN-22335;RXN-22332;RXN-22329;RXN-21019;RXN-22334;2.1.1.138-RXN;RXN-22323
PWY-2781	1/5	1/5	1/5	1/5		1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274		RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274	RXN0-6274
PWY-6587	1/3	1/3	1/3	2/3	1/3	1/3	1/3	1/3	1/3	1/3	2/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	2/3	1/3	1/3	1/3	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN;PYRUFLAVREDUCT-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN;PYRUFLAVREDUCT-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN;PYRUFLAVREDUCT-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN
GLUTAMATE-SYN2-PWY	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
