original_gene_id	renamed_gene_id
mRNA_D-herbacea_M_contig1.1.1	c_organisms_00001
prot_D-herbacea_M_contig1.1.1	c_organisms_00002
mRNA_D-herbacea_M_contig1.2.1	c_organisms_00003
prot_D-herbacea_M_contig1.2.1	c_organisms_00004
mRNA_D-herbacea_M_contig1.3.1	c_organisms_00005
prot_D-herbacea_M_contig1.3.1	c_organisms_00006
mRNA_D-herbacea_M_contig1.4.1	c_organisms_00007
prot_D-herbacea_M_contig1.4.1	c_organisms_00008
mRNA_D-herbacea_M_contig1.5.1	c_organisms_00009
prot_D-herbacea_M_contig1.5.1	c_organisms_00010
mRNA_D-herbacea_M_contig1.6.1	c_organisms_00011
prot_D-herbacea_M_contig1.6.1	c_organisms_00012
mRNA_D-herbacea_M_contig1.7.1	c_organisms_00013
prot_D-herbacea_M_contig1.7.1	c_organisms_00014
mRNA_D-herbacea_M_contig1.8.1	c_organisms_00015
prot_D-herbacea_M_contig1.8.1	c_organisms_00016
mRNA_D-herbacea_M_contig1.9.1	c_organisms_00017
prot_D-herbacea_M_contig1.9.1	c_organisms_00018
mRNA_D-herbacea_M_contig1.10.1	c_organisms_00019
prot_D-herbacea_M_contig1.10.1	c_organisms_00020
mRNA_D-herbacea_M_contig1.11.1	c_organisms_00021
prot_D-herbacea_M_contig1.11.1	c_organisms_00022
mRNA_D-herbacea_M_contig1.12.1	c_organisms_00023
prot_D-herbacea_M_contig1.12.1	c_organisms_00024
mRNA_D-herbacea_M_contig1.13.1	c_organisms_00025
prot_D-herbacea_M_contig1.13.1	c_organisms_00026
mRNA_D-herbacea_M_contig1.14.1	c_organisms_00027
prot_D-herbacea_M_contig1.14.1	c_organisms_00028
mRNA_D-herbacea_M_contig1.15.1	c_organisms_00029
prot_D-herbacea_M_contig1.15.1	c_organisms_00030
mRNA_D-herbacea_M_contig1.16.1	c_organisms_00031
prot_D-herbacea_M_contig1.16.1	c_organisms_00032
mRNA_D-herbacea_M_contig1.17.1	c_organisms_00033
prot_D-herbacea_M_contig1.17.1	c_organisms_00034
