original_gene_id	renamed_gene_id
mRNA_L-elsbetiae_contig1.1.1	c_organisms_00001
prot_L-elsbetiae_contig1.1.1	c_organisms_00002
mRNA_L-elsbetiae_contig1.2.1	c_organisms_00003
prot_L-elsbetiae_contig1.2.1	c_organisms_00004
mRNA_L-elsbetiae_contig2.5994.1	c_organisms_00005
prot_L-elsbetiae_contig2.5994.1	c_organisms_00006
mRNA_L-elsbetiae_contig2.5995.1	c_organisms_00007
prot_L-elsbetiae_contig2.5995.1	c_organisms_00008
mRNA_L-elsbetiae_contig2.5996.1	c_organisms_00009
prot_L-elsbetiae_contig2.5996.1	c_organisms_00010
mRNA_L-elsbetiae_contig2.5997.1	c_organisms_00011
prot_L-elsbetiae_contig2.5997.1	c_organisms_00012
mRNA_L-elsbetiae_contig2.5998.1	c_organisms_00013
prot_L-elsbetiae_contig2.5998.1	c_organisms_00014
mRNA_L-elsbetiae_contig2.5999.1	c_organisms_00015
prot_L-elsbetiae_contig2.5999.1	c_organisms_00016
mRNA_L-elsbetiae_contig2.6000.1	c_organisms_00017
prot_L-elsbetiae_contig2.6000.1	c_organisms_00018
mRNA_L-elsbetiae_contig2.6001.1	c_organisms_00019
prot_L-elsbetiae_contig2.6001.1	c_organisms_00020
mRNA_L-elsbetiae_contig2.6002.1	c_organisms_00021
prot_L-elsbetiae_contig2.6002.1	c_organisms_00022
mRNA_L-elsbetiae_contig2.6003.1	c_organisms_00023
prot_L-elsbetiae_contig2.6003.1	c_organisms_00024
mRNA_L-elsbetiae_contig2.6004.1	c_organisms_00025
prot_L-elsbetiae_contig2.6004.1	c_organisms_00026
mRNA_L-elsbetiae_contig2.6005.1	c_organisms_00027
prot_L-elsbetiae_contig2.6005.1	c_organisms_00028
mRNA_L-elsbetiae_contig2.6006.1	c_organisms_00029
prot_L-elsbetiae_contig2.6006.1	c_organisms_00030
mRNA_L-elsbetiae_contig2.6007.1	c_organisms_00031
prot_L-elsbetiae_contig2.6007.1	c_organisms_00032
mRNA_L-elsbetiae_contig2.6008.1	c_organisms_00033
prot_L-elsbetiae_contig2.6008.1	c_organisms_00034
mRNA_L-elsbetiae_contig3.9017.1	c_organisms_00035
prot_L-elsbetiae_contig3.9017.1	c_organisms_00036
mRNA_L-elsbetiae_contig3.9018.1	c_organisms_00037
prot_L-elsbetiae_contig3.9018.1	c_organisms_00038
mRNA_L-elsbetiae_contig3.9019.1	c_organisms_00039
prot_L-elsbetiae_contig3.9019.1	c_organisms_00040
mRNA_L-elsbetiae_contig3.9020.1	c_organisms_00041
prot_L-elsbetiae_contig3.9020.1	c_organisms_00042
mRNA_L-elsbetiae_contig3.9021.1	c_organisms_00043
prot_L-elsbetiae_contig3.9021.1	c_organisms_00044
mRNA_L-elsbetiae_contig3.9022.1	c_organisms_00045
prot_L-elsbetiae_contig3.9022.1	c_organisms_00046
mRNA_L-elsbetiae_contig3.9023.1	c_organisms_00047
prot_L-elsbetiae_contig3.9023.1	c_organisms_00048
mRNA_L-elsbetiae_contig3.9024.1	c_organisms_00049
prot_L-elsbetiae_contig3.9024.1	c_organisms_00050
mRNA_L-elsbetiae_contig3.9025.1	c_organisms_00051
prot_L-elsbetiae_contig3.9025.1	c_organisms_00052
mRNA_L-elsbetiae_contig4.11354.1	c_organisms_00053
prot_L-elsbetiae_contig4.11354.1	c_organisms_00054
mRNA_L-elsbetiae_contig4.11355.1	c_organisms_00055
prot_L-elsbetiae_contig4.11355.1	c_organisms_00056
mRNA_L-elsbetiae_contig4.11356.1	c_organisms_00057
prot_L-elsbetiae_contig4.11356.1	c_organisms_00058
mRNA_L-elsbetiae_contig4.11357.1	c_organisms_00059
prot_L-elsbetiae_contig4.11357.1	c_organisms_00060
mRNA_L-elsbetiae_contig4.11358.1	c_organisms_00061
prot_L-elsbetiae_contig4.11358.1	c_organisms_00062
mRNA_L-elsbetiae_contig4.11359.1	c_organisms_00063
prot_L-elsbetiae_contig4.11359.1	c_organisms_00064
mRNA_L-elsbetiae_contig4.11360.1	c_organisms_00065
prot_L-elsbetiae_contig4.11360.1	c_organisms_00066
mRNA_L-elsbetiae_contig5.12996.1	c_organisms_00067
prot_L-elsbetiae_contig5.12996.1	c_organisms_00068
mRNA_L-elsbetiae_contig5.12997.1	c_organisms_00069
prot_L-elsbetiae_contig5.12997.1	c_organisms_00070
mRNA_L-elsbetiae_contig5.12998.1	c_organisms_00071
prot_L-elsbetiae_contig5.12998.1	c_organisms_00072
mRNA_L-elsbetiae_contig5.12999.1	c_organisms_00073
prot_L-elsbetiae_contig5.12999.1	c_organisms_00074
mRNA_L-elsbetiae_contig6.14507.1	c_organisms_00075
prot_L-elsbetiae_contig6.14507.1	c_organisms_00076
mRNA_L-elsbetiae_contig6.14508.1	c_organisms_00077
prot_L-elsbetiae_contig6.14508.1	c_organisms_00078
mRNA_L-elsbetiae_contig6.14509.1	c_organisms_00079
prot_L-elsbetiae_contig6.14509.1	c_organisms_00080
mRNA_L-elsbetiae_contig6.14510.1	c_organisms_00081
prot_L-elsbetiae_contig6.14510.1	c_organisms_00082
mRNA_L-elsbetiae_contig6.14511.1	c_organisms_00083
prot_L-elsbetiae_contig6.14511.1	c_organisms_00084
mRNA_L-elsbetiae_contig6.14512.1	c_organisms_00085
prot_L-elsbetiae_contig6.14512.1	c_organisms_00086
mRNA_L-elsbetiae_contig6.14513.1	c_organisms_00087
prot_L-elsbetiae_contig6.14513.1	c_organisms_00088
mRNA_L-elsbetiae_contig6.14514.1	c_organisms_00089
prot_L-elsbetiae_contig6.14514.1	c_organisms_00090
mRNA_L-elsbetiae_contig6.14515.1	c_organisms_00091
prot_L-elsbetiae_contig6.14515.1	c_organisms_00092
mRNA_L-elsbetiae_contig6.14516.1	c_organisms_00093
prot_L-elsbetiae_contig6.14516.1	c_organisms_00094
mRNA_L-elsbetiae_contig7.15782.1	c_organisms_00095
prot_L-elsbetiae_contig7.15782.1	c_organisms_00096
mRNA_L-elsbetiae_contig7.15783.1	c_organisms_00097
prot_L-elsbetiae_contig7.15783.1	c_organisms_00098
mRNA_L-elsbetiae_contig7.15784.1	c_organisms_00099
prot_L-elsbetiae_contig7.15784.1	c_organisms_00100
mRNA_L-elsbetiae_contig7.15785.1	c_organisms_00101
prot_L-elsbetiae_contig7.15785.1	c_organisms_00102
mRNA_L-elsbetiae_contig7.15786.1	c_organisms_00103
