metabolite	Desmarestia_herbacea_m_rxn_consume	Porterinema_fluviatile_rxn_consume	Ectocarpus_siliculosus_m_rxn_consume	Dictyota_dichotoma_m_rxn_consume	Chordaria_linearis_rxn_consume	Thalassiosira_pseudonana_rxn_consume	Ectocarpus_crouaniorum_m_rxn_consume	Pleurocladia_lacustris_rxn_consume	Ectocarpus_fasciculatus_m_rxn_consume	Fragilariopsis_cylindrus_rxn_consume	Phaeodactylum_tricornutum_rxn_consume	Schizocladia_ischiensis_rxn_consume	Fucus_serratus_MALE_rxn_consume	Fistulifera_solaris_rxn_consume	Saccharina_latissima_FEMALE_rxn_consume	Nannochloropsis_gaditana_rxn_consume	Scytosiphon_promiscuus_MALE_rxn_consume	Desmarestia_herbacea_m_rxn_produce	Porterinema_fluviatile_rxn_produce	Ectocarpus_siliculosus_m_rxn_produce	Dictyota_dichotoma_m_rxn_produce	Chordaria_linearis_rxn_produce	Thalassiosira_pseudonana_rxn_produce	Ectocarpus_crouaniorum_m_rxn_produce	Pleurocladia_lacustris_rxn_produce	Ectocarpus_fasciculatus_m_rxn_produce	Fragilariopsis_cylindrus_rxn_produce	Phaeodactylum_tricornutum_rxn_produce	Schizocladia_ischiensis_rxn_produce	Fucus_serratus_MALE_rxn_produce	Fistulifera_solaris_rxn_produce	Saccharina_latissima_FEMALE_rxn_produce	Nannochloropsis_gaditana_rxn_produce	Scytosiphon_promiscuus_MALE_rxn_produce
1-ALKYL-GLYCERONE-3-PHOSPHATE	RXN-17728	RXN-17728	RXN-17728	RXN-17728	RXN-17728	RXN-17728	RXN-17728	RXN-17728	RXN-17728			RXN-17728	RXN-17728	RXN-17728	RXN-17728		RXN-17728	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN			ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN		ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN		ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN			ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN
ACETYL-ACP	3-OXOACYL-ACP-SYNTH-BASE-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN							3-OXOACYL-ACP-SYNTH-BASE-RXN			3-OXOACYL-ACP-SYNTH-BASE-RXN		3-OXOACYL-ACP-SYNTH-BASE-RXN	ACP-S-ACETYLTRANSFER-RXN	ACP-S-ACETYLTRANSFER-RXN	ACP-S-ACETYLTRANSFER-RXN	ACP-S-ACETYLTRANSFER-RXN	ACP-S-ACETYLTRANSFER-RXN							ACP-S-ACETYLTRANSFER-RXN			ACP-S-ACETYLTRANSFER-RXN		ACP-S-ACETYLTRANSFER-RXN
CPD-334																		RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400	RXN-12861;RXN-21400
CPD-4182																		RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436	RXN-20436		RXN-20436	RXN-20436	RXN-20436
CPD-3708	RXN-14124		RXN-14124												RXN-14124			RXN-14064	RXN-14064	RXN-14064	RXN-14064	RXN-14064		RXN-14064	RXN-14064	RXN-14064						RXN-14064		RXN-14064
DIMETHYLARSINATE																		2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349		2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349			2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349		2.1.1.138-RXN;RXN-22349	2.1.1.138-RXN;RXN-22349
OH-PYR	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	RXN0-300;RXN-21229	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN;GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN;GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN;GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN;GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN
CPD-12367																		RXN-14002	RXN-14002	RXN-14002	RXN-14002	RXN-14002		RXN-14002	RXN-14002	RXN-14002			RXN-14002	RXN-14002		RXN-14002		RXN-14002
CPD-20318	RXN-18936			RXN-18936	RXN-18936		RXN-18936					RXN-18936			RXN-18936																			
L-DIHYDROXY-PHENYLALANINE	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN66-221;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-13061	RXN-10870;RXN-13061;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-10870;RXN-13061;RXN66-221	RXN-10870;RXN-8460	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-13061	RXN-10870;RXN-13061;RXN66-221;RXN-8460	RXN-18895;RXN-5861;RXN-11369;RXN-18894		RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894		RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-11369;TYROSINE-3-MONOOXYGENASE-RXN;RXN-5861;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894		RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894	RXN-18895;RXN-5861;RXN-11369;RXN-18894
