pathway	Desmarestia_herbacea_m_completion_rate	Porterinema_fluviatile_completion_rate	Ectocarpus_siliculosus_m_completion_rate	Dictyota_dichotoma_m_completion_rate	Chordaria_linearis_completion_rate	Thalassiosira_pseudonana_completion_rate	Ectocarpus_crouaniorum_m_completion_rate	Pleurocladia_lacustris_completion_rate	Ectocarpus_fasciculatus_m_completion_rate	Fragilariopsis_cylindrus_completion_rate	Phaeodactylum_tricornutum_completion_rate	Schizocladia_ischiensis_completion_rate	Fucus_serratus_MALE_completion_rate	Fistulifera_solaris_completion_rate	Saccharina_latissima_FEMALE_completion_rate	Nannochloropsis_gaditana_completion_rate	Scytosiphon_promiscuus_MALE_completion_rate	Desmarestia_herbacea_m_rxn_assoc (sep=;)	Porterinema_fluviatile_rxn_assoc (sep=;)	Ectocarpus_siliculosus_m_rxn_assoc (sep=;)	Dictyota_dichotoma_m_rxn_assoc (sep=;)	Chordaria_linearis_rxn_assoc (sep=;)	Thalassiosira_pseudonana_rxn_assoc (sep=;)	Ectocarpus_crouaniorum_m_rxn_assoc (sep=;)	Pleurocladia_lacustris_rxn_assoc (sep=;)	Ectocarpus_fasciculatus_m_rxn_assoc (sep=;)	Fragilariopsis_cylindrus_rxn_assoc (sep=;)	Phaeodactylum_tricornutum_rxn_assoc (sep=;)	Schizocladia_ischiensis_rxn_assoc (sep=;)	Fucus_serratus_MALE_rxn_assoc (sep=;)	Fistulifera_solaris_rxn_assoc (sep=;)	Saccharina_latissima_FEMALE_rxn_assoc (sep=;)	Nannochloropsis_gaditana_rxn_assoc (sep=;)	Scytosiphon_promiscuus_MALE_rxn_assoc (sep=;)
PWY-6163	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	5/5	4/5	5/5	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN;2.5.1.19-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN;CHORISMATE-SYNTHASE-RXN;2.5.1.19-RXN;3-DEHYDROQUINATE-DEHYDRATASE-RXN;SHIKIMATE-KINASE-RXN
PYRIDNUCSYN-PWY	6/6	6/6	6/6	6/6	6/6	5/6	6/6	6/6	6/6	6/6	6/6	6/6	6/6	6/6	5/6	5/6	6/6	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN	QUINOPRIBOTRANS-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;QUINOLINATE-SYNTHA-RXN;NAD-SYNTH-NH3-RXN;L-ASPARTATE-OXID-RXN
PWY3DJ-12	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	2/4	3/4	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN;RXN-7792;SERINE-C-PALMITOYLTRANSFERASE-RXN
PWY-8159	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523	RXN-21524;RXN-21525;RXN-21523
PWY-7619	4/5	4/5	4/5	4/5	4/5		4/5	4/5	4/5			4/5	4/5		4/5		4/5	RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997		RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997			RXN-13441;RXN-13001;RXN-12994;RXN-12997	RXN-13441;RXN-13001;RXN-12994;RXN-12997		RXN-13441;RXN-13001;RXN-12994;RXN-12997		RXN-13441;RXN-13001;RXN-12994;RXN-12997
PWY-8003	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4		1/4	1/4		1/4	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126	RXN-1126		RXN-1126	RXN-1126		RXN-1126
PWY-6369	8/9	8/9	8/9	8/9	8/9	6/9	8/9	8/9	8/9	5/9	6/9	6/9	8/9	6/9	8/9	1/9	8/9	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10972;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10972;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10972;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10972;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10972;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974	RXN-7163	RXN-10971;RXN-10972;2.7.1.152-RXN;RXN-7163;2.7.4.24-RXN;RXN-10979;RXN-10973;RXN-10974
PWY-7839	2/7	2/7	2/7	2/7	2/7		2/7	2/7	2/7			2/7	2/7		1/7		2/7	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119		GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119			GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119		GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN		GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN;RXN-12119
PWY4LZ-257	7/10	7/10	7/10	7/10	7/10	8/10	7/10	7/10	7/10	7/10	6/10	7/10	7/10	9/10	7/10	5/10	7/10	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PYRUVFORMLY-RXN;PWY-5600;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;HYDROG-RXN;ALCOHOL-DEHYDROG-RXN;PWY-5480	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480	PWY-5486;PYRUVFORMLY-RXN;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PYRUVFORMLY-RXN;PWY-5600;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;HYDROG-RXN;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN	PWY-5486;DLACTDEHYDROGNAD-RXN;HYDROG-RXN;ALCOHOL-DEHYDROG-RXN;PWY-5480	PWY-5486;PHOSACETYLTRANS-RXN;DLACTDEHYDROGNAD-RXN;PWY-5600;ALCOHOL-DEHYDROG-RXN;PWY-5480;ACETATEKIN-RXN
PWY-7179-1	1/3	1/3	1/3	1/3	1/3	3/3	1/3	1/3	1/3	3/3	3/3	1/3	1/3	3/3	1/3	3/3	1/3	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN;DEOXYGUANPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN;DEOXYGUANPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	ADDALT-RXN;DEOXYGUANPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	ADDALT-RXN	ADDALT-RXN	ADDALT-RXN;DEOXYGUANPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	ADDALT-RXN	ADDALT-RXN;DEOXYGUANPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	ADDALT-RXN
