	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Laminarionema_elsbetiae	7264	3150	476	399
Desmarestia_dudresnayi	11948	3441	527	446
Heribaudiella_fluviatilis	13875	3665	583	504
Saccorhiza_polyschides_MALE	7982	3174	485	407
Saccorhiza_dermatodea	7745	3039	461	388
Himanthalia_elongata	8424	3066	470	390
Pelvetia_canaliculata	8964	3575	566	496
Fucus_distichus	9052	3202	485	399
Macrocystis_pyrifera_MALE	10919	3969	617	539
Feldmannia_mitchelliae	7785	3210	499	427
Myriotrichia_clavaeformis_FEMALE	8483	3307	500	416
Hapterophycus_canaliculatus_FEMALE	8551	3360	526	454
