	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Ectocarpus_siliculosus_m	8143	3346	528	450
Porterinema_fluviatile	7536	3289	526	448
Saccharina_latissima_FEMALE	7866	3234	513	436
Schizocladia_ischiensis	7910	3326	526	446
Pleurocladia_lacustris	7326	3226	508	433
Chordaria_linearis	7977	3285	522	443
Fucus_serratus_MALE	9374	3241	513	437
Desmarestia_herbacea_m	7659	3287	513	441
Dictyota_dichotoma_m	7954	3228	500	424
Ectocarpus_fasciculatus_m	8278	3281	520	442
Ectocarpus_crouaniorum_m	8268	3319	522	443
Scytosiphon_promiscuus_MALE	8136	3287	519	438
