	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Himanthalia_elongata	8424	3066	470	390
Hapterophycus_canaliculatus_FEMALE	8551	3360	526	454
Saccorhiza_dermatodea	7745	3039	461	388
Laminarionema_elsbetiae	7264	3150	476	399
Heribaudiella_fluviatilis	13875	3665	583	504
Pelvetia_canaliculata	8964	3575	566	496
Desmarestia_dudresnayi	11948	3441	527	446
Myriotrichia_clavaeformis_FEMALE	8483	3307	500	416
Fucus_distichus	9052	3202	485	399
Feldmannia_mitchelliae	7785	3210	499	427
Saccorhiza_polyschides_MALE	7982	3174	485	407
Macrocystis_pyrifera_MALE	10919	3969	617	539
