	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Porterinema_fluviatile	2685	2295	380	313
Schizocladia_ischiensis	3059	2321	370	307
Scytosiphon_promiscuus_MALE	2916	2331	388	320
Ectocarpus_siliculosus_m	2834	2388	386	316
Chordaria_linearis	2860	2348	388	318
Pleurocladia_lacustris	2576	2203	365	297
Ectocarpus_crouaniorum_m	2977	2384	382	312
Ectocarpus_fasciculatus_m	2941	2295	376	309
Desmarestia_herbacea_m	2808	2322	375	311
Saccharina_latissima_FEMALE	2837	2288	368	298
Dictyota_dichotoma_m	2893	2277	366	301
Fucus_serratus_MALE	3398	2324	379	311
