	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Laminarionema_elsbetiae	2629	2216	320	262
Desmarestia_dudresnayi	5048	2532	385	323
Heribaudiella_fluviatilis	6032	2706	446	375
Saccorhiza_polyschides_MALE	3000	2226	343	277
Saccorhiza_dermatodea	3031	2121	324	258
Himanthalia_elongata	3131	2104	331	262
Pelvetia_canaliculata	3917	2741	435	384
Fucus_distichus	3622	2268	342	266
Macrocystis_pyrifera_MALE	5184	3110	494	420
Feldmannia_mitchelliae	2890	2271	361	292
Myriotrichia_clavaeformis_FEMALE	3156	2344	377	309
Hapterophycus_canaliculatus_FEMALE	3151	2435	381	322
