	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Porterinema_fluviatile	7392	2768	455	382
Schizocladia_ischiensis	7742	2798	446	372
Scytosiphon_promiscuus_MALE	7972	2773	455	379
Ectocarpus_siliculosus_m	7985	2837	457	382
Chordaria_linearis	7818	2789	455	380
Pleurocladia_lacustris	7172	2695	440	367
Ectocarpus_crouaniorum_m	8114	2833	453	379
Ectocarpus_fasciculatus_m	8111	2760	452	379
Desmarestia_herbacea_m	7518	2784	450	377
Saccharina_latissima_FEMALE	7715	2767	448	371
Dictyota_dichotoma_m	7784	2732	436	362
Fucus_serratus_MALE	9138	2751	450	375
