	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Laminarionema_elsbetiae	7103	2682	402	334
Desmarestia_dudresnayi	11668	2928	458	380
Heribaudiella_fluviatilis	13595	3160	508	429
Saccorhiza_polyschides_MALE	7762	2659	411	333
Saccorhiza_dermatodea	7534	2554	394	323
Himanthalia_elongata	8199	2537	402	320
Pelvetia_canaliculata	8806	3159	501	435
Fucus_distichus	8843	2692	407	325
Macrocystis_pyrifera_MALE	10695	3506	548	471
Feldmannia_mitchelliae	7632	2703	428	358
Myriotrichia_clavaeformis_FEMALE	8313	2809	448	370
Hapterophycus_canaliculatus_FEMALE	8373	2863	457	387
