	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Porterinema_fluviatile	7534	3287	526	447
Schizocladia_ischiensis	7907	3316	524	445
Scytosiphon_promiscuus_MALE	8135	3282	519	438
Ectocarpus_siliculosus_m	8142	3345	528	450
Chordaria_linearis	7975	3282	521	442
Pleurocladia_lacustris	7321	3212	504	428
Ectocarpus_crouaniorum_m	8266	3315	517	441
Ectocarpus_fasciculatus_m	8272	3275	516	439
Desmarestia_herbacea_m	7658	3286	513	441
Saccharina_latissima_FEMALE	7851	3201	507	429
Dictyota_dichotoma_m	7954	3228	500	424
Fucus_serratus_MALE	9373	3240	513	437
