id_contig	#gene	#CDS	#b
E-siliculosus-1a_M_contig1	329	329	2973443
E-siliculosus-1a_M_contig2	290	290	2875127
E-siliculosus-1a_M_contig3	234	234	2619432
E-siliculosus-1a_M_contig4	286	286	2584853
E-siliculosus-1a_M_contig5	285	285	2423474
E-siliculosus-1a_M_contig6	263	263	2264674
E-siliculosus-1a_M_contig7	204	204	2246063
E-siliculosus-1a_M_contig8	191	191	2183184
E-siliculosus-1a_M_contig9	182	182	2168042
E-siliculosus-1a_M_contig10	231	231	2160206
E-siliculosus-1a_M_contig11	215	215	2028398
E-siliculosus-1a_M_contig12	178	178	1958067
E-siliculosus-1a_M_contig13	163	163	1848566
E-siliculosus-1a_M_contig14	212	212	1823392
E-siliculosus-1a_M_contig15	189	189	1809018
E-siliculosus-1a_M_contig16	148	148	1794635
E-siliculosus-1a_M_contig17	192	192	1704711
E-siliculosus-1a_M_contig18	163	163	1700296
E-siliculosus-1a_M_contig19	158	158	1682382
E-siliculosus-1a_M_contig20	170	170	1657119
E-siliculosus-1a_M_contig21	153	153	1646838
E-siliculosus-1a_M_contig22	125	125	1623438
E-siliculosus-1a_M_contig23	140	140	1622007
E-siliculosus-1a_M_contig24	154	154	1579792
E-siliculosus-1a_M_contig25	147	147	1574891
E-siliculosus-1a_M_contig26	136	136	1555677
E-siliculosus-1a_M_contig27	146	146	1491725
E-siliculosus-1a_M_contig28	128	128	1491191
E-siliculosus-1a_M_contig29	130	130	1378122
E-siliculosus-1a_M_contig30	131	131	1376129
E-siliculosus-1a_M_contig31	152	152	1367131
E-siliculosus-1a_M_contig32	136	136	1354777
E-siliculosus-1a_M_contig33	95	95	1347270
E-siliculosus-1a_M_contig34	119	119	1335743
E-siliculosus-1a_M_contig35	99	99	1307994
E-siliculosus-1a_M_contig36	97	97	1301164
E-siliculosus-1a_M_contig37	142	142	1245580
E-siliculosus-1a_M_contig38	134	134	1227314
E-siliculosus-1a_M_contig39	166	166	1217467
E-siliculosus-1a_M_contig40	90	90	1149447
E-siliculosus-1a_M_contig41	121	121	1142087
E-siliculosus-1a_M_contig42	117	117	1135875
E-siliculosus-1a_M_contig43	109	109	1128346
E-siliculosus-1a_M_contig44	80	80	1112534
E-siliculosus-1a_M_contig45	98	98	1111635
E-siliculosus-1a_M_contig46	112	112	1107647
E-siliculosus-1a_M_contig47	123	123	1106662
E-siliculosus-1a_M_contig48	83	83	1087100
E-siliculosus-1a_M_contig49	84	84	1075970
E-siliculosus-1a_M_contig50	102	102	1069245
E-siliculosus-1a_M_contig51	80	80	1026052
E-siliculosus-1a_M_contig52	87	87	1019015
E-siliculosus-1a_M_contig53	98	98	1011395
E-siliculosus-1a_M_contig54	81	81	1010594
E-siliculosus-1a_M_contig55	86	86	991192
E-siliculosus-1a_M_contig56	110	110	975512
E-siliculosus-1a_M_contig57	108	108	972287
E-siliculosus-1a_M_contig58	93	93	972186
E-siliculosus-1a_M_contig59	107	107	962682
E-siliculosus-1a_M_contig60	80	80	953462
E-siliculosus-1a_M_contig61	74	74	949606
E-siliculosus-1a_M_contig62	89	89	944525
E-siliculosus-1a_M_contig63	80	80	930284
E-siliculosus-1a_M_contig64	107	107	927213
E-siliculosus-1a_M_contig65	72	72	892686
E-siliculosus-1a_M_contig66	77	77	892566
E-siliculosus-1a_M_contig67	74	74	882552
E-siliculosus-1a_M_contig68	103	103	880261
E-siliculosus-1a_M_contig69	76	76	854268
E-siliculosus-1a_M_contig70	49	49	852574
E-siliculosus-1a_M_contig71	69	69	850849
E-siliculosus-1a_M_contig72	91	91	847380
E-siliculosus-1a_M_contig73	78	78	821913
E-siliculosus-1a_M_contig74	52	52	808706
E-siliculosus-1a_M_contig75	92	92	803573
E-siliculosus-1a_M_contig76	92	92	795995
E-siliculosus-1a_M_contig77	59	59	790658
E-siliculosus-1a_M_contig78	65	65	790541
E-siliculosus-1a_M_contig79	80	80	785989
E-siliculosus-1a_M_contig80	77	77	770754
E-siliculosus-1a_M_contig81	57	57	750761
E-siliculosus-1a_M_contig82	86	86	748292
E-siliculosus-1a_M_contig83	66	66	743122
E-siliculosus-1a_M_contig84	57	57	737100
E-siliculosus-1a_M_contig85	48	48	726492
E-siliculosus-1a_M_contig86	77	77	714015
E-siliculosus-1a_M_contig87	75	75	698771
E-siliculosus-1a_M_contig88	66	66	698716
E-siliculosus-1a_M_contig89	61	61	697928
E-siliculosus-1a_M_contig90	73	73	692090
E-siliculosus-1a_M_contig91	63	63	691142
E-siliculosus-1a_M_contig92	74	74	680598
E-siliculosus-1a_M_contig93	69	69	673388
E-siliculosus-1a_M_contig94	72	72	672752
E-siliculosus-1a_M_contig95	78	78	666701
E-siliculosus-1a_M_contig96	79	79	658879
E-siliculosus-1a_M_contig97	51	51	657683
E-siliculosus-1a_M_contig98	57	57	655375
E-siliculosus-1a_M_contig99	56	56	641832
E-siliculosus-1a_M_contig100	68	68	630551
E-siliculosus-1a_M_contig101	49	49	624667
E-siliculosus-1a_M_contig102	52	52	615603
E-siliculosus-1a_M_contig103	51	51	605575
E-siliculosus-1a_M_contig104	66	66	602557
E-siliculosus-1a_M_contig105	51	51	600975
E-siliculosus-1a_M_contig106	61	61	592910
E-siliculosus-1a_M_contig107	68	68	587384
E-siliculosus-1a_M_contig108	29	29	587179
E-siliculosus-1a_M_contig109	49	49	584626
E-siliculosus-1a_M_contig110	56	56	579598
E-siliculosus-1a_M_contig111	35	35	577046
E-siliculosus-1a_M_contig112	52	52	568521
E-siliculosus-1a_M_contig113	37	37	566866
E-siliculosus-1a_M_contig114	55	55	566438
E-siliculosus-1a_M_contig115	70	70	555206
E-siliculosus-1a_M_contig116	62	62	553233
E-siliculosus-1a_M_contig117	41	41	548141
E-siliculosus-1a_M_contig118	50	50	541689
E-siliculosus-1a_M_contig119	48	48	536045
E-siliculosus-1a_M_contig120	68	68	532593
E-siliculosus-1a_M_contig121	28	28	522949
E-siliculosus-1a_M_contig122	62	62	517315
E-siliculosus-1a_M_contig123	51	51	511181
E-siliculosus-1a_M_contig124	45	45	475103
E-siliculosus-1a_M_contig125	48	48	464425
E-siliculosus-1a_M_contig126	31	31	461449
E-siliculosus-1a_M_contig127	40	40	461112
E-siliculosus-1a_M_contig128	42	42	458818
E-siliculosus-1a_M_contig129	39	39	452733
E-siliculosus-1a_M_contig130	31	31	450928
E-siliculosus-1a_M_contig131	33	33	448898
E-siliculosus-1a_M_contig132	44	44	444087
