id_contig	#gene	#CDS	#b
F-mitchelliae_contig1	11	11	218759
F-mitchelliae_contig2	20	20	208128
F-mitchelliae_contig3	24	24	187446
F-mitchelliae_contig4	20	20	184786
F-mitchelliae_contig5	9	9	183145
F-mitchelliae_contig6	17	17	176989
F-mitchelliae_contig7	20	20	174547
F-mitchelliae_contig8	16	16	173003
F-mitchelliae_contig9	12	12	171855
F-mitchelliae_contig10	22	22	169886
F-mitchelliae_contig11	11	11	165225
F-mitchelliae_contig12	17	17	164039
F-mitchelliae_contig13	13	13	163422
F-mitchelliae_contig14	10	10	157060
F-mitchelliae_contig15	21	21	152890
F-mitchelliae_contig16	15	15	149224
F-mitchelliae_contig17	7	7	141049
F-mitchelliae_contig18	7	7	140971
F-mitchelliae_contig19	8	8	138763
F-mitchelliae_contig20	6	6	135753
F-mitchelliae_contig21	12	12	130216
F-mitchelliae_contig22	11	11	129726
F-mitchelliae_contig23	12	12	129262
F-mitchelliae_contig24	5	5	128806
F-mitchelliae_contig25	10	10	127999
F-mitchelliae_contig26	17	17	127852
F-mitchelliae_contig27	11	11	127782
F-mitchelliae_contig28	7	7	126670
F-mitchelliae_contig29	12	12	126586
F-mitchelliae_contig30	7	7	126454
F-mitchelliae_contig31	9	9	126100
F-mitchelliae_contig32	11	11	125570
F-mitchelliae_contig33	12	12	124495
F-mitchelliae_contig34	17	17	123978
F-mitchelliae_contig35	8	8	121980
F-mitchelliae_contig36	9	9	119123
F-mitchelliae_contig37	7	7	118648
F-mitchelliae_contig38	5	5	117797
F-mitchelliae_contig39	17	17	116086
F-mitchelliae_contig40	8	8	115799
F-mitchelliae_contig41	13	13	115675
F-mitchelliae_contig42	6	6	115190
F-mitchelliae_contig43	11	11	115051
F-mitchelliae_contig44	4	4	114556
F-mitchelliae_contig45	10	10	114390
F-mitchelliae_contig46	11	11	113425
F-mitchelliae_contig47	7	7	112847
F-mitchelliae_contig48	11	11	112025
F-mitchelliae_contig49	7	7	111794
F-mitchelliae_contig50	7	7	111617
F-mitchelliae_contig51	7	7	111451
F-mitchelliae_contig52	9	9	110883
F-mitchelliae_contig53	7	7	110568
F-mitchelliae_contig54	5	5	110040
F-mitchelliae_contig55	9	9	109311
F-mitchelliae_contig56	12	12	108764
F-mitchelliae_contig57	8	8	108314
F-mitchelliae_contig58	7	7	107709
F-mitchelliae_contig59	14	14	106863
F-mitchelliae_contig60	10	10	106567
F-mitchelliae_contig61	9	9	106033
F-mitchelliae_contig62	8	8	105901
F-mitchelliae_contig63	12	12	105762
F-mitchelliae_contig64	10	10	105594
F-mitchelliae_contig65	17	17	105411
F-mitchelliae_contig66	11	11	105391
F-mitchelliae_contig67	9	9	104551
F-mitchelliae_contig68	13	13	103972
F-mitchelliae_contig69	6	6	103960
F-mitchelliae_contig70	6	6	103781
F-mitchelliae_contig71	6	6	103151
F-mitchelliae_contig72	9	9	102925
F-mitchelliae_contig73	5	5	102841
F-mitchelliae_contig74	12	12	102190
F-mitchelliae_contig75	9	9	101900
F-mitchelliae_contig76	7	7	100996
F-mitchelliae_contig77	8	8	100031
F-mitchelliae_contig78	8	8	99486
F-mitchelliae_contig79	10	10	99140
F-mitchelliae_contig80	5	5	98406
F-mitchelliae_contig81	9	9	98138
F-mitchelliae_contig82	6	6	97769
F-mitchelliae_contig83	3	3	97457
F-mitchelliae_contig84	14	14	97354
F-mitchelliae_contig85	9	9	97118
F-mitchelliae_contig86	13	13	97073
F-mitchelliae_contig87	7	7	96494
F-mitchelliae_contig88	10	10	96256
F-mitchelliae_contig89	11	11	96145
F-mitchelliae_contig90	5	5	96078
F-mitchelliae_contig91	11	11	95959
F-mitchelliae_contig92	9	9	95566
F-mitchelliae_contig93	15	15	95071
F-mitchelliae_contig94	7	7	94915
F-mitchelliae_contig95	12	12	94374
F-mitchelliae_contig96	8	8	94202
F-mitchelliae_contig97	4	4	93799
F-mitchelliae_contig98	8	8	93715
F-mitchelliae_contig99	10	10	93429
F-mitchelliae_contig100	5	5	93036
F-mitchelliae_contig101	9	9	92444
F-mitchelliae_contig102	12	12	91665
F-mitchelliae_contig103	8	8	91356
F-mitchelliae_contig104	9	9	90889
F-mitchelliae_contig105	7	7	90417
F-mitchelliae_contig106	15	15	90235
F-mitchelliae_contig107	7	7	90197
F-mitchelliae_contig108	9	9	90113
F-mitchelliae_contig109	5	5	89802
F-mitchelliae_contig110	10	10	89648
F-mitchelliae_contig111	7	7	89535
F-mitchelliae_contig112	9	9	88874
F-mitchelliae_contig113	13	13	88557
F-mitchelliae_contig114	11	11	88521
F-mitchelliae_contig115	7	7	88287
F-mitchelliae_contig116	8	8	88211
F-mitchelliae_contig117	10	10	87899
F-mitchelliae_contig118	5	5	87711
F-mitchelliae_contig119	3	3	87279
F-mitchelliae_contig120	7	7	86957
F-mitchelliae_contig121	10	10	86847
F-mitchelliae_contig122	3	3	86795
F-mitchelliae_contig123	7	7	86785
F-mitchelliae_contig124	12	12	86747
F-mitchelliae_contig125	11	11	86496
F-mitchelliae_contig126	7	7	86417
F-mitchelliae_contig127	10	10	86257
F-mitchelliae_contig128	10	10	86230
F-mitchelliae_contig129	11	11	85935
F-mitchelliae_contig130	2	2	85924
F-mitchelliae_contig131	8	8	85872
F-mitchelliae_contig132	4	4	85709
F-mitchelliae_contig133	6	6	85582
F-mitchelliae_contig134	4	4	85306
F-mitchelliae_contig135	6	6	85014
F-mitchelliae_contig136	6	6	84841
F-mitchelliae_contig137	6	6	84792
F-mitchelliae_contig138	11	11	84576
F-mitchelliae_contig139	8	8	84085
F-mitchelliae_contig140	11	11	83775
F-mitchelliae_contig141	7	7	83705
F-mitchelliae_contig142	6	6	83667
F-mitchelliae_contig143	9	9	83249
F-mitchelliae_contig144	10	10	82934
F-mitchelliae_contig145	7	7	82600
F-mitchelliae_contig146	9	9	82391
F-mitchelliae_contig147	9	9	81720
F-mitchelliae_contig148	6	6	81690
F-mitchelliae_contig149	8	8	81506
F-mitchelliae_contig150	5	5	81156
F-mitchelliae_contig151	3	3	80973
F-mitchelliae_contig152	3	3	80312
F-mitchelliae_contig153	11	11	80303
F-mitchelliae_contig154	9	9	80253
F-mitchelliae_contig155	6	6	80244
F-mitchelliae_contig156	4	4	80181
F-mitchelliae_contig157	1	1	80103
F-mitchelliae_contig158	9	9	80063
F-mitchelliae_contig159	4	4	79399
F-mitchelliae_contig160	10	10	79203
F-mitchelliae_contig161	9	9	78855
F-mitchelliae_contig162	1	1	78530
F-mitchelliae_contig163	7	7	78495
F-mitchelliae_contig164	3	3	78406
F-mitchelliae_contig165	6	6	78368
F-mitchelliae_contig166	7	7	78222
F-mitchelliae_contig167	11	11	78064
F-mitchelliae_contig168	4	4	77964
F-mitchelliae_contig169	3	3	77692
F-mitchelliae_contig170	7	7	77453
F-mitchelliae_contig171	9	9	77036
F-mitchelliae_contig172	9	9	76941
F-mitchelliae_contig173	12	12	76884
F-mitchelliae_contig174	5	5	76880
F-mitchelliae_contig175	7	7	76580
F-mitchelliae_contig176	4	4	76474
F-mitchelliae_contig177	9	9	76442
F-mitchelliae_contig178	11	11	76401
F-mitchelliae_contig179	8	8	76380
F-mitchelliae_contig180	5	5	76276
F-mitchelliae_contig181	5	5	76237
F-mitchelliae_contig182	7	7	76101
F-mitchelliae_contig183	13	13	75841
F-mitchelliae_contig184	10	10	75787
F-mitchelliae_contig185	6	6	75728
F-mitchelliae_contig186	9	9	75515
F-mitchelliae_contig187	12	12	75224
F-mitchelliae_contig188	5	5	75047
F-mitchelliae_contig189	2	2	74961
F-mitchelliae_contig190	12	12	74562
F-mitchelliae_contig191	6	6	74334
F-mitchelliae_contig192	8	8	74123
F-mitchelliae_contig193	7	7	74094
F-mitchelliae_contig194	8	8	73999
F-mitchelliae_contig195	7	7	73759
F-mitchelliae_contig196	8	8	73745
F-mitchelliae_contig197	10	10	73743
F-mitchelliae_contig198	4	4	73686
F-mitchelliae_contig199	7	7	73646
F-mitchelliae_contig200	6	6	73567
F-mitchelliae_contig201	3	3	73548
F-mitchelliae_contig202	6	6	73267
F-mitchelliae_contig203	5	5	73106
F-mitchelliae_contig204	5	5	72447
F-mitchelliae_contig205	8	8	72418
F-mitchelliae_contig206	9	9	72347
F-mitchelliae_contig207	4	4	72289
F-mitchelliae_contig208	6	6	72104
F-mitchelliae_contig209	4	4	71887
F-mitchelliae_contig210	5	5	71775
F-mitchelliae_contig211	9	9	71514
F-mitchelliae_contig212	6	6	71362
F-mitchelliae_contig213	8	8	71216
F-mitchelliae_contig214	8	8	70983
F-mitchelliae_contig215	7	7	70965
F-mitchelliae_contig216	3	3	70859
F-mitchelliae_contig217	9	9	70847
F-mitchelliae_contig218	8	8	70645
F-mitchelliae_contig219	5	5	70388
F-mitchelliae_contig220	11	11	70357
F-mitchelliae_contig221	6	6	70324
F-mitchelliae_contig222	11	11	70290
F-mitchelliae_contig223	4	4	70128
F-mitchelliae_contig224	3	3	70089
F-mitchelliae_contig225	12	12	70043
F-mitchelliae_contig226	7	7	70030
F-mitchelliae_contig227	4	4	69763
F-mitchelliae_contig228	3	3	69521
F-mitchelliae_contig229	7	7	69504
F-mitchelliae_contig230	9	9	69488
F-mitchelliae_contig231	9	9	69416
F-mitchelliae_contig232	10	10	69350
F-mitchelliae_contig233	6	6	69327
F-mitchelliae_contig234	4	4	69323
F-mitchelliae_contig235	7	7	69115
F-mitchelliae_contig236	5	5	69042
F-mitchelliae_contig237	6	6	69011
F-mitchelliae_contig238	10	10	69008
F-mitchelliae_contig239	12	12	68977
F-mitchelliae_contig240	4	4	68917
F-mitchelliae_contig241	6	6	68772
F-mitchelliae_contig242	6	6	68739
F-mitchelliae_contig243	7	7	68723
F-mitchelliae_contig244	6	6	68707
F-mitchelliae_contig245	9	9	68567
F-mitchelliae_contig246	2	2	68292
F-mitchelliae_contig247	6	6	68235
F-mitchelliae_contig248	12	12	68127
F-mitchelliae_contig249	2	2	68073
F-mitchelliae_contig250	6	6	68073
F-mitchelliae_contig251	3	3	68036
F-mitchelliae_contig252	9	9	67989
F-mitchelliae_contig253	5	5	67915
F-mitchelliae_contig254	8	8	67872
F-mitchelliae_contig255	5	5	67844
F-mitchelliae_contig256	3	3	67480
F-mitchelliae_contig257	8	8	67354
F-mitchelliae_contig258	9	9	67344
F-mitchelliae_contig259	5	5	67312
F-mitchelliae_contig260	4	4	67276
F-mitchelliae_contig261	4	4	67191
F-mitchelliae_contig262	1	1	67102
F-mitchelliae_contig263	8	8	67087
F-mitchelliae_contig264	3	3	66977
F-mitchelliae_contig265	6	6	66908
F-mitchelliae_contig266	6	6	66748
