id_contig	#gene	#CDS	#b
P-lacustris_contig1	70	70	809013
P-lacustris_contig2	56	56	773452
P-lacustris_contig3	41	41	653856
P-lacustris_contig4	53	53	634546
P-lacustris_contig5	34	34	594323
P-lacustris_contig6	35	35	580620
P-lacustris_contig7	37	37	523630
P-lacustris_contig8	32	32	496808
P-lacustris_contig9	43	43	493408
P-lacustris_contig10	27	27	470019
P-lacustris_contig11	32	32	448928
P-lacustris_contig12	34	34	444752
P-lacustris_contig13	37	37	431085
P-lacustris_contig14	40	40	421208
P-lacustris_contig15	24	24	414285
P-lacustris_contig16	40	40	410848
P-lacustris_contig17	32	32	405438
P-lacustris_contig18	33	33	404497
P-lacustris_contig19	20	20	401337
P-lacustris_contig20	33	33	399764
P-lacustris_contig21	21	21	397232
P-lacustris_contig22	41	41	390290
P-lacustris_contig23	42	42	389819
P-lacustris_contig24	28	28	384872
P-lacustris_contig25	36	36	380935
P-lacustris_contig26	22	22	375168
P-lacustris_contig27	38	38	372140
P-lacustris_contig28	28	28	364521
P-lacustris_contig29	44	44	362780
P-lacustris_contig30	23	23	358783
P-lacustris_contig31	27	27	358568
P-lacustris_contig32	39	39	355501
P-lacustris_contig33	34	34	351809
P-lacustris_contig34	28	28	351619
P-lacustris_contig35	36	36	347035
P-lacustris_contig36	26	26	345971
P-lacustris_contig37	30	30	345054
P-lacustris_contig38	24	24	344756
P-lacustris_contig39	27	27	334558
P-lacustris_contig40	18	18	332581
P-lacustris_contig41	30	30	331830
P-lacustris_contig42	32	32	329041
P-lacustris_contig43	24	24	323424
P-lacustris_contig44	28	28	322815
P-lacustris_contig45	31	31	322164
P-lacustris_contig46	37	37	320788
P-lacustris_contig47	25	25	319389
P-lacustris_contig48	20	20	318415
P-lacustris_contig49	23	23	316778
P-lacustris_contig50	23	23	315763
P-lacustris_contig51	21	21	310012
P-lacustris_contig52	28	28	310007
P-lacustris_contig53	33	33	308194
P-lacustris_contig54	14	14	307295
P-lacustris_contig55	14	14	305558
P-lacustris_contig56	27	27	305388
P-lacustris_contig57	25	25	304324
P-lacustris_contig58	34	34	303961
P-lacustris_contig59	25	25	303554
P-lacustris_contig60	22	22	302135
P-lacustris_contig61	13	13	299110
P-lacustris_contig62	29	29	296056
P-lacustris_contig63	26	26	294802
P-lacustris_contig64	14	14	294203
P-lacustris_contig65	24	24	293804
P-lacustris_contig66	25	25	292880
P-lacustris_contig67	31	31	291437
P-lacustris_contig68	14	14	289771
P-lacustris_contig69	26	26	289417
P-lacustris_contig70	24	24	288399
P-lacustris_contig71	17	17	286387
P-lacustris_contig72	19	19	286125
P-lacustris_contig73	20	20	284094
P-lacustris_contig74	23	23	284041
P-lacustris_contig75	20	20	283366
P-lacustris_contig76	17	17	282927
P-lacustris_contig77	25	25	282833
P-lacustris_contig78	11	11	279549
P-lacustris_contig79	19	19	278560
P-lacustris_contig80	23	23	277563
P-lacustris_contig81	21	21	276330
P-lacustris_contig82	12	12	275501
P-lacustris_contig83	19	19	274699
P-lacustris_contig84	15	15	274087
P-lacustris_contig85	25	25	273925
P-lacustris_contig86	20	20	273710
P-lacustris_contig87	29	29	272259
P-lacustris_contig88	23	23	270464
P-lacustris_contig89	16	16	269853
P-lacustris_contig90	15	15	268387
P-lacustris_contig91	23	23	266479
P-lacustris_contig92	19	19	265786
P-lacustris_contig93	22	22	265197
P-lacustris_contig94	22	22	265086
P-lacustris_contig95	24	24	264514
P-lacustris_contig96	15	15	264289
P-lacustris_contig97	19	19	264268
P-lacustris_contig98	19	19	261288
P-lacustris_contig99	23	23	261105
P-lacustris_contig100	19	19	260335
P-lacustris_contig101	26	26	258862
P-lacustris_contig102	18	18	257935
P-lacustris_contig103	12	12	256267
P-lacustris_contig104	27	27	253835
P-lacustris_contig105	12	12	252118
P-lacustris_contig106	17	17	249688
P-lacustris_contig107	18	18	249445
P-lacustris_contig108	13	13	246976
P-lacustris_contig109	17	17	245520
P-lacustris_contig110	16	16	244545
P-lacustris_contig111	17	17	241058
P-lacustris_contig112	15	15	240693
P-lacustris_contig113	19	19	239183
P-lacustris_contig114	13	13	238403
P-lacustris_contig115	21	21	237501
P-lacustris_contig116	19	19	237049
P-lacustris_contig117	19	19	236632
P-lacustris_contig118	25	25	236447
P-lacustris_contig119	17	17	235004
P-lacustris_contig120	13	13	234998
P-lacustris_contig121	16	16	234963
P-lacustris_contig122	10	10	234624
P-lacustris_contig123	12	12	233725
P-lacustris_contig124	15	15	233514
P-lacustris_contig125	14	14	232878
P-lacustris_contig126	26	26	232359
P-lacustris_contig127	18	18	231544
P-lacustris_contig128	19	19	231212
P-lacustris_contig129	22	22	230593
P-lacustris_contig130	16	16	230393
P-lacustris_contig131	9	9	230090
P-lacustris_contig132	24	24	229632
P-lacustris_contig133	20	20	229613
P-lacustris_contig134	30	30	229322
P-lacustris_contig135	20	20	229308
P-lacustris_contig136	22	22	229230
P-lacustris_contig137	15	15	228557
P-lacustris_contig138	19	19	227903
P-lacustris_contig139	11	11	226571
P-lacustris_contig140	11	11	226375
P-lacustris_contig141	15	15	226301
P-lacustris_contig142	26	26	225950
P-lacustris_contig143	21	21	225559
P-lacustris_contig144	17	17	225461
P-lacustris_contig145	26	26	224793
P-lacustris_contig146	14	14	223809
P-lacustris_contig147	25	25	223699
P-lacustris_contig148	13	13	222827
P-lacustris_contig149	15	15	222674
P-lacustris_contig150	17	17	222445
P-lacustris_contig151	16	16	221405
P-lacustris_contig152	20	20	221288
P-lacustris_contig153	20	20	221181
P-lacustris_contig154	15	15	221153
P-lacustris_contig155	12	12	220737
P-lacustris_contig156	23	23	220633
P-lacustris_contig157	17	17	220439
P-lacustris_contig158	12	12	218646
P-lacustris_contig159	13	13	218338
P-lacustris_contig160	16	16	218331
P-lacustris_contig161	22	22	218127
P-lacustris_contig162	20	20	217927
P-lacustris_contig163	13	13	217759
P-lacustris_contig164	17	17	217179
P-lacustris_contig165	26	26	217030
P-lacustris_contig166	18	18	216551
P-lacustris_contig167	19	19	216311
P-lacustris_contig168	15	15	215988
P-lacustris_contig169	15	15	215924
P-lacustris_contig170	19	19	215672
P-lacustris_contig171	18	18	215516
P-lacustris_contig172	14	14	215387
P-lacustris_contig173	15	15	215368
P-lacustris_contig174	18	18	215317
P-lacustris_contig175	12	12	213995
P-lacustris_contig176	14	14	213708
P-lacustris_contig177	21	21	212529
P-lacustris_contig178	18	18	211770
P-lacustris_contig179	16	16	211510
P-lacustris_contig180	14	14	211148
P-lacustris_contig181	13	13	210662
P-lacustris_contig182	11	11	209600
P-lacustris_contig183	20	20	209452
P-lacustris_contig184	17	17	209436
P-lacustris_contig185	17	17	209309
P-lacustris_contig186	17	17	208609
P-lacustris_contig187	17	17	208585
P-lacustris_contig188	12	12	208499
P-lacustris_contig189	21	21	207397
P-lacustris_contig190	13	13	207257
P-lacustris_contig191	24	24	206457
P-lacustris_contig192	25	25	205615
P-lacustris_contig193	16	16	205551
P-lacustris_contig194	15	15	205535
P-lacustris_contig195	22	22	205388
P-lacustris_contig196	14	14	205307
P-lacustris_contig197	17	17	204449
P-lacustris_contig198	19	19	204336
P-lacustris_contig199	18	18	203682
P-lacustris_contig200	27	27	202950
P-lacustris_contig201	15	15	202944
P-lacustris_contig202	15	15	202116
P-lacustris_contig203	9	9	201408
P-lacustris_contig204	19	19	199735
P-lacustris_contig205	17	17	199467
P-lacustris_contig206	16	16	199387
P-lacustris_contig207	15	15	199308
P-lacustris_contig208	15	15	198049
P-lacustris_contig209	13	13	196823
P-lacustris_contig210	18	18	196456
P-lacustris_contig211	22	22	196394
P-lacustris_contig212	22	22	196211
P-lacustris_contig213	15	15	196200
P-lacustris_contig214	14	14	196173
P-lacustris_contig215	19	19	196125
P-lacustris_contig216	13	13	195706
P-lacustris_contig217	17	17	195252
P-lacustris_contig218	18	18	195136
P-lacustris_contig219	6	6	194198
P-lacustris_contig220	19	19	193300
P-lacustris_contig221	22	22	191898
P-lacustris_contig222	11	11	191554
P-lacustris_contig223	9	9	190434
P-lacustris_contig224	16	16	190246
P-lacustris_contig225	22	22	188754
P-lacustris_contig226	19	19	188746
P-lacustris_contig227	13	13	187802
P-lacustris_contig228	12	12	187441
P-lacustris_contig229	16	16	187130
P-lacustris_contig230	10	10	186737
P-lacustris_contig231	14	14	185708
P-lacustris_contig232	13	13	185582
P-lacustris_contig233	11	11	185197
P-lacustris_contig234	18	18	184225
P-lacustris_contig235	8	8	183740
P-lacustris_contig236	16	16	183257
P-lacustris_contig237	14	14	182609
P-lacustris_contig238	14	14	180752
P-lacustris_contig239	9	9	180718
P-lacustris_contig240	8	8	180654
P-lacustris_contig241	16	16	180385
P-lacustris_contig242	14	14	179805
P-lacustris_contig243	18	18	179688
P-lacustris_contig244	11	11	179390
P-lacustris_contig245	15	15	177919
P-lacustris_contig246	16	16	177759
P-lacustris_contig247	16	16	177129
P-lacustris_contig248	16	16	177060
P-lacustris_contig249	10	10	176657
P-lacustris_contig250	17	17	176438
P-lacustris_contig251	19	19	176371
P-lacustris_contig252	13	13	175294
P-lacustris_contig253	14	14	175131
P-lacustris_contig254	16	16	174556
P-lacustris_contig255	14	14	174258
P-lacustris_contig256	15	15	173911
P-lacustris_contig257	10	10	173592
P-lacustris_contig258	20	20	173526
P-lacustris_contig259	13	13	173244
P-lacustris_contig260	11	11	172768
P-lacustris_contig261	24	24	172666
P-lacustris_contig262	7	7	172446
P-lacustris_contig263	19	19	171704
P-lacustris_contig264	16	16	171616
