id_contig	#gene	#CDS	#b
S-latissima_F_contig1	6	6	1352850
S-latissima_F_contig2	60	60	1270656
S-latissima_F_contig3	46	46	1225760
S-latissima_F_contig4	17	17	1201499
S-latissima_F_contig5	60	60	1190235
S-latissima_F_contig6	44	44	1152465
S-latissima_F_contig7	69	69	1139669
S-latissima_F_contig8	11	11	1102099
S-latissima_F_contig9	41	41	1097672
S-latissima_F_contig10	26	26	1022477
S-latissima_F_contig11	47	47	1020048
S-latissima_F_contig12	24	24	976997
S-latissima_F_contig13	18	18	968304
S-latissima_F_contig14	29	29	941226
S-latissima_F_contig15	24	24	937952
S-latissima_F_contig16	37	37	932493
S-latissima_F_contig17	50	50	925436
S-latissima_F_contig18	39	39	908396
S-latissima_F_contig19	13	13	902378
S-latissima_F_contig20	36	36	898977
S-latissima_F_contig21	9	9	881969
S-latissima_F_contig22	39	39	878249
S-latissima_F_contig23	47	47	843727
S-latissima_F_contig24	24	24	815202
S-latissima_F_contig25	19	19	798550
S-latissima_F_contig26	21	21	795532
S-latissima_F_contig27	36	36	791024
S-latissima_F_contig28	41	41	780686
S-latissima_F_contig29	27	27	770931
S-latissima_F_contig30	18	18	770605
S-latissima_F_contig31	42	42	767363
S-latissima_F_contig32	12	12	762783
S-latissima_F_contig33	11	11	762356
S-latissima_F_contig34	6	6	761849
S-latissima_F_contig35	11	11	761612
S-latissima_F_contig36	5	5	754537
S-latissima_F_contig37	22	22	753326
S-latissima_F_contig38	26	26	737397
S-latissima_F_contig39	31	31	734107
S-latissima_F_contig40	25	25	731976
S-latissima_F_contig41	48	48	730175
S-latissima_F_contig42	27	27	726006
S-latissima_F_contig43	45	45	719796
S-latissima_F_contig44	25	25	718786
S-latissima_F_contig45	30	30	704021
S-latissima_F_contig46	27	27	701569
S-latissima_F_contig47	31	31	697315
S-latissima_F_contig48	24	24	695491
S-latissima_F_contig49	39	39	695065
S-latissima_F_contig50	26	26	692886
S-latissima_F_contig51	37	37	691450
S-latissima_F_contig52	49	49	690800
S-latissima_F_contig53	19	19	688084
S-latissima_F_contig54	11	11	687880
S-latissima_F_contig55	28	28	674460
S-latissima_F_contig56	23	23	673869
S-latissima_F_contig57	24	24	673808
S-latissima_F_contig58	8	8	662108
S-latissima_F_contig59	21	21	661720
S-latissima_F_contig60	27	27	660258
S-latissima_F_contig61	20	20	659448
S-latissima_F_contig62	14	14	651971
S-latissima_F_contig63	24	24	651059
S-latissima_F_contig64	13	13	634936
S-latissima_F_contig65	6	6	634378
S-latissima_F_contig66	24	24	631285
S-latissima_F_contig67	28	28	628728
S-latissima_F_contig68	30	30	626182
S-latissima_F_contig69	9	9	626005
S-latissima_F_contig70	19	19	625511
S-latissima_F_contig71	37	37	622597
S-latissima_F_contig72	17	17	622480
S-latissima_F_contig73	11	11	621810
S-latissima_F_contig74	11	11	616711
S-latissima_F_contig75	11	11	616224
S-latissima_F_contig76	6	6	613429
S-latissima_F_contig77	14	14	612397
S-latissima_F_contig78	40	40	612303
S-latissima_F_contig79	29	29	612157
S-latissima_F_contig80	15	15	611636
S-latissima_F_contig81	15	15	611117
S-latissima_F_contig82	15	15	609305
S-latissima_F_contig83	32	32	609192
S-latissima_F_contig84	20	20	601845
S-latissima_F_contig85	22	22	598326
S-latissima_F_contig86	21	21	598098
