id_contig	#gene	#CDS	#b
scaffold_10	177	177	1322232
scaffold_101	65	65	415395
scaffold_102	49	49	413512
scaffold_103	47	47	410729
scaffold_105	49	49	404582
scaffold_106	58	58	393414
scaffold_107	47	47	391719
scaffold_108	47	47	391711
scaffold_109	58	58	386530
scaffold_11	143	143	1284826
scaffold_110	51	51	386386
scaffold_111	35	35	383455
scaffold_112	46	46	381476
scaffold_113	53	53	381370
scaffold_114	43	43	379546
scaffold_115	35	35	378902
scaffold_116	40	40	376695
scaffold_117	36	36	373957
scaffold_118	46	46	371753
scaffold_119	42	42	371629
scaffold_12	144	144	1262355
scaffold_120	38	38	370730
scaffold_121	37	37	370366
scaffold_122	40	40	369434
scaffold_123	36	36	361908
scaffold_124	51	51	361459
scaffold_125	61	61	360386
scaffold_126	40	40	358850
scaffold_127	42	42	358261
scaffold_128	40	40	357553
scaffold_129	38	38	357418
scaffold_13	142	142	1259950
scaffold_130	44	44	354277
scaffold_131	32	32	348920
scaffold_132	42	42	348257
scaffold_134	43	43	345375
scaffold_135	47	47	337924
scaffold_136	46	46	337351
scaffold_137	31	31	336594
scaffold_138	43	43	336559
scaffold_139	29	29	335464
scaffold_14	138	138	1183878
scaffold_140	41	41	333648
scaffold_141	41	41	332657
scaffold_142	38	38	331596
scaffold_143	33	33	331513
scaffold_145	36	36	327275
scaffold_146	32	32	326707
scaffold_147	45	45	326429
scaffold_148	32	32	324348
scaffold_15	141	141	1169807
scaffold_150	38	38	323585
scaffold_151	38	38	322353
scaffold_152	31	31	317595
scaffold_153	28	28	314791
scaffold_154	38	38	311972
scaffold_155	26	26	307630
scaffold_156	33	33	307624
scaffold_157	26	26	306195
scaffold_158	31	31	305500
scaffold_159	26	26	303720
scaffold_16	157	157	1127011
scaffold_160	41	41	302066
scaffold_161	34	34	301564
scaffold_162	33	33	300381
scaffold_163	30	30	296881
scaffold_165	43	43	286177
scaffold_166	35	35	283849
scaffold_167	32	32	280966
scaffold_168	32	32	280824
scaffold_169	32	32	280457
scaffold_17	135	135	1120856
scaffold_170	32	32	279641
scaffold_171	41	41	278993
scaffold_172	32	32	278630
scaffold_173	26	26	276841
scaffold_174	32	32	276269
scaffold_175	28	28	276049
scaffold_176	36	36	273811
scaffold_177	33	33	273581
scaffold_178	22	22	271830
scaffold_18	145	145	1108724
scaffold_180	33	33	270854
scaffold_181	29	29	269989
scaffold_183	33	33	267432
scaffold_184	39	39	267247
scaffold_185	29	29	266415
scaffold_186	25	25	266220
scaffold_187	43	43	265128
scaffold_188	39	39	263374
scaffold_190	29	29	259223
scaffold_191	44	44	256793
scaffold_192	41	41	255850
scaffold_193	21	21	254237
scaffold_194	18	18	252975
scaffold_195	30	30	252812
scaffold_196	26	26	252423
scaffold_197	26	26	252396
scaffold_198	32	32	250510
scaffold_199	30	30	248267
scaffold_20	125	125	1002307
scaffold_200	41	41	247090
scaffold_202	29	29	246979
scaffold_203	26	26	246280
scaffold_204	27	27	246114
scaffold_205	21	21	243598
scaffold_206	11	11	241770
scaffold_207	33	33	238886
scaffold_209	29	29	234995
scaffold_21	130	130	954495
scaffold_210	34	34	234830
scaffold_211	24	24	233909
scaffold_212	26	26	233650
scaffold_213	23	23	233063
scaffold_214	33	33	230807
scaffold_216	28	28	227360
scaffold_217	29	29	226205
scaffold_218	31	31	217133
scaffold_219	14	14	216930
scaffold_22	111	111	923180
scaffold_220	24	24	216091
scaffold_221	17	17	213729
scaffold_222	30	30	213252
scaffold_224	29	29	212477
scaffold_225	25	25	212164
scaffold_226	25	25	211284
scaffold_227	26	26	211074
scaffold_228	25	25	210619
scaffold_229	15	15	210398
scaffold_23	123	123	885488
scaffold_231	31	31	209046
scaffold_233	27	27	200941
scaffold_234	19	19	198325
scaffold_235	21	21	197296
scaffold_236	22	22	196339
scaffold_237	21	21	195732
scaffold_238	27	27	191595
scaffold_239	23	23	190867
scaffold_24	124	124	878045
scaffold_240	21	21	190185
scaffold_241	17	17	189448
scaffold_242	24	24	188483
scaffold_243	23	23	186007
scaffold_245	18	18	184594
scaffold_246	15	15	184310
scaffold_25	70	70	872785
scaffold_252	19	19	179107
scaffold_253	13	13	178712
scaffold_254	15	15	178616
scaffold_255	24	24	178493
scaffold_256	21	21	177410
scaffold_258	17	17	173669
scaffold_259	22	22	173205
scaffold_26	103	103	843260
scaffold_260	15	15	172863
scaffold_261	19	19	172257
scaffold_262	21	21	172255
scaffold_263	25	25	171128
scaffold_264	21	21	170975
scaffold_265	18	18	170464
scaffold_266	18	18	169729
scaffold_267	19	19	169271
scaffold_268	26	26	168765
scaffold_269	18	18	167993
scaffold_27	98	98	814840
scaffold_270	20	20	167828
scaffold_272	16	16	167214
scaffold_275	28	28	165620
scaffold_276	23	23	164952
scaffold_277	26	26	164764
scaffold_278	22	22	163941
scaffold_279	17	17	162922
scaffold_28	99	99	811030
scaffold_280	19	19	162833
scaffold_281	20	20	162485
scaffold_282	21	21	161727
scaffold_284	16	16	160738
scaffold_287	20	20	158478
scaffold_288	16	16	157786
scaffold_29	89	89	808532
scaffold_290	18	18	156485
scaffold_291	14	14	154128
scaffold_292	16	16	153964
scaffold_293	22	22	153267
scaffold_294	15	15	151778
scaffold_295	17	17	150737
scaffold_297	15	15	146658
scaffold_298	21	21	146346
scaffold_299	13	13	146074
scaffold_30	89	89	805152
scaffold_300	13	13	145270
scaffold_301	25	25	145046
scaffold_302	16	16	143768
scaffold_303	26	26	142888
scaffold_304	17	17	142825
scaffold_305	19	19	142534
scaffold_306	17	17	141355
scaffold_308	23	23	140062
scaffold_309	19	19	139295
scaffold_31	112	112	802500
scaffold_311	16	16	136341
scaffold_312	9	9	135531
scaffold_313	16	16	135036
scaffold_314	20	20	134722
scaffold_315	21	21	134442
scaffold_317	18	18	133427
scaffold_319	18	18	130687
scaffold_32	108	108	778298
scaffold_321	20	20	130453
scaffold_323	18	18	128207
scaffold_324	11	11	128020
scaffold_326	9	9	127412
scaffold_328	16	16	123641
scaffold_33	95	95	773212
scaffold_330	14	14	122164
scaffold_333	14	14	119829
scaffold_334	20	20	119155
scaffold_338	12	12	117243
scaffold_34	87	87	756410
scaffold_340	16	16	116039
scaffold_341	13	13	115777
scaffold_342	11	11	114195
scaffold_343	12	12	113641
scaffold_344	13	13	111905
scaffold_345	11	11	111099
scaffold_346	14	14	110518
scaffold_347	10	10	110149
scaffold_348	9	9	110020
scaffold_349	9	9	109741
scaffold_35	97	97	755916
scaffold_351	12	12	109133
scaffold_353	10	10	108922
scaffold_354	8	8	108530
scaffold_357	19	19	107231
scaffold_358	12	12	105979
scaffold_36	92	92	729648
scaffold_360	10	10	105259
scaffold_361	11	11	104492
scaffold_362	10	10	103906
scaffold_363	9	9	103485
scaffold_364	11	11	103467
scaffold_366	14	14	102259
scaffold_367	9	9	100783
scaffold_37	99	99	719758
scaffold_370	9	9	99461
scaffold_372	10	10	98580
scaffold_373	10	10	98067
scaffold_374	7	7	98002
scaffold_379	10	10	96780
scaffold_38	88	88	719683
scaffold_380	9	9	96410
scaffold_382	15	15	95488
scaffold_384	10	10	94860
scaffold_386	7	7	92832
scaffold_387	11	11	92656
scaffold_388	15	15	92514
scaffold_39	60	60	714966
scaffold_392	7	7	90431
scaffold_395	13	13	89652
scaffold_396	9	9	88805
scaffold_397	12	12	88473
scaffold_398	11	11	87167
scaffold_399	6	6	86660
scaffold_40	112	112	714484
scaffold_401	8	8	85729
scaffold_402	9	9	83880
scaffold_404	12	12	82825
scaffold_406	8	8	81980
scaffold_407	10	10	81808
scaffold_41	78	78	712710
scaffold_411	9	9	80423
scaffold_414	7	7	79117
scaffold_418	8	8	77584
scaffold_419	4	4	77416
scaffold_42	100	100	710788
scaffold_422	7	7	76546
scaffold_424	8	8	76234
scaffold_425	9	9	76183
scaffold_428	10	10	75778
scaffold_43	82	82	690993
scaffold_431	8	8	74811
scaffold_432	6	6	74336
scaffold_44	80	80	677828
scaffold_440	5	5	70193
scaffold_443	9	9	69164
scaffold_444	13	13	68586
scaffold_446	11	11	68000
scaffold_448	7	7	66501
