id_contig	#gene	#CDS	#b
D-herbacea_M_contig1	246	246	4808236
D-herbacea_M_contig2	282	282	3974957
D-herbacea_M_contig3	150	150	3203613
D-herbacea_M_contig4	167	167	3058973
D-herbacea_M_contig5	155	155	3056956
D-herbacea_M_contig6	162	162	3015679
D-herbacea_M_contig7	121	121	2905339
D-herbacea_M_contig8	108	108	2857874
D-herbacea_M_contig9	114	114	2736282
D-herbacea_M_contig10	108	108	2552743
D-herbacea_M_contig11	155	155	2526600
D-herbacea_M_contig12	87	87	2474341
D-herbacea_M_contig13	96	96	2398041
D-herbacea_M_contig14	103	103	2396754
D-herbacea_M_contig15	94	94	2377402
D-herbacea_M_contig16	151	151	2345189
D-herbacea_M_contig17	104	104	2326755
D-herbacea_M_contig18	109	109	2099365
D-herbacea_M_contig19	73	73	2094660
D-herbacea_M_contig20	118	118	2044342
D-herbacea_M_contig21	136	136	2036654
D-herbacea_M_contig22	110	110	2019093
D-herbacea_M_contig23	125	125	2011079
D-herbacea_M_contig24	84	84	1993878
D-herbacea_M_contig25	71	71	1964029
D-herbacea_M_contig26	128	128	1959765
D-herbacea_M_contig27	99	99	1941400
D-herbacea_M_contig28	86	86	1936250
D-herbacea_M_contig29	62	62	1884930
D-herbacea_M_contig30	75	75	1884357
D-herbacea_M_contig31	73	73	1859912
D-herbacea_M_contig32	116	116	1813417
D-herbacea_M_contig33	67	67	1772012
D-herbacea_M_contig34	55	55	1760182
D-herbacea_M_contig35	37	37	1752906
D-herbacea_M_contig36	66	66	1749063
D-herbacea_M_contig37	78	78	1729581
D-herbacea_M_contig38	71	71	1716293
D-herbacea_M_contig39	102	102	1706727
D-herbacea_M_contig40	69	69	1668157
D-herbacea_M_contig41	101	101	1665804
D-herbacea_M_contig42	66	66	1622680
D-herbacea_M_contig43	71	71	1622436
D-herbacea_M_contig44	70	70	1589206
D-herbacea_M_contig45	68	68	1580397
D-herbacea_M_contig46	79	79	1573516
D-herbacea_M_contig47	98	98	1568815
D-herbacea_M_contig48	43	43	1539534
D-herbacea_M_contig49	68	68	1520901
D-herbacea_M_contig50	66	66	1497891
D-herbacea_M_contig51	74	74	1494615
D-herbacea_M_contig52	65	65	1489561
D-herbacea_M_contig53	89	89	1478693
D-herbacea_M_contig54	93	93	1466654
D-herbacea_M_contig55	59	59	1459631
D-herbacea_M_contig56	82	82	1452020
D-herbacea_M_contig57	81	81	1435081
D-herbacea_M_contig58	75	75	1431463
D-herbacea_M_contig59	75	75	1430616
D-herbacea_M_contig60	31	31	1426724
D-herbacea_M_contig61	57	57	1396453
D-herbacea_M_contig62	47	47	1383460
D-herbacea_M_contig63	49	49	1383388
D-herbacea_M_contig64	42	42	1379704
D-herbacea_M_contig65	48	48	1327384
D-herbacea_M_contig66	75	75	1320986
D-herbacea_M_contig67	52	52	1313249
D-herbacea_M_contig68	48	48	1309894
D-herbacea_M_contig69	90	90	1308745
D-herbacea_M_contig70	73	73	1300489
D-herbacea_M_contig71	63	63	1288694
D-herbacea_M_contig72	55	55	1288629
D-herbacea_M_contig73	55	55	1280180
D-herbacea_M_contig74	52	52	1279705
D-herbacea_M_contig75	44	44	1278316
D-herbacea_M_contig76	57	57	1277703
D-herbacea_M_contig77	35	35	1275884
D-herbacea_M_contig78	68	68	1269659
D-herbacea_M_contig79	60	60	1264788
D-herbacea_M_contig80	67	67	1262708
D-herbacea_M_contig81	68	68	1259738
D-herbacea_M_contig82	52	52	1248772
D-herbacea_M_contig83	34	34	1235107
D-herbacea_M_contig84	48	48	1231818
D-herbacea_M_contig85	76	76	1228056
D-herbacea_M_contig86	47	47	1223901
D-herbacea_M_contig87	29	29	1223524
D-herbacea_M_contig88	44	44	1220900
D-herbacea_M_contig89	44	44	1219566
D-herbacea_M_contig90	43	43	1218792
D-herbacea_M_contig91	68	68	1213954
D-herbacea_M_contig92	43	43	1187016
D-herbacea_M_contig93	40	40	1186271
D-herbacea_M_contig94	49	49	1180275
D-herbacea_M_contig95	36	36	1179533
D-herbacea_M_contig96	58	58	1157338
D-herbacea_M_contig97	72	72	1154727
D-herbacea_M_contig98	20	20	1150682
D-herbacea_M_contig99	64	64	1144800
D-herbacea_M_contig100	45	45	1140390
D-herbacea_M_contig101	41	41	1135604
D-herbacea_M_contig102	29	29	1130702
D-herbacea_M_contig103	52	52	1120892
D-herbacea_M_contig104	60	60	1120327
D-herbacea_M_contig105	49	49	1110595
D-herbacea_M_contig106	46	46	1099192
D-herbacea_M_contig107	44	44	1077089
D-herbacea_M_contig108	29	29	1070089
D-herbacea_M_contig109	41	41	1067008
D-herbacea_M_contig110	51	51	1065628
D-herbacea_M_contig111	46	46	1064327
D-herbacea_M_contig112	55	55	1063521
D-herbacea_M_contig113	34	34	1053943
D-herbacea_M_contig114	59	59	1051139
D-herbacea_M_contig115	48	48	1049988
D-herbacea_M_contig116	36	36	1046851
D-herbacea_M_contig117	37	37	1043322
D-herbacea_M_contig118	37	37	1042519
D-herbacea_M_contig119	10	10	1034780
D-herbacea_M_contig120	36	36	1031146
D-herbacea_M_contig121	26	26	1024096
D-herbacea_M_contig122	34	34	1023321
D-herbacea_M_contig123	48	48	1021589
D-herbacea_M_contig124	40	40	1017793
D-herbacea_M_contig125	54	54	1007992
D-herbacea_M_contig126	30	30	994192
D-herbacea_M_contig127	37	37	992543
D-herbacea_M_contig128	25	25	991346
D-herbacea_M_contig129	50	50	984352
D-herbacea_M_contig130	32	32	982811
D-herbacea_M_contig131	40	40	981154
D-herbacea_M_contig132	25	25	967800
D-herbacea_M_contig133	52	52	962815
D-herbacea_M_contig134	47	47	959726
D-herbacea_M_contig135	28	28	958423
D-herbacea_M_contig136	48	48	940541
D-herbacea_M_contig137	26	26	940284
D-herbacea_M_contig138	19	19	926007
D-herbacea_M_contig139	32	32	925986
D-herbacea_M_contig140	27	27	910971
D-herbacea_M_contig141	40	40	910385
D-herbacea_M_contig142	42	42	897968
D-herbacea_M_contig143	46	46	889979
D-herbacea_M_contig144	21	21	882757
D-herbacea_M_contig145	62	62	872921
D-herbacea_M_contig146	20	20	872726
D-herbacea_M_contig147	34	34	868533
D-herbacea_M_contig148	36	36	865630
D-herbacea_M_contig149	60	60	864339
D-herbacea_M_contig150	39	39	864054
D-herbacea_M_contig151	26	26	863659
D-herbacea_M_contig152	55	55	858593
D-herbacea_M_contig153	28	28	850595
D-herbacea_M_contig154	25	25	848276
D-herbacea_M_contig155	21	21	841715
D-herbacea_M_contig156	30	30	837347
D-herbacea_M_contig157	35	35	833048
D-herbacea_M_contig158	34	34	832634
