id_contig	#gene	#CDS	#b
S-firma_M_contig1	8	8	103993
S-firma_M_contig2	12	12	102061
S-firma_M_contig3	12	12	99829
S-firma_M_contig4	9	9	98526
S-firma_M_contig5	19	19	95728
S-firma_M_contig6	16	16	95227
S-firma_M_contig7	13	13	93062
S-firma_M_contig8	13	13	89813
S-firma_M_contig9	21	21	88214
S-firma_M_contig10	16	16	87435
S-firma_M_contig11	16	16	85225
S-firma_M_contig12	11	11	83642
S-firma_M_contig13	11	11	82484
S-firma_M_contig14	14	14	81391
S-firma_M_contig15	8	8	80666
S-firma_M_contig16	13	13	80239
S-firma_M_contig17	13	13	80208
S-firma_M_contig18	21	21	79699
S-firma_M_contig19	11	11	77645
S-firma_M_contig20	12	12	77388
S-firma_M_contig21	10	10	76255
S-firma_M_contig22	10	10	75553
S-firma_M_contig23	7	7	75444
S-firma_M_contig24	9	9	74259
S-firma_M_contig25	11	11	73786
S-firma_M_contig26	7	7	73660
S-firma_M_contig27	7	7	73187
S-firma_M_contig28	8	8	71713
S-firma_M_contig29	10	10	71274
S-firma_M_contig30	11	11	70985
S-firma_M_contig31	5	5	70408
S-firma_M_contig32	10	10	70389
S-firma_M_contig33	6	6	69543
S-firma_M_contig34	5	5	69388
S-firma_M_contig35	6	6	69290
S-firma_M_contig36	7	7	68362
S-firma_M_contig37	6	6	68244
S-firma_M_contig38	16	16	68189
S-firma_M_contig39	10	10	67567
S-firma_M_contig40	10	10	67293
S-firma_M_contig41	10	10	67242
S-firma_M_contig42	5	5	67194
S-firma_M_contig43	7	7	67080
S-firma_M_contig44	7	7	65597
S-firma_M_contig45	7	7	65174
S-firma_M_contig46	15	15	65003
S-firma_M_contig47	8	8	64082
S-firma_M_contig48	7	7	63692
S-firma_M_contig49	8	8	63267
S-firma_M_contig50	6	6	63106
S-firma_M_contig51	11	11	62830
S-firma_M_contig52	11	11	62812
S-firma_M_contig53	10	10	62796
S-firma_M_contig54	4	4	62795
S-firma_M_contig55	8	8	62460
S-firma_M_contig56	6	6	62095
S-firma_M_contig57	5	5	61864
S-firma_M_contig58	7	7	61811
S-firma_M_contig59	11	11	61593
S-firma_M_contig60	9	9	61584
S-firma_M_contig61	11	11	61577
S-firma_M_contig62	9	9	61559
S-firma_M_contig63	13	13	61506
S-firma_M_contig64	12	12	61360
S-firma_M_contig65	7	7	60931
S-firma_M_contig66	6	6	60524
S-firma_M_contig67	6	6	60441
S-firma_M_contig68	11	11	60231
S-firma_M_contig69	5	5	60192
S-firma_M_contig70	9	9	59259
S-firma_M_contig71	5	5	59173
S-firma_M_contig72	9	9	58958
S-firma_M_contig73	7	7	58948
S-firma_M_contig74	7	7	58792
S-firma_M_contig75	9	9	58789
S-firma_M_contig76	3	3	58731
S-firma_M_contig77	8	8	58600
S-firma_M_contig78	8	8	58568
S-firma_M_contig79	8	8	58094
S-firma_M_contig80	7	7	57947
S-firma_M_contig81	13	13	57623
S-firma_M_contig82	3	3	57287
S-firma_M_contig83	3	3	57098
S-firma_M_contig84	6	6	56476
S-firma_M_contig85	6	6	56299
S-firma_M_contig86	7	7	56262
S-firma_M_contig87	3	3	55852
S-firma_M_contig88	11	11	55790
S-firma_M_contig89	8	8	55396
S-firma_M_contig90	7	7	55283
S-firma_M_contig91	4	4	55267
S-firma_M_contig92	4	4	54900
S-firma_M_contig93	8	8	54809
S-firma_M_contig94	4	4	54769
S-firma_M_contig95	8	8	54477
S-firma_M_contig96	10	10	54470
S-firma_M_contig97	8	8	54340
S-firma_M_contig98	6	6	54243
S-firma_M_contig99	10	10	54136
S-firma_M_contig100	8	8	53962
S-firma_M_contig101	6	6	53902
S-firma_M_contig102	6	6	53726
S-firma_M_contig103	7	7	53635
S-firma_M_contig104	8	8	53633
S-firma_M_contig105	10	10	53419
S-firma_M_contig106	10	10	53368
S-firma_M_contig107	6	6	53353
S-firma_M_contig108	3	3	53279
S-firma_M_contig109	8	8	53271
S-firma_M_contig110	5	5	53180
S-firma_M_contig111	5	5	53165
S-firma_M_contig112	8	8	52692
S-firma_M_contig113	2	2	52455
S-firma_M_contig114	3	3	52432
S-firma_M_contig115	4	4	52408
S-firma_M_contig116	10	10	52121
S-firma_M_contig117	10	10	51986
S-firma_M_contig118	5	5	51859
S-firma_M_contig119	5	5	51756
S-firma_M_contig120	3	3	51575
S-firma_M_contig121	3	3	51339
S-firma_M_contig122	7	7	51250
S-firma_M_contig123	7	7	51205
S-firma_M_contig124	8	8	51140
S-firma_M_contig125	2	2	51121
S-firma_M_contig126	6	6	51102
S-firma_M_contig127	5	5	50856
S-firma_M_contig128	7	7	50848
S-firma_M_contig129	5	5	50617
S-firma_M_contig130	9	9	50580
S-firma_M_contig131	5	5	50468
S-firma_M_contig132	6	6	50425
S-firma_M_contig133	9	9	50337
S-firma_M_contig134	6	6	50186
S-firma_M_contig135	11	11	49862
S-firma_M_contig136	7	7	49837
S-firma_M_contig137	6	6	49834
S-firma_M_contig138	6	6	49834
S-firma_M_contig139	7	7	49805
S-firma_M_contig140	2	2	49627
S-firma_M_contig141	4	4	49528
S-firma_M_contig142	9	9	49491
S-firma_M_contig143	2	2	49401
S-firma_M_contig144	5	5	49357
S-firma_M_contig145	4	4	49342
S-firma_M_contig146	7	7	49294
S-firma_M_contig147	5	5	49282
S-firma_M_contig148	6	6	48798
S-firma_M_contig149	6	6	48786
S-firma_M_contig150	8	8	48768
S-firma_M_contig151	12	12	48622
S-firma_M_contig152	4	4	48619
S-firma_M_contig153	5	5	48588
S-firma_M_contig154	10	10	48586
S-firma_M_contig155	8	8	48568
S-firma_M_contig156	6	6	48558
S-firma_M_contig157	3	3	48338
S-firma_M_contig158	3	3	48202
S-firma_M_contig159	9	9	48173
S-firma_M_contig160	6	6	48105
S-firma_M_contig161	7	7	48045
S-firma_M_contig162	7	7	47982
S-firma_M_contig163	4	4	47931
S-firma_M_contig164	11	11	47920
S-firma_M_contig165	11	11	47691
S-firma_M_contig166	3	3	47636
S-firma_M_contig167	5	5	47555
S-firma_M_contig168	9	9	47511
S-firma_M_contig169	10	10	47441
S-firma_M_contig170	9	9	47333
S-firma_M_contig171	7	7	47252
S-firma_M_contig172	5	5	47177
S-firma_M_contig173	10	10	47089
S-firma_M_contig174	8	8	46916
S-firma_M_contig175	2	2	46871
S-firma_M_contig176	11	11	46761
S-firma_M_contig177	6	6	46729
S-firma_M_contig178	4	4	46666
S-firma_M_contig179	7	7	46658
S-firma_M_contig180	2	2	46602
S-firma_M_contig181	3	3	46450
S-firma_M_contig182	6	6	46417
S-firma_M_contig183	10	10	46245
S-firma_M_contig184	4	4	46117
S-firma_M_contig185	7	7	46078
S-firma_M_contig186	8	8	46075
S-firma_M_contig187	6	6	46045
S-firma_M_contig188	3	3	45833
S-firma_M_contig189	7	7	45753
S-firma_M_contig190	6	6	45669
S-firma_M_contig191	8	8	45646
S-firma_M_contig192	5	5	45623
S-firma_M_contig193	5	5	45491
S-firma_M_contig194	6	6	45359
S-firma_M_contig195	5	5	45348
S-firma_M_contig196	7	7	45317
S-firma_M_contig197	6	6	45235
S-firma_M_contig198	8	8	45235
S-firma_M_contig199	6	6	45189
S-firma_M_contig200	1	1	45122
S-firma_M_contig201	5	5	45084
S-firma_M_contig202	4	4	45075
S-firma_M_contig203	10	10	44848
S-firma_M_contig204	7	7	44766
S-firma_M_contig205	6	6	44756
S-firma_M_contig206	5	5	44750
S-firma_M_contig207	9	9	44732
S-firma_M_contig208	6	6	44697
S-firma_M_contig209	4	4	44662
S-firma_M_contig210	5	5	44417
S-firma_M_contig211	6	6	44380
S-firma_M_contig212	5	5	44337
S-firma_M_contig213	4	4	44231
S-firma_M_contig214	5	5	44203
S-firma_M_contig215	5	5	44190
S-firma_M_contig216	3	3	44160
S-firma_M_contig217	4	4	44154
S-firma_M_contig218	11	11	44108
S-firma_M_contig219	7	7	44105
S-firma_M_contig220	8	8	44039
S-firma_M_contig221	5	5	43877
S-firma_M_contig222	3	3	43794
S-firma_M_contig223	6	6	43771
S-firma_M_contig224	6	6	43744
S-firma_M_contig225	7	7	43683
S-firma_M_contig226	9	9	43677
S-firma_M_contig227	6	6	43670
S-firma_M_contig228	8	8	43657
S-firma_M_contig229	8	8	43586
S-firma_M_contig230	4	4	43564
S-firma_M_contig231	8	8	43404
S-firma_M_contig232	9	9	43351
S-firma_M_contig233	4	4	43348
S-firma_M_contig234	2	2	43316
S-firma_M_contig235	5	5	43301
S-firma_M_contig236	6	6	43130
S-firma_M_contig237	5	5	43045
S-firma_M_contig238	5	5	43035
S-firma_M_contig239	3	3	42962
S-firma_M_contig240	8	8	42814
S-firma_M_contig241	7	7	42812
S-firma_M_contig242	9	9	42799
S-firma_M_contig243	6	6	42760
S-firma_M_contig244	8	8	42716
S-firma_M_contig245	4	4	42631
S-firma_M_contig246	4	4	42618
S-firma_M_contig247	4	4	42603
S-firma_M_contig248	4	4	42572
S-firma_M_contig249	4	4	42554
S-firma_M_contig250	14	14	42550
S-firma_M_contig251	2	2	42481
S-firma_M_contig252	9	9	42470
S-firma_M_contig253	10	10	42469
S-firma_M_contig254	7	7	42457
S-firma_M_contig255	9	9	42264
S-firma_M_contig256	6	6	42254
S-firma_M_contig257	3	3	42219
S-firma_M_contig258	11	11	42173
S-firma_M_contig259	10	10	42141
S-firma_M_contig260	0	0	42000
S-firma_M_contig261	6	6	41960
S-firma_M_contig262	4	4	41938
S-firma_M_contig263	3	3	41885
S-firma_M_contig264	6	6	41862
S-firma_M_contig265	7	7	41842
S-firma_M_contig266	7	7	41791
S-firma_M_contig267	6	6	41745
S-firma_M_contig268	12	12	41665
S-firma_M_contig269	6	6	41605
S-firma_M_contig270	7	7	41575
S-firma_M_contig271	4	4	41562
S-firma_M_contig272	10	10	41495
S-firma_M_contig273	3	3	41459
S-firma_M_contig274	8	8	41453
S-firma_M_contig275	6	6	41334
S-firma_M_contig276	5	5	41313
S-firma_M_contig277	5	5	41269
S-firma_M_contig278	4	4	41249
S-firma_M_contig279	5	5	41080
S-firma_M_contig280	7	7	41067
S-firma_M_contig281	8	8	41022
S-firma_M_contig282	4	4	40964
S-firma_M_contig283	4	4	40874
S-firma_M_contig284	3	3	40858
S-firma_M_contig285	5	5	40826
S-firma_M_contig286	4	4	40797
S-firma_M_contig287	3	3	40766
S-firma_M_contig288	4	4	40634
S-firma_M_contig289	7	7	40615
S-firma_M_contig290	3	3	40611
S-firma_M_contig291	5	5	40591
S-firma_M_contig292	7	7	40549
S-firma_M_contig293	3	3	40501
S-firma_M_contig294	4	4	40464
S-firma_M_contig295	6	6	40444
S-firma_M_contig296	7	7	40431
S-firma_M_contig297	6	6	40359
S-firma_M_contig298	5	5	40358
S-firma_M_contig299	7	7	40328
S-firma_M_contig300	5	5	40314
S-firma_M_contig301	5	5	40313
S-firma_M_contig302	7	7	40248
S-firma_M_contig303	8	8	40161
S-firma_M_contig304	8	8	40066
S-firma_M_contig305	4	4	40065
S-firma_M_contig306	4	4	39990
S-firma_M_contig307	2	2	39980
S-firma_M_contig308	8	8	39976
S-firma_M_contig309	6	6	39974
S-firma_M_contig310	4	4	39973
S-firma_M_contig311	7	7	39916
S-firma_M_contig312	7	7	39879
S-firma_M_contig313	11	11	39843
S-firma_M_contig314	4	4	39842
S-firma_M_contig315	9	9	39832
S-firma_M_contig316	7	7	39813
S-firma_M_contig317	9	9	39788
S-firma_M_contig318	9	9	39773
S-firma_M_contig319	5	5	39764
S-firma_M_contig320	5	5	39693
S-firma_M_contig321	7	7	39689
S-firma_M_contig322	6	6	39607
S-firma_M_contig323	6	6	39607
S-firma_M_contig324	3	3	39606
S-firma_M_contig325	8	8	39525
S-firma_M_contig326	8	8	39501
S-firma_M_contig327	5	5	39499
S-firma_M_contig328	6	6	39490
S-firma_M_contig329	3	3	39332
S-firma_M_contig330	4	4	39316
S-firma_M_contig331	4	4	39285
S-firma_M_contig332	4	4	39277
S-firma_M_contig333	3	3	39235
S-firma_M_contig334	7	7	39219
S-firma_M_contig335	5	5	39092
S-firma_M_contig336	6	6	39052
S-firma_M_contig337	7	7	39022
S-firma_M_contig338	7	7	38955
S-firma_M_contig339	10	10	38897
S-firma_M_contig340	5	5	38894
S-firma_M_contig341	8	8	38871
S-firma_M_contig342	4	4	38863
S-firma_M_contig343	7	7	38836
S-firma_M_contig344	6	6	38831
S-firma_M_contig345	7	7	38719
S-firma_M_contig346	6	6	38662
S-firma_M_contig347	5	5	38652
S-firma_M_contig348	3	3	38631
S-firma_M_contig349	7	7	38617
S-firma_M_contig350	3	3	38604
S-firma_M_contig351	7	7	38581
S-firma_M_contig352	2	2	38581
S-firma_M_contig353	4	4	38569
S-firma_M_contig354	9	9	38527
S-firma_M_contig355	2	2	38476
S-firma_M_contig356	5	5	38467
S-firma_M_contig357	4	4	38430
S-firma_M_contig358	3	3	38348
S-firma_M_contig359	6	6	38334
S-firma_M_contig360	6	6	38109
S-firma_M_contig361	7	7	38092
S-firma_M_contig362	6	6	38064
S-firma_M_contig363	4	4	38064
S-firma_M_contig364	4	4	38055
S-firma_M_contig365	6	6	38029
S-firma_M_contig366	7	7	38024
S-firma_M_contig367	6	6	38017
S-firma_M_contig368	3	3	37964
S-firma_M_contig369	4	4	37893
S-firma_M_contig370	3	3	37891
S-firma_M_contig371	5	5	37875
S-firma_M_contig372	3	3	37866
S-firma_M_contig373	3	3	37864
S-firma_M_contig374	4	4	37835
