id_contig	#gene	#CDS	#b
NC_011669.1	1038	1039	2535400
NC_011670.1	611	611	1497954
NC_011671.1	552	552	1460046
NC_011672.1	538	538	1360148
NC_011673.1	430	429	1098047
NC_011674.1	445	446	1035082
NC_011675.1	389	391	1029019
NC_011676.1	401	404	1007773
NC_011677.1	379	379	1002813
NC_011678.1	377	377	976485
NC_011679.1	367	368	945026
NC_011680.1	351	352	901853
NC_011681.1	357	357	887524
NC_011682.1	316	317	829358
NC_011683.1	321	322	814910
NC_011684.1	291	292	764225
NC_011685.1	260	260	703943
NC_011686.1	259	259	702471
NC_011687.1	258	259	690427
NC_011688.1	260	259	683011
NC_011689.1	254	254	662217
NC_011690.1	236	237	591336
NC_011691.1	192	192	512847
NC_011692.1	158	158	511739
NC_011693.1	182	182	497271
NC_011694.1	141	141	441226
NC_011695.1	147	148	404298
NC_011696.1	167	167	387582
NC_011697.1	96	96	384256
NC_011698.1	104	104	317207
NC_011699.1	78	78	258242
NC_011700.1	44	44	157053
NC_011701.1	23	23	87967
NW_002238040.1	0	0	554
NW_002238010.1	0	0	450
NW_002238011.1	0	0	450
NW_002238014.1	17	17	73762
NW_002238015.1	9	9	18357
NW_002238016.1	1	1	4822
NW_002238017.1	1	1	9113
NW_002238018.1	1	1	7727
NW_002238019.1	3	3	14887
NW_002238020.1	1	1	1992
NW_002238021.1	7	7	39563
NW_002238022.1	13	13	34016
NW_002238023.1	4	4	17132
NW_002238005.1	12	12	34454
NW_002238024.1	4	4	14548
NW_002238025.1	2	2	7791
NW_002238026.1	1	1	5436
NW_002238027.1	3	3	10160
NW_002238028.1	2	2	17820
NW_002238029.1	14	14	35532
NW_002238030.1	11	11	41999
NW_002238031.1	6	6	26752
NW_002238032.1	7	7	22403
NW_002238033.1	4	4	21008
NW_002238006.1	2	2	4692
NW_002238034.1	2	2	4692
NW_002238035.1	53	54	178654
NW_002238036.1	103	103	293345
NW_002238037.1	10	10	46242
NW_002238038.1	4	4	37595
NW_002238039.1	8	8	31064
NW_002238041.1	1	1	2489
NW_002238042.1	7	7	49373
NW_002238043.1	3	3	9834
NW_002238007.1	1	1	2590
NW_002238044.1	3	3	5860
NW_002238045.1	2	2	5589
NW_002238046.1	3	3	5463
NW_002238047.1	1	1	37771
NW_002238048.1	2	2	4734
NW_002238049.1	3	3	4305
NW_002238050.1	1	1	4281
NW_002238051.1	3	3	4131
NW_002238052.1	2	2	4225
NW_002238053.1	1	1	3009
NW_002238008.1	1	1	9960
NW_002238054.1	1	1	2663
NW_002238055.1	1	1	2113
NW_002238056.1	1	1	2040
NW_002238057.1	1	1	2027
NW_002238058.1	1	1	1351
NW_002238059.1	1	1	808
NW_002238009.1	4	4	8362
NW_002238012.1	16	16	48421
NW_002238013.1	11	11	33557
