id_contig	#gene	#CDS	#b
M-clavaeformis_F_contig1	45	45	205338
M-clavaeformis_F_contig2	63	63	183262
M-clavaeformis_F_contig3	20	20	173365
M-clavaeformis_F_contig4	17	17	161936
M-clavaeformis_F_contig5	26	26	146897
M-clavaeformis_F_contig6	23	23	146688
M-clavaeformis_F_contig7	101	101	145114
M-clavaeformis_F_contig8	4	4	136655
M-clavaeformis_F_contig9	27	27	136389
M-clavaeformis_F_contig10	15	15	136325
M-clavaeformis_F_contig11	23	23	136146
M-clavaeformis_F_contig12	25	25	132329
M-clavaeformis_F_contig13	17	17	128764
M-clavaeformis_F_contig14	14	14	122370
M-clavaeformis_F_contig15	16	16	121558
M-clavaeformis_F_contig16	20	20	120659
M-clavaeformis_F_contig17	21	21	120152
M-clavaeformis_F_contig18	20	20	118268
M-clavaeformis_F_contig19	16	16	113959
M-clavaeformis_F_contig20	16	16	112342
M-clavaeformis_F_contig21	15	15	112226
M-clavaeformis_F_contig22	11	11	111129
M-clavaeformis_F_contig23	9	9	109948
M-clavaeformis_F_contig24	31	31	109706
M-clavaeformis_F_contig25	17	17	107180
M-clavaeformis_F_contig26	14	14	106721
M-clavaeformis_F_contig27	13	13	106667
M-clavaeformis_F_contig28	18	18	104949
M-clavaeformis_F_contig29	9	9	104747
M-clavaeformis_F_contig30	11	11	104684
M-clavaeformis_F_contig31	13	13	102274
M-clavaeformis_F_contig32	10	10	102126
M-clavaeformis_F_contig33	14	14	101670
M-clavaeformis_F_contig34	4	4	101259
M-clavaeformis_F_contig35	14	14	100733
M-clavaeformis_F_contig36	7	7	100517
M-clavaeformis_F_contig37	16	16	100477
M-clavaeformis_F_contig38	15	15	100089
M-clavaeformis_F_contig39	9	9	99936
M-clavaeformis_F_contig40	11	11	99719
M-clavaeformis_F_contig41	16	16	99539
M-clavaeformis_F_contig42	14	14	99422
M-clavaeformis_F_contig43	8	8	98727
M-clavaeformis_F_contig44	17	17	98392
M-clavaeformis_F_contig45	9	9	98351
M-clavaeformis_F_contig46	19	19	98222
M-clavaeformis_F_contig47	13	13	97943
M-clavaeformis_F_contig48	15	15	97099
M-clavaeformis_F_contig49	20	20	97065
M-clavaeformis_F_contig50	11	11	96722
M-clavaeformis_F_contig51	12	12	96125
M-clavaeformis_F_contig52	12	12	95392
M-clavaeformis_F_contig53	12	12	94866
M-clavaeformis_F_contig54	12	12	94448
M-clavaeformis_F_contig55	15	15	94033
M-clavaeformis_F_contig56	9	9	92942
M-clavaeformis_F_contig57	10	10	92849
M-clavaeformis_F_contig58	10	10	92413
M-clavaeformis_F_contig59	14	14	92409
M-clavaeformis_F_contig60	8	8	92292
M-clavaeformis_F_contig61	14	14	92204
M-clavaeformis_F_contig62	15	15	90453
M-clavaeformis_F_contig63	13	13	90309
M-clavaeformis_F_contig64	14	14	90084
M-clavaeformis_F_contig65	11	11	89382
M-clavaeformis_F_contig66	20	20	88993
M-clavaeformis_F_contig67	15	15	88677
M-clavaeformis_F_contig68	6	6	88276
M-clavaeformis_F_contig69	9	9	88212
M-clavaeformis_F_contig70	4	4	87425
M-clavaeformis_F_contig71	12	12	87368
M-clavaeformis_F_contig72	10	10	87329
M-clavaeformis_F_contig73	7	7	87115
M-clavaeformis_F_contig74	15	15	86239
M-clavaeformis_F_contig75	13	13	86102
M-clavaeformis_F_contig76	12	12	86036
M-clavaeformis_F_contig77	12	12	85917
M-clavaeformis_F_contig78	9	9	85912
M-clavaeformis_F_contig79	18	18	85887
M-clavaeformis_F_contig80	12	12	85636
M-clavaeformis_F_contig81	8	8	85449
M-clavaeformis_F_contig82	8	8	85169
M-clavaeformis_F_contig83	9	9	84971
M-clavaeformis_F_contig84	10	10	84703
M-clavaeformis_F_contig85	3	3	84643
M-clavaeformis_F_contig86	11	11	84154
M-clavaeformis_F_contig87	11	11	84127
M-clavaeformis_F_contig88	13	13	84087
M-clavaeformis_F_contig89	6	6	83852
M-clavaeformis_F_contig90	5	5	83723
M-clavaeformis_F_contig91	12	12	83445
M-clavaeformis_F_contig92	12	12	83435
M-clavaeformis_F_contig93	16	16	83183
M-clavaeformis_F_contig94	3	3	83100
M-clavaeformis_F_contig95	12	12	82614
M-clavaeformis_F_contig96	10	10	82464
M-clavaeformis_F_contig97	17	17	82436
M-clavaeformis_F_contig98	5	5	82257
M-clavaeformis_F_contig99	12	12	81983
M-clavaeformis_F_contig100	9	9	81932
M-clavaeformis_F_contig101	9	9	81240
M-clavaeformis_F_contig102	9	9	81226
M-clavaeformis_F_contig103	15	15	80573
M-clavaeformis_F_contig104	20	20	80562
M-clavaeformis_F_contig105	9	9	80465
M-clavaeformis_F_contig106	12	12	80435
M-clavaeformis_F_contig107	9	9	80352
M-clavaeformis_F_contig108	9	9	80015
M-clavaeformis_F_contig109	6	6	79884
M-clavaeformis_F_contig110	8	8	79851
M-clavaeformis_F_contig111	16	16	79780
M-clavaeformis_F_contig112	12	12	79542
M-clavaeformis_F_contig113	9	9	79436
M-clavaeformis_F_contig114	10	10	79294
