id_contig	#gene	#CDS	#b
scaffold1	77	77	1469055
scaffold10	25	25	1119300
scaffold100	8	8	576026
scaffold1000	5	5	171516
scaffold10000	0	0	1089
scaffold10001	0	0	1089
scaffold10002	0	0	1089
scaffold10003	0	0	1089
scaffold10004	0	0	1089
scaffold10005	0	0	1089
scaffold10007	0	0	1088
scaffold10008	0	0	1088
scaffold10009	0	0	1088
scaffold1001	6	6	171474
scaffold10010	0	0	1088
scaffold10011	0	0	1088
scaffold10012	0	0	1088
scaffold10013	0	0	1087
scaffold10014	0	0	1086
scaffold10015	0	0	1086
scaffold10016	0	0	1086
scaffold10017	0	0	1086
scaffold10018	0	0	1085
scaffold10019	0	0	1084
scaffold1002	5	5	171362
scaffold10020	0	0	1084
scaffold10022	0	0	1084
scaffold10023	0	0	1083
scaffold10024	0	0	1083
scaffold10025	0	0	1082
scaffold10026	0	0	1082
scaffold10027	0	0	1082
scaffold10028	0	0	1081
scaffold10029	0	0	1081
scaffold1003	2	2	171359
scaffold10030	0	0	1081
scaffold10031	0	0	1080
scaffold10032	0	0	1080
scaffold10033	0	0	1080
scaffold10034	0	0	1080
scaffold10035	0	0	1080
scaffold10036	0	0	1080
scaffold10037	0	0	1080
scaffold10038	0	0	1080
scaffold10039	0	0	1079
scaffold1004	11	11	171344
scaffold10040	0	0	1079
scaffold10041	0	0	1079
scaffold10042	0	0	1079
scaffold10043	0	0	1079
scaffold10044	0	0	1078
scaffold10045	0	0	1078
scaffold10046	0	0	1078
scaffold10048	0	0	1078
scaffold10049	0	0	1076
scaffold1005	7	7	171135
scaffold10050	0	0	1076
scaffold10051	0	0	1076
scaffold10052	0	0	1075
scaffold10053	0	0	1075
scaffold10054	0	0	1074
scaffold10056	0	0	1074
scaffold10057	0	0	1074
scaffold10058	0	0	1074
scaffold10059	0	0	1074
scaffold1006	9	9	170773
scaffold10060	0	0	1073
scaffold10061	0	0	1073
scaffold10062	0	0	1073
scaffold10063	0	0	1073
scaffold10064	0	0	1073
scaffold10065	0	0	1073
scaffold10066	0	0	1072
scaffold10067	0	0	1072
scaffold10069	0	0	1071
scaffold1007	10	10	170694
scaffold10070	0	0	1071
scaffold10071	0	0	1070
scaffold10072	0	0	1070
scaffold10073	0	0	1070
scaffold10074	0	0	1070
scaffold10076	0	0	1069
scaffold10077	0	0	1068
scaffold10078	0	0	1068
scaffold10079	0	0	1068
scaffold10081	0	0	1067
scaffold10082	0	0	1067
scaffold10083	0	0	1066
scaffold10084	0	0	1066
scaffold10085	0	0	1066
scaffold10086	0	0	1065
scaffold10087	0	0	1065
scaffold10088	0	0	1065
scaffold10089	0	0	1065
scaffold1009	3	3	170410
scaffold10090	0	0	1065
scaffold10091	0	0	1064
scaffold10093	0	0	1064
scaffold10094	0	0	1064
scaffold10095	0	0	1064
scaffold10096	0	0	1064
scaffold10097	0	0	1064
scaffold10098	0	0	1063
scaffold10099	0	0	1063
scaffold101	36	36	569706
scaffold1010	5	5	170401
scaffold10100	0	0	1063
scaffold10101	0	0	1063
scaffold10102	0	0	1062
scaffold10103	0	0	1062
scaffold10104	0	0	1062
scaffold10105	0	0	1061
scaffold10106	0	0	1061
scaffold10107	0	0	1060
scaffold10108	0	0	1060
scaffold10109	0	0	1059
scaffold1011	0	0	191269
scaffold10110	0	0	1059
scaffold10111	0	0	1059
scaffold10112	0	0	1058
scaffold10114	0	0	1058
scaffold10115	0	0	1058
scaffold10116	0	0	1058
scaffold10117	0	0	1058
scaffold10118	0	0	1058
scaffold10119	0	0	1058
scaffold1012	4	4	170251
scaffold10120	0	0	1058
scaffold10121	0	0	1058
scaffold10122	0	0	1057
scaffold10123	0	0	1057
scaffold10124	0	0	1056
scaffold10126	0	0	1056
scaffold10128	0	0	1056
scaffold10129	0	0	1056
scaffold1013	10	10	170225
scaffold10131	0	0	1055
scaffold10132	0	0	1054
scaffold10133	0	0	1053
scaffold10134	0	0	1053
scaffold10135	0	0	1053
scaffold10136	0	0	1053
scaffold10137	0	0	1053
scaffold10138	0	0	1053
scaffold10139	0	0	1052
scaffold1014	7	7	170225
scaffold10140	0	0	1052
scaffold10141	0	0	1051
scaffold10143	0	0	1050
scaffold10144	0	0	1049
scaffold10145	0	0	1049
scaffold10146	0	0	1049
scaffold10147	0	0	1049
scaffold10148	0	0	1048
scaffold10149	0	0	1048
scaffold1015	8	8	170183
scaffold10150	0	0	1048
scaffold10151	0	0	1047
scaffold10153	0	0	1047
scaffold10154	0	0	1046
scaffold10155	0	0	1046
scaffold10156	0	0	1046
scaffold10157	0	0	1046
scaffold10158	0	0	1046
scaffold10159	0	0	1046
scaffold1016	3	3	169748
scaffold10160	0	0	1045
scaffold10161	0	0	1045
scaffold10162	0	0	1045
scaffold10163	0	0	1045
scaffold10164	0	0	1045
scaffold10165	0	0	1045
scaffold10166	0	0	1045
scaffold10168	0	0	1044
scaffold10169	0	0	1044
scaffold1017	0	0	169698
scaffold10170	0	0	1044
scaffold10171	0	0	1044
scaffold10172	0	0	1044
scaffold10173	0	0	1043
scaffold10175	0	0	1043
scaffold10176	0	0	1043
scaffold10177	0	0	1043
scaffold10178	0	0	1042
scaffold10179	0	0	1042
scaffold1018	6	6	169572
scaffold10180	0	0	1042
scaffold10181	0	0	1041
scaffold10182	1	1	1041
scaffold10183	0	0	1041
scaffold10184	1	1	1041
scaffold10185	0	0	1040
scaffold10186	0	0	1040
scaffold10187	0	0	1040
scaffold10188	0	0	1040
scaffold10189	0	0	1040
scaffold1019	4	4	169192
scaffold10190	0	0	1038
scaffold10191	0	0	1038
scaffold10192	0	0	1038
scaffold10193	0	0	1038
scaffold10194	0	0	1038
scaffold10195	0	0	1038
scaffold10196	0	0	1038
scaffold10197	0	0	1037
scaffold10198	0	0	1037
scaffold10199	0	0	1037
scaffold102	24	24	568715
scaffold1020	5	5	169186
scaffold10200	0	0	1037
scaffold10201	0	0	1037
scaffold10202	0	0	1036
scaffold10203	0	0	1036
scaffold10204	0	0	1036
scaffold10205	0	0	1034
scaffold10206	0	0	1034
scaffold10207	0	0	1034
scaffold10208	0	0	1034
scaffold10209	0	0	1034
scaffold1021	3	3	168957
scaffold10210	0	0	1034
scaffold10212	1	1	1034
scaffold10213	1	1	1033
scaffold10214	0	0	1033
scaffold10215	0	0	1033
scaffold10216	0	0	1033
scaffold10217	0	0	1033
scaffold10218	0	0	1033
scaffold10219	0	0	1033
scaffold1022	7	7	168703
scaffold10220	0	0	1032
scaffold10221	0	0	1032
scaffold10222	0	0	1032
scaffold10223	0	0	1032
scaffold10224	0	0	1032
scaffold10225	0	0	1032
scaffold10226	0	0	1032
scaffold10227	0	0	1031
scaffold10228	0	0	1031
scaffold10229	0	0	1031
scaffold1023	3	3	168602
scaffold10230	0	0	1031
scaffold10231	0	0	1031
scaffold10232	0	0	1031
scaffold10233	0	0	1030
scaffold10234	0	0	1030
scaffold10235	0	0	1030
scaffold10236	0	0	1030
scaffold10237	0	0	1029
scaffold10238	0	0	1029
scaffold1024	6	6	168257
scaffold10240	0	0	1029
scaffold10241	0	0	1029
scaffold10242	0	0	1029
scaffold10243	0	0	1028
scaffold10244	0	0	1028
