id_contig	#gene	#CDS	#b
S-promiscuus_M_contig1	733	733	8057822
S-promiscuus_M_contig2	988	988	8048481
S-promiscuus_M_contig3	861	861	7368099
S-promiscuus_M_contig4	763	763	6340585
S-promiscuus_M_contig5	754	754	6287292
S-promiscuus_M_contig6	669	669	6072947
S-promiscuus_M_contig7	626	626	5744867
S-promiscuus_M_contig8	679	679	5659015
S-promiscuus_M_contig9	514	514	5291977
S-promiscuus_M_contig10	564	564	5155655
S-promiscuus_M_contig11	487	487	4971441
S-promiscuus_M_contig12	304	304	4558392
S-promiscuus_M_contig13	507	507	4328512
S-promiscuus_M_contig14	465	465	4256166
S-promiscuus_M_contig15	303	303	3819732
S-promiscuus_M_contig16	364	364	3478640
S-promiscuus_M_contig17	285	285	3296240
S-promiscuus_M_contig18	276	276	3251564
S-promiscuus_M_contig19	372	372	3112009
S-promiscuus_M_contig20	284	284	3101529
S-promiscuus_M_contig21	315	315	3097772
S-promiscuus_M_contig22	297	297	2993936
S-promiscuus_M_contig23	335	335	2945286
S-promiscuus_M_contig24	297	297	2924127
S-promiscuus_M_contig25	269	269	2911843
S-promiscuus_M_contig26	331	331	2911072
S-promiscuus_M_contig27	253	253	2813891
S-promiscuus_M_contig28	311	311	2764377
S-promiscuus_M_contig29	317	317	2762560
S-promiscuus_M_contig30	265	265	2738411
S-promiscuus_M_contig31	302	302	2726438
S-promiscuus_M_contig32	228	228	2684324
S-promiscuus_M_contig33	213	213	2645734
S-promiscuus_M_contig34	224	224	2345436
S-promiscuus_M_contig35	228	228	2317755
S-promiscuus_M_contig36	288	288	2291247
S-promiscuus_M_contig37	197	197	2194900
S-promiscuus_M_contig38	267	267	2176760
S-promiscuus_M_contig39	200	200	2153057
S-promiscuus_M_contig40	164	164	1998151
S-promiscuus_M_contig41	200	200	1868745
S-promiscuus_M_contig42	197	197	1799653
S-promiscuus_M_contig43	149	149	1796522
S-promiscuus_M_contig44	129	129	1767645
S-promiscuus_M_contig45	186	186	1747111
S-promiscuus_M_contig46	143	143	1639246
S-promiscuus_M_contig47	75	75	1618539
S-promiscuus_M_contig48	153	153	1595881
S-promiscuus_M_contig49	121	121	1454958
S-promiscuus_M_contig50	113	113	1385949
S-promiscuus_M_contig51	134	134	1266571
S-promiscuus_M_contig52	98	98	1198522
S-promiscuus_M_contig53	101	101	1110195
S-promiscuus_M_contig54	77	77	1104847
S-promiscuus_M_contig55	91	91	984135
S-promiscuus_M_contig56	98	98	958760
S-promiscuus_M_contig57	69	69	936317
S-promiscuus_M_contig58	56	56	888240
S-promiscuus_M_contig59	94	94	860863
S-promiscuus_M_contig60	76	76	754637
S-promiscuus_M_contig61	45	45	689632
S-promiscuus_M_contig62	56	56	655005
S-promiscuus_M_contig63	17	17	651463
S-promiscuus_M_contig64	37	37	642816
S-promiscuus_M_contig65	42	42	627521
S-promiscuus_M_contig66	33	33	614005
S-promiscuus_M_contig67	28	28	599193
S-promiscuus_M_contig68	14	14	546619
S-promiscuus_M_contig69	15	15	468392
S-promiscuus_M_contig70	8	8	395808
S-promiscuus_M_contig71	35	35	390417
S-promiscuus_M_contig72	23	23	384814
S-promiscuus_M_contig73	21	21	352243
S-promiscuus_M_contig74	46	46	327714
S-promiscuus_M_contig75	26	26	276907
S-promiscuus_M_contig76	16	16	273801
S-promiscuus_M_contig77	29	29	265339
S-promiscuus_M_contig78	7	7	252793
S-promiscuus_M_contig79	14	14	211360
S-promiscuus_M_contig80	23	23	187537
S-promiscuus_M_contig81	18	18	146912
S-promiscuus_M_contig82	8	8	140804
S-promiscuus_M_contig83	9	9	138470
S-promiscuus_M_contig84	11	11	138098
S-promiscuus_M_contig85	17	17	137753
S-promiscuus_M_contig86	5	5	135724
S-promiscuus_M_contig87	12	12	123496
S-promiscuus_M_contig88	6	6	120066
S-promiscuus_M_contig89	9	9	117202
S-promiscuus_M_contig90	6	6	113524
S-promiscuus_M_contig91	2	2	110941
S-promiscuus_M_contig92	5	5	109146
S-promiscuus_M_contig93	17	17	109112
S-promiscuus_M_contig94	11	11	102011
S-promiscuus_M_contig95	8	8	101432
S-promiscuus_M_contig96	4	4	101256
S-promiscuus_M_contig97	3	3	98834
S-promiscuus_M_contig98	19	19	95729
S-promiscuus_M_contig99	8	8	94587
S-promiscuus_M_contig100	3	3	89327
S-promiscuus_M_contig101	6	6	79474
S-promiscuus_M_contig102	4	4	78531
S-promiscuus_M_contig103	2	2	73464
S-promiscuus_M_contig104	4	4	72833
S-promiscuus_M_contig105	9	9	71615
S-promiscuus_M_contig106	2	2	66457
S-promiscuus_M_contig107	8	8	64328
S-promiscuus_M_contig108	3	3	60885
S-promiscuus_M_contig109	2	2	60809
S-promiscuus_M_contig110	2	2	58830
S-promiscuus_M_contig111	1	1	39585
