id_contig	#gene	#CDS	#b
P-fluviatile_contig1	605	605	6491347
P-fluviatile_contig2	584	584	5788468
P-fluviatile_contig3	549	549	5776623
P-fluviatile_contig4	545	545	4895244
P-fluviatile_contig5	472	472	4573155
P-fluviatile_contig6	438	438	4188198
P-fluviatile_contig7	284	284	4035589
P-fluviatile_contig8	417	417	4028458
P-fluviatile_contig9	427	427	3838501
P-fluviatile_contig10	327	327	3809180
P-fluviatile_contig11	338	338	3717539
P-fluviatile_contig12	298	298	3611420
P-fluviatile_contig13	372	372	3511005
P-fluviatile_contig14	357	357	3172960
P-fluviatile_contig15	276	276	3101441
P-fluviatile_contig16	273	273	3069341
P-fluviatile_contig17	203	203	2844954
P-fluviatile_contig18	296	296	2809182
P-fluviatile_contig19	252	252	2719522
P-fluviatile_contig20	223	223	2710074
P-fluviatile_contig21	252	252	2693707
P-fluviatile_contig22	339	339	2616382
P-fluviatile_contig23	226	226	2545395
P-fluviatile_contig24	232	232	2517916
P-fluviatile_contig25	214	214	2495647
P-fluviatile_contig26	204	204	2479515
P-fluviatile_contig27	238	238	2368144
P-fluviatile_contig28	204	204	2355929
P-fluviatile_contig29	208	208	2293967
P-fluviatile_contig30	215	215	2242551
P-fluviatile_contig31	170	170	2226179
P-fluviatile_contig32	222	222	2163501
P-fluviatile_contig33	209	209	2133029
P-fluviatile_contig34	160	160	1949176
P-fluviatile_contig35	169	169	1944931
P-fluviatile_contig36	172	172	1915674
P-fluviatile_contig37	198	198	1912505
P-fluviatile_contig38	208	208	1902245
P-fluviatile_contig39	154	154	1766691
P-fluviatile_contig40	150	150	1695800
P-fluviatile_contig41	144	144	1666628
P-fluviatile_contig42	136	136	1589664
P-fluviatile_contig43	95	95	1586313
P-fluviatile_contig44	103	103	1493434
P-fluviatile_contig45	130	130	1489205
P-fluviatile_contig46	152	152	1464660
P-fluviatile_contig47	143	143	1452326
P-fluviatile_contig48	153	153	1431481
P-fluviatile_contig49	127	127	1364729
P-fluviatile_contig50	93	93	1304146
P-fluviatile_contig51	101	101	1272494
P-fluviatile_contig52	114	114	1259143
P-fluviatile_contig53	102	102	1228937
P-fluviatile_contig54	113	113	1195613
P-fluviatile_contig55	95	95	1069638
P-fluviatile_contig56	109	109	1038257
P-fluviatile_contig57	101	101	995145
P-fluviatile_contig58	76	76	934475
P-fluviatile_contig59	68	68	923814
P-fluviatile_contig60	52	52	915781
P-fluviatile_contig61	90	90	906761
P-fluviatile_contig62	69	69	903816
P-fluviatile_contig63	62	62	892805
P-fluviatile_contig64	82	82	889626
P-fluviatile_contig65	66	66	887925
P-fluviatile_contig66	77	77	885997
P-fluviatile_contig67	55	55	868376
P-fluviatile_contig68	72	72	865853
P-fluviatile_contig69	55	55	727346
P-fluviatile_contig70	61	61	705270
P-fluviatile_contig71	60	60	701696
P-fluviatile_contig72	62	62	663952
P-fluviatile_contig73	53	53	636210
P-fluviatile_contig74	41	41	632684
P-fluviatile_contig75	62	62	621991
P-fluviatile_contig76	65	65	613096
P-fluviatile_contig77	58	58	598396
P-fluviatile_contig78	62	62	520703
P-fluviatile_contig79	46	46	499288
P-fluviatile_contig80	53	53	468956
P-fluviatile_contig81	35	35	440117
P-fluviatile_contig82	38	38	418574
P-fluviatile_contig83	32	32	413312
P-fluviatile_contig84	20	20	373707
P-fluviatile_contig85	23	23	273551
P-fluviatile_contig86	11	11	175642
P-fluviatile_contig87	10	10	167229
P-fluviatile_contig88	16	16	165410
P-fluviatile_contig89	54	54	155025
P-fluviatile_contig90	7	7	147930
P-fluviatile_contig91	8	8	135655
P-fluviatile_contig92	6	6	131065
P-fluviatile_contig93	17	17	112152
P-fluviatile_contig94	32	32	92372
P-fluviatile_contig95	4	4	86728
P-fluviatile_contig96	4	4	82469
P-fluviatile_contig97	10	10	81789
P-fluviatile_contig98	2	2	74674
P-fluviatile_contig99	4	4	71985
P-fluviatile_contig100	3	3	69953
P-fluviatile_contig101	8	8	62277
P-fluviatile_contig102	4	4	62111
P-fluviatile_contig103	4	4	55489
P-fluviatile_contig104	1	1	51504
P-fluviatile_contig105	6	6	46096
P-fluviatile_contig106	9	9	45381
P-fluviatile_contig107	1	1	44446
P-fluviatile_contig108	8	8	29220
P-fluviatile_contig109	0	0	24987
P-fluviatile_contig110	4	4	22775
