id_contig	#gene	#CDS	#b
LG00	4782	4782	173841120
LG01	934	934	26874900
LG02	772	772	19080600
LG03	436	436	16682880
LG04	535	535	15652800
LG05	1033	1033	21972120
LG06	444	444	12412380
LG07	384	384	12140400
LG08	358	358	15021480
LG09	398	398	12955260
LG10	833	833	28852860
LG11	602	602	26721960
LG12	487	487	14306640
LG13	493	493	14812680
LG14	531	531	13610220
LG15	741	741	18318240
LG16	525	525	15300420
LG17	404	404	12292080
LG18	382	382	12350820
LG19	616	616	15709500
LG20	433	433	12351660
LG21	552	552	14578620
LG22	413	413	11987580
LG23	671	671	16372500
LG24	529	529	13675500
LG25	551	551	13972380
LG26	462	462	13457520
LG27	433	433	12518520
LG28	494	494	11948820
LG29	221	221	4903560
LG30	267	267	9700860
UNPIN3877	0	0	130358
UNPIN3878	0	0	37871
