id_contig	#gene	#CDS	#b
NC_012064.1	1187	1177	3042585
NC_012065.1	1028	1021	2707195
NC_012066.1	996	986	2440052
NC_012067.1	919	913	2402323
NC_012068.1	876	872	2305972
NC_012069.1	781	773	2071480
NC_012070.1	720	710	1992434
NC_012071.1	486	483	1267198
NC_012072.1	394	393	1191060
NC_012073.1	387	386	1105668
NW_002243504.1	272	272	806142
NW_002243505.1	30	30	82843
NC_012075.1	354	349	1128382
NC_012076.1	378	376	1052196
NC_012077.1	352	351	998643
NC_012078.1	308	303	931268
NW_002243506.1	164	164	459776
NW_002243507.1	54	54	169376
NC_012080.1	218	218	659924
NC_012081.1	304	303	827053
NW_002243508.1	203	203	607239
NW_002243509.1	58	58	151677
NW_002243510.1	88	88	291194
NC_012083.1	259	256	800234
NC_012085.1	330	324	1057565
NC_012086.1	154	152	454954
NC_012087.1	86	86	297349
NW_002243520.1	11	11	25410
NW_002243521.1	7	7	17378
NW_002243522.1	3	3	13470
NW_002243523.1	37	37	100292
NW_002243524.1	4	4	30734
NW_002243525.1	5	5	21366
NW_002243526.1	4	4	15242
NW_002243527.1	3	3	11801
NW_002243528.1	1	1	4517
NW_002243529.1	23	23	66660
NW_002243511.1	9	9	26370
NW_002243530.1	30	30	83390
NW_002243531.1	3	3	3649
NW_002243532.1	5	5	23186
NW_002243533.1	33	33	138550
NW_002243534.1	7	7	20732
NW_002243535.1	2	2	6404
NW_002243536.1	49	49	63870
NW_002243537.1	6	6	4719
NW_002243538.1	1	1	11026
NW_002243539.1	3	3	10555
NW_002243512.1	6	6	21525
NW_002243540.1	3	3	8090
NW_002243541.1	2	2	5155
NW_002243542.1	13	13	70851
NW_002243543.1	15	15	43458
NW_002243544.1	0	0	2282
NW_002243545.1	6	6	21413
NW_002243546.1	0	0	19101
NW_002243547.1	6	6	13833
NW_002243513.1	6	6	14394
NW_002243514.1	3	3	11697
NW_002243515.1	6	6	19547
NW_002243516.1	35	35	79656
NW_002243517.1	13	13	37633
NW_002243518.1	18	18	51378
NW_002243519.1	7	7	16249
