species	#b	#contigs	#genes	contigs at least 1 gene (%)
Desmarestia_dudresnayi	441530708	90763	28809	19.7
Feldmannia_mitchelliae	205927934	27497	17647	30.8
Fucus_disticus	724726007	228768	19428	7.4
Hapterophycus_canaliculatus_FEMALE	192781701	26261	20036	38.4
Heribaudiella_fluviatilis	395970979	124447	41302	23.2
Himanthalia_elongata	785461444	325257	17308	4.9
Laminarionema_elsbetiae	237791199	37108	18917	25.3
Macrocystis_pyrifera_MALE	459008100	128700	22998	15
Myriotrichia_clavaeformis_FEMALE	144826515	18254	21281	35.3
Pelvetia_canaliculata	570570704	171596	24108	8.8
Saccorhiza_dermatodea	352008127	98404	17913	14.1
Saccorhiza_polyschides_MALE	557450462	138132	19747	9.8
