id_contig	#gene	#CDS	#b
D-dichotoma_M_contig1	39	39	1550090
D-dichotoma_M_contig2	55	55	1486876
D-dichotoma_M_contig3	47	47	1476047
D-dichotoma_M_contig4	41	41	1471321
D-dichotoma_M_contig5	48	48	1446839
D-dichotoma_M_contig6	28	28	1431697
D-dichotoma_M_contig7	33	33	1344478
D-dichotoma_M_contig8	45	45	1291861
D-dichotoma_M_contig9	18	18	1260255
D-dichotoma_M_contig10	35	35	1245858
D-dichotoma_M_contig11	22	22	1195546
D-dichotoma_M_contig12	15	15	1132281
D-dichotoma_M_contig13	55	55	1097868
D-dichotoma_M_contig14	31	31	1092518
D-dichotoma_M_contig15	23	23	1084784
D-dichotoma_M_contig16	35	35	1067838
D-dichotoma_M_contig17	24	24	1049893
D-dichotoma_M_contig18	48	48	1044898
D-dichotoma_M_contig19	25	25	1039868
D-dichotoma_M_contig20	18	18	999463
D-dichotoma_M_contig21	32	32	994228
D-dichotoma_M_contig22	28	28	982442
D-dichotoma_M_contig23	25	25	977540
D-dichotoma_M_contig24	25	25	976565
D-dichotoma_M_contig25	9	9	975534
D-dichotoma_M_contig26	32	32	969719
D-dichotoma_M_contig27	21	21	961623
D-dichotoma_M_contig28	26	26	953931
D-dichotoma_M_contig29	25	25	953473
D-dichotoma_M_contig30	20	20	947825
D-dichotoma_M_contig31	15	15	928764
D-dichotoma_M_contig32	30	30	911460
D-dichotoma_M_contig33	24	24	893312
D-dichotoma_M_contig34	23	23	863350
D-dichotoma_M_contig35	14	14	859049
D-dichotoma_M_contig36	32	32	858264
D-dichotoma_M_contig37	6	6	855699
D-dichotoma_M_contig38	26	26	855544
D-dichotoma_M_contig39	24	24	846317
D-dichotoma_M_contig40	28	28	825858
D-dichotoma_M_contig41	33	33	822339
D-dichotoma_M_contig42	28	28	793932
D-dichotoma_M_contig43	20	20	786846
D-dichotoma_M_contig44	20	20	785798
D-dichotoma_M_contig45	21	21	784846
D-dichotoma_M_contig46	14	14	777423
D-dichotoma_M_contig47	19	19	775770
D-dichotoma_M_contig48	13	13	768492
D-dichotoma_M_contig49	29	29	767470
D-dichotoma_M_contig50	21	21	766268
D-dichotoma_M_contig51	14	14	764396
D-dichotoma_M_contig52	33	33	763559
D-dichotoma_M_contig53	25	25	763066
D-dichotoma_M_contig54	26	26	762652
D-dichotoma_M_contig55	18	18	762472
D-dichotoma_M_contig56	18	18	760667
D-dichotoma_M_contig57	14	14	759655
D-dichotoma_M_contig58	47	47	757386
D-dichotoma_M_contig59	9	9	756941
D-dichotoma_M_contig60	3	3	748855
D-dichotoma_M_contig61	19	19	742939
D-dichotoma_M_contig62	15	15	741512
D-dichotoma_M_contig63	26	26	740358
D-dichotoma_M_contig64	16	16	737449
D-dichotoma_M_contig65	15	15	736322
D-dichotoma_M_contig66	14	14	729145
D-dichotoma_M_contig67	9	9	727486
D-dichotoma_M_contig68	12	12	726415
D-dichotoma_M_contig69	16	16	725123
D-dichotoma_M_contig70	22	22	723609
D-dichotoma_M_contig71	22	22	721255
D-dichotoma_M_contig72	14	14	719790
D-dichotoma_M_contig73	8	8	708850
D-dichotoma_M_contig74	15	15	705866
D-dichotoma_M_contig75	16	16	705435
D-dichotoma_M_contig76	30	30	703945
