id_contig	#gene	#CDS	#b
C-linearis_contig1	432	432	5681854
C-linearis_contig2	343	343	4714855
C-linearis_contig3	504	504	4608171
C-linearis_contig4	369	369	4411255
C-linearis_contig5	316	316	4348147
C-linearis_contig6	278	278	4157154
C-linearis_contig7	329	329	4066375
C-linearis_contig8	399	399	3983431
C-linearis_contig9	301	301	3912555
C-linearis_contig10	246	246	3816822
C-linearis_contig11	285	285	3766110
C-linearis_contig12	207	207	3613932
C-linearis_contig13	387	387	3542593
C-linearis_contig14	260	260	3470907
C-linearis_contig15	369	369	3437554
C-linearis_contig16	252	252	3089681
C-linearis_contig17	256	256	3068493
C-linearis_contig18	233	233	3015761
C-linearis_contig19	255	255	2973715
C-linearis_contig20	257	257	2963527
C-linearis_contig21	266	266	2843096
C-linearis_contig22	224	224	2790980
C-linearis_contig23	248	248	2746927
C-linearis_contig24	233	233	2723421
C-linearis_contig25	262	262	2540089
C-linearis_contig26	182	182	2521482
C-linearis_contig27	293	293	2453386
C-linearis_contig28	267	267	2422821
C-linearis_contig29	224	224	2417004
C-linearis_contig30	230	230	2356058
C-linearis_contig31	213	213	2342303
C-linearis_contig32	183	183	2285165
C-linearis_contig33	120	120	2249057
C-linearis_contig34	153	153	2223118
C-linearis_contig35	154	154	2182604
C-linearis_contig36	165	165	2150391
C-linearis_contig37	223	223	2134311
C-linearis_contig38	122	122	2128155
C-linearis_contig39	173	173	2037841
C-linearis_contig40	145	145	2026910
C-linearis_contig41	154	154	1992753
C-linearis_contig42	198	198	1946655
C-linearis_contig43	175	175	1799892
C-linearis_contig44	119	119	1736765
C-linearis_contig45	93	93	1701352
C-linearis_contig46	92	92	1698134
C-linearis_contig47	102	102	1694013
C-linearis_contig48	163	163	1645386
C-linearis_contig49	106	106	1633621
C-linearis_contig50	114	114	1613298
C-linearis_contig51	165	165	1575150
C-linearis_contig52	136	136	1573682
C-linearis_contig53	157	157	1529134
C-linearis_contig54	143	143	1469605
C-linearis_contig55	66	66	1414753
C-linearis_contig56	103	103	1389150
C-linearis_contig57	97	97	1378605
C-linearis_contig58	83	83	1347398
C-linearis_contig59	125	125	1305719
C-linearis_contig60	103	103	1296182
C-linearis_contig61	130	130	1274983
C-linearis_contig62	99	99	1268842
C-linearis_contig63	113	113	1262754
C-linearis_contig64	93	93	1261645
C-linearis_contig65	97	97	1241044
C-linearis_contig66	114	114	1233823
