id_contig	#gene	#CDS	#b
H-canaliculatus_F_contig1	10	10	147366
H-canaliculatus_F_contig2	15	15	117966
H-canaliculatus_F_contig3	14	14	106291
H-canaliculatus_F_contig4	8	8	106020
H-canaliculatus_F_contig5	8	8	104842
H-canaliculatus_F_contig6	7	7	101915
H-canaliculatus_F_contig7	9	9	101189
H-canaliculatus_F_contig8	12	12	99380
H-canaliculatus_F_contig9	9	9	98354
H-canaliculatus_F_contig10	11	11	98339
H-canaliculatus_F_contig11	7	7	97638
H-canaliculatus_F_contig12	7	7	96297
H-canaliculatus_F_contig13	12	12	95143
H-canaliculatus_F_contig14	8	8	94669
H-canaliculatus_F_contig15	16	16	92248
H-canaliculatus_F_contig16	13	13	91860
H-canaliculatus_F_contig17	12	12	91539
H-canaliculatus_F_contig18	13	13	89604
H-canaliculatus_F_contig19	8	8	88624
H-canaliculatus_F_contig20	7	7	87540
H-canaliculatus_F_contig21	7	7	87024
H-canaliculatus_F_contig22	10	10	86880
H-canaliculatus_F_contig23	7	7	86375
H-canaliculatus_F_contig24	8	8	85909
H-canaliculatus_F_contig25	11	11	85481
H-canaliculatus_F_contig26	10	10	84049
H-canaliculatus_F_contig27	9	9	83379
H-canaliculatus_F_contig28	6	6	83321
H-canaliculatus_F_contig29	10	10	83253
H-canaliculatus_F_contig30	10	10	82409
H-canaliculatus_F_contig31	10	10	81524
H-canaliculatus_F_contig32	10	10	79998
H-canaliculatus_F_contig33	7	7	79800
H-canaliculatus_F_contig34	13	13	78735
H-canaliculatus_F_contig35	8	8	78501
H-canaliculatus_F_contig36	8	8	78272
H-canaliculatus_F_contig37	8	8	78191
H-canaliculatus_F_contig38	12	12	78058
H-canaliculatus_F_contig39	5	5	77847
H-canaliculatus_F_contig40	13	13	77741
H-canaliculatus_F_contig41	23	23	77519
H-canaliculatus_F_contig42	12	12	77334
H-canaliculatus_F_contig43	9	9	77184
H-canaliculatus_F_contig44	7	7	77089
H-canaliculatus_F_contig45	8	8	76861
H-canaliculatus_F_contig46	8	8	76446
H-canaliculatus_F_contig47	7	7	76148
H-canaliculatus_F_contig48	7	7	75883
H-canaliculatus_F_contig49	10	10	75456
H-canaliculatus_F_contig50	10	10	75436
H-canaliculatus_F_contig51	8	8	74683
H-canaliculatus_F_contig52	5	5	74680
H-canaliculatus_F_contig53	5	5	74648
H-canaliculatus_F_contig54	3	3	74511
H-canaliculatus_F_contig55	5	5	74091
H-canaliculatus_F_contig56	10	10	73645
H-canaliculatus_F_contig57	7	7	73433
H-canaliculatus_F_contig58	7	7	73337
H-canaliculatus_F_contig59	7	7	72958
H-canaliculatus_F_contig60	5	5	72677
H-canaliculatus_F_contig61	3	3	72423
H-canaliculatus_F_contig62	8	8	71662
H-canaliculatus_F_contig63	5	5	71627
H-canaliculatus_F_contig64	8	8	71381
H-canaliculatus_F_contig65	7	7	71364
H-canaliculatus_F_contig66	7	7	71329
H-canaliculatus_F_contig67	9	9	71325
H-canaliculatus_F_contig68	7	7	70767
H-canaliculatus_F_contig69	7	7	70442
H-canaliculatus_F_contig70	7	7	70303
H-canaliculatus_F_contig71	9	9	70165
H-canaliculatus_F_contig72	12	12	69940
H-canaliculatus_F_contig73	8	8	69793
H-canaliculatus_F_contig74	10	10	69764
H-canaliculatus_F_contig75	10	10	69753
H-canaliculatus_F_contig76	5	5	69575
H-canaliculatus_F_contig77	9	9	69389
H-canaliculatus_F_contig78	9	9	69263
H-canaliculatus_F_contig79	9	9	69213
H-canaliculatus_F_contig80	5	5	68997
H-canaliculatus_F_contig81	6	6	68725
H-canaliculatus_F_contig82	8	8	68674
H-canaliculatus_F_contig83	2	2	68304
H-canaliculatus_F_contig84	5	5	68278
