id_contig	#gene	#CDS	#b
chr_00	1185	1471	18946431
chr_01	1232	1593	10318834
chr_02	634	816	6527791
chr_03	530	731	6528661
chr_04	642	816	6511851
chr_05	711	941	9103504
chr_06	1098	1380	8757758
chr_07	802	1093	7722430
chr_08	672	907	6697066
chr_09	480	619	5613161
chr_10	631	869	6500985
chr_11	630	859	6289658
chr_12	912	1201	8336052
chr_13	476	655	6936267
chr_14	703	930	6560428
chr_15	514	676	5398253
chr_16	517	677	5337654
chr_17	440	614	4797947
chr_18	483	672	4926557
chr_19	545	741	5970688
chr_20	497	676	5156421
chr_21	659	879	7380119
chr_22	404	541	4515851
chr_23	440	559	4839467
chr_24	450	563	4987672
chr_25	377	542	4450938
chr_26	678	940	6583348
chr_27	710	922	6449907
chr_28	388	517	3789020
sdr_f	22	22	869870
