id_contig	#gene	#CDS	#b
S-ischiensis_contig1	1219	1219	8311383
S-ischiensis_contig2	727	727	5449148
S-ischiensis_contig3	731	731	5216681
S-ischiensis_contig4	450	450	5011039
S-ischiensis_contig5	441	441	4798512
S-ischiensis_contig6	607	607	4499774
S-ischiensis_contig7	482	482	4341162
S-ischiensis_contig8	576	576	4201330
S-ischiensis_contig9	469	469	3737594
S-ischiensis_contig10	446	446	3615549
S-ischiensis_contig11	444	444	3614611
S-ischiensis_contig12	291	291	3442060
S-ischiensis_contig13	301	301	3270639
S-ischiensis_contig14	295	295	3259788
S-ischiensis_contig15	481	481	3234488
S-ischiensis_contig16	278	278	3141694
S-ischiensis_contig17	366	366	3105549
S-ischiensis_contig18	340	340	3084472
S-ischiensis_contig19	246	246	3011692
S-ischiensis_contig20	313	313	2870566
S-ischiensis_contig21	353	353	2829653
S-ischiensis_contig22	337	337	2814808
S-ischiensis_contig23	425	425	2718816
S-ischiensis_contig24	313	313	2641791
S-ischiensis_contig25	330	330	2531642
S-ischiensis_contig26	247	247	2524267
S-ischiensis_contig27	229	229	2522569
S-ischiensis_contig28	210	210	2521976
S-ischiensis_contig29	249	249	2513887
S-ischiensis_contig30	205	205	2455942
S-ischiensis_contig31	238	238	2301142
S-ischiensis_contig32	185	185	2291312
S-ischiensis_contig33	288	288	2219644
S-ischiensis_contig34	233	233	2199235
S-ischiensis_contig35	183	183	2083802
S-ischiensis_contig36	243	243	2062806
S-ischiensis_contig37	224	224	2034287
S-ischiensis_contig38	237	237	2034062
S-ischiensis_contig39	154	154	2030429
S-ischiensis_contig40	196	196	2005412
S-ischiensis_contig41	188	188	1974927
S-ischiensis_contig42	248	248	1943676
S-ischiensis_contig43	128	128	1864626
S-ischiensis_contig44	171	171	1853083
S-ischiensis_contig45	177	177	1820526
S-ischiensis_contig46	213	213	1712657
S-ischiensis_contig47	103	103	1686142
S-ischiensis_contig48	176	176	1627117
S-ischiensis_contig49	200	200	1565532
S-ischiensis_contig50	228	228	1547438
S-ischiensis_contig51	142	142	1458781
S-ischiensis_contig52	158	158	1455292
S-ischiensis_contig53	146	146	1427995
S-ischiensis_contig54	137	137	1424220
S-ischiensis_contig55	164	164	1420716
S-ischiensis_contig56	208	208	1408089
S-ischiensis_contig57	185	185	1361509
S-ischiensis_contig58	132	132	1317296
S-ischiensis_contig59	160	160	1259248
S-ischiensis_contig60	134	134	1247152
S-ischiensis_contig61	108	108	1230799
S-ischiensis_contig62	96	96	1225462
S-ischiensis_contig63	99	99	1185428
S-ischiensis_contig64	97	97	1184483
S-ischiensis_contig65	106	106	1143864
S-ischiensis_contig66	127	127	1135242
S-ischiensis_contig67	111	111	1102204
S-ischiensis_contig68	149	149	1087324
S-ischiensis_contig69	120	120	1085981
S-ischiensis_contig70	68	68	1024850
S-ischiensis_contig71	73	73	927204
S-ischiensis_contig72	63	63	914437
S-ischiensis_contig73	121	121	907733
S-ischiensis_contig74	104	104	906119
S-ischiensis_contig75	79	79	853808
S-ischiensis_contig76	71	71	832492
S-ischiensis_contig77	65	65	767098
S-ischiensis_contig78	97	97	766654
S-ischiensis_contig79	82	82	765633
S-ischiensis_contig80	48	48	751246
S-ischiensis_contig81	47	47	734847
S-ischiensis_contig82	41	41	703514
S-ischiensis_contig83	97	97	694234
S-ischiensis_contig84	68	68	675997
S-ischiensis_contig85	70	70	654376
S-ischiensis_contig86	40	40	631504
S-ischiensis_contig87	71	71	569097
S-ischiensis_contig88	47	47	556419
S-ischiensis_contig89	40	40	538049
S-ischiensis_contig90	42	42	529141
S-ischiensis_contig91	41	41	479763
S-ischiensis_contig92	30	30	463433
S-ischiensis_contig93	43	43	428475
S-ischiensis_contig94	33	33	416082
S-ischiensis_contig95	49	49	403414
S-ischiensis_contig96	29	29	393901
S-ischiensis_contig97	29	29	390684
S-ischiensis_contig98	24	24	377537
S-ischiensis_contig99	24	24	358101
S-ischiensis_contig100	24	24	345905
S-ischiensis_contig101	40	40	345783
S-ischiensis_contig102	39	39	344801
S-ischiensis_contig103	23	23	339782
S-ischiensis_contig104	27	27	334410
S-ischiensis_contig105	35	35	272546
S-ischiensis_contig106	35	35	245589
S-ischiensis_contig107	21	21	229759
S-ischiensis_contig108	20	20	212103
S-ischiensis_contig109	21	21	202920
S-ischiensis_contig110	29	29	183758
S-ischiensis_contig111	10	10	175678
S-ischiensis_contig112	10	10	174378
S-ischiensis_contig113	13	13	152451
S-ischiensis_contig114	3	3	135024
S-ischiensis_contig115	10	10	109795
S-ischiensis_contig116	15	15	100990
S-ischiensis_contig117	3	3	94303
S-ischiensis_contig118	7	7	88083
S-ischiensis_contig119	9	9	85858
S-ischiensis_contig120	3	3	80498
S-ischiensis_contig121	7	7	78097
S-ischiensis_contig122	32	32	77251
S-ischiensis_contig123	2	2	69402
S-ischiensis_contig124	5	5	65259
S-ischiensis_contig125	3	3	60557
S-ischiensis_contig126	7	7	51094
S-ischiensis_contig127	3	3	43182
S-ischiensis_contig128	1	1	35745
S-ischiensis_contig129	0	0	27440
S-ischiensis_contig130	1	1	22448
