id_contig	#gene	#CDS	#b
E-fasciculatus_M_contig1	505	505	4233625
E-fasciculatus_M_contig2	262	262	2999504
E-fasciculatus_M_contig3	321	321	2858727
E-fasciculatus_M_contig4	313	313	2569245
E-fasciculatus_M_contig5	207	207	2455567
E-fasciculatus_M_contig6	227	227	2325641
E-fasciculatus_M_contig7	247	247	2236912
E-fasciculatus_M_contig8	253	253	2208122
E-fasciculatus_M_contig9	178	178	2128605
E-fasciculatus_M_contig10	201	201	2081168
E-fasciculatus_M_contig11	181	181	2070392
E-fasciculatus_M_contig12	177	177	2015735
E-fasciculatus_M_contig13	211	211	1922908
E-fasciculatus_M_contig14	195	195	1846130
E-fasciculatus_M_contig15	183	183	1779014
E-fasciculatus_M_contig16	170	170	1712768
E-fasciculatus_M_contig17	156	156	1676826
E-fasciculatus_M_contig18	151	151	1644399
E-fasciculatus_M_contig19	182	182	1631058
E-fasciculatus_M_contig20	149	149	1463189
E-fasciculatus_M_contig21	131	131	1454265
E-fasciculatus_M_contig22	147	147	1436258
E-fasciculatus_M_contig23	138	138	1400092
E-fasciculatus_M_contig24	114	114	1396909
E-fasciculatus_M_contig25	165	165	1389868
E-fasciculatus_M_contig26	171	171	1331598
E-fasciculatus_M_contig27	123	123	1309691
E-fasciculatus_M_contig28	135	135	1305331
E-fasciculatus_M_contig29	137	137	1296644
E-fasciculatus_M_contig30	137	137	1288934
E-fasciculatus_M_contig31	147	147	1256713
E-fasciculatus_M_contig32	107	107	1249585
E-fasciculatus_M_contig33	98	98	1226574
E-fasciculatus_M_contig34	105	105	1224749
E-fasciculatus_M_contig35	108	108	1191558
E-fasciculatus_M_contig36	109	109	1180971
E-fasciculatus_M_contig37	99	99	1177169
E-fasciculatus_M_contig38	98	98	1129047
E-fasciculatus_M_contig39	136	136	1127076
E-fasciculatus_M_contig40	103	103	1120656
E-fasciculatus_M_contig41	126	126	1105683
E-fasciculatus_M_contig42	90	90	1082328
E-fasciculatus_M_contig43	98	98	1058596
E-fasciculatus_M_contig44	91	91	1045990
