id_contig	#gene	#CDS	#b
scaffold1003	0	0	4807
scaffold100	17	22	356336
scaffold1012	0	0	4775
scaffold102	28	31	341671
scaffold1030	1	2	4748
scaffold103	42	46	336905
scaffold104	29	31	316557
scaffold1078	0	0	4677
scaffold108	23	27	305186
scaffold1090	1	1	4897
scaffold10967	0	0	9844
scaffold1099	0	0	4464
scaffold109	28	34	297515
scaffold10	271	312	3350171
scaffold1101	0	0	4387
scaffold1103	1	1	4509
scaffold1105	0	0	4316
scaffold1106	0	0	4501
scaffold1107	1	1	14578
scaffold110	21	25	293918
scaffold1111	1	1	4240
scaffold1114	0	0	4398
scaffold1115	0	0	4215
scaffold1120	1	1	4191
scaffold1122	2	5	19400
scaffold1123	1	1	4098
scaffold1127	1	1	4399
scaffold112	19	22	281176
scaffold1134	1	1	4087
scaffold1135	0	0	4395
scaffold113	21	24	271215
scaffold1141	1	1	4063
scaffold1144	0	0	4044
scaffold1147	1	1	4031
scaffold1149	0	0	4029
scaffold114	20	23	278688
scaffold1150	1	1	4055
scaffold1151	1	1	10165
scaffold1154	0	0	4004
scaffold1158	0	0	3996
scaffold115	21	26	269575
scaffold1164	1	1	3982
scaffold1167	0	0	4016
scaffold116	24	25	265182
scaffold1170	1	1	3758
scaffold1172	0	0	3936
scaffold1178	0	0	3920
scaffold117	20	22	256091
scaffold1187	1	1	3903
scaffold1188	0	0	3901
scaffold1189	0	0	3901
scaffold118	15	24	251069
scaffold119	18	18	235168
scaffold11	347	400	3201082
scaffold1200	0	0	3875
scaffold120	7	8	213003
scaffold121	18	20	213505
scaffold122	16	18	218505
scaffold123	17	19	205518
scaffold124	7	9	199757
scaffold125	9	9	187086
scaffold127	37	43	177342
scaffold1283	0	0	3763
scaffold1284	1	1	3763
scaffold128	16	18	176791
scaffold1291	0	0	3746
scaffold12	323	365	3067801
scaffold130	19	19	176996
scaffold1312	1	1	3704
scaffold1313	0	0	3693
scaffold1319	1	1	3633
scaffold131	15	16	154066
scaffold1322	0	0	3589
scaffold132	9	11	150276
scaffold1330	0	0	3525
scaffold1331	0	0	3517
scaffold1337	0	0	3485
scaffold133	17	20	151094
scaffold1340	0	0	3463
scaffold1341	1	1	3458
scaffold1342	0	0	12854
scaffold1343	0	0	3453
scaffold1354	0	0	3361
scaffold1356	1	1	3606
scaffold1359	0	0	3340
scaffold135	68	68	142304
scaffold1360	0	0	3333
scaffold1366	0	0	3307
scaffold136	8	9	139330
scaffold1382	0	0	3269
scaffold13966	0	0	9769
scaffold139	54	54	131879
scaffold13	332	382	2955385
scaffold140	6	7	143269
scaffold141	4	4	128211
scaffold143	15	18	126824
scaffold1444	0	0	3152
scaffold1447	1	1	3150
scaffold144	10	13	124783
scaffold145	6	7	113271
scaffold1464	0	0	3134
scaffold1467	1	1	3176
scaffold146	5	8	113826
scaffold147	12	15	112276
scaffold148	6	6	109102
scaffold1494	1	1	3109
scaffold149	12	12	107563
scaffold14	227	261	2869310
scaffold150	6	7	106138
scaffold1510	0	0	3095
scaffold151	6	6	139813
scaffold1522	0	0	3089
scaffold152	10	11	102195
scaffold153	6	7	101217
scaffold1542	1	1	3068
scaffold1558	0	0	3018
scaffold155	4	4	95572
scaffold1560	1	1	3050
scaffold1561	1	1	3047
scaffold1565	0	0	3027
scaffold1566	0	0	3026
scaffold1569	0	0	3020
scaffold156	10	11	94697
scaffold1571	1	1	2994
scaffold1572	0	0	2977
scaffold1577	0	0	2940
scaffold1578	2	2	3208
scaffold157	11	12	89789
scaffold1582	1	1	2995
scaffold1584	0	0	2871
scaffold1585	0	0	2869
scaffold1589	0	0	2842
scaffold158	3	3	88991
scaffold1592	1	1	13896
scaffold159	9	9	88311
scaffold15	237	275	2826047
scaffold1601	0	0	2776
scaffold1604	0	0	2771
scaffold1609	1	1	2741
scaffold160	7	7	85814
scaffold1613	0	0	2729
scaffold1614	0	0	2727
scaffold1619	0	0	2705
scaffold161	9	9	84588
scaffold1621	1	2	2759
scaffold1630	0	0	2684
scaffold1632	0	0	2680
scaffold1633	2	2	2678
scaffold1637	0	0	2666
scaffold163	3	4	93433
scaffold1641	0	0	2661
scaffold1643	0	0	2657
scaffold1651	1	1	2644
scaffold165	7	9	81226
scaffold1661	0	0	2628
scaffold166	8	9	97437
scaffold1672	1	1	2960
scaffold167	11	11	91292
