id_contig	#gene	#CDS	#b
scaffold100	23	23	263867
scaffold1000	6	6	69442
scaffold1001	6	6	72160
scaffold1002	9	9	66618
scaffold1003	11	11	145748
scaffold1004	5	5	65603
scaffold1005	13	13	132892
scaffold1006	10	10	113397
scaffold1007	11	11	78575
scaffold1008	7	7	70336
scaffold1009	10	10	67603
scaffold101	16	16	259008
scaffold1010	9	9	69106
scaffold1011	6	6	69071
scaffold1012	8	8	68117
scaffold1013	13	13	93550
scaffold1014	7	7	76802
scaffold1015	10	10	104903
scaffold1016	7	7	62520
scaffold1017	16	16	120629
scaffold1018	7	7	68931
scaffold1019	10	10	68182
scaffold102	22	22	309941
scaffold1020	9	9	76017
scaffold1021	8	8	67563
scaffold1022	7	7	58151
scaffold1023	7	7	66519
scaffold1024	7	7	77926
scaffold1025	6	6	65995
scaffold1026	10	10	68228
scaffold1027	10	10	67879
scaffold1028	12	12	81574
scaffold1029	10	10	124043
scaffold103	24	24	264480
scaffold1030	7	7	76999
scaffold1031	7	7	85849
scaffold1032	12	12	128135
scaffold10327	1	1	10944
scaffold1033	4	4	66628
scaffold1034	6	6	69031
scaffold1035	6	6	76668
scaffold1036	10	10	76288
scaffold1037	12	12	90574
scaffold1038	5	5	79201
scaffold1039	8	8	69295
scaffold104	25	25	302500
scaffold1040	7	7	97647
scaffold1041	11	11	72101
scaffold1042	5	5	64446
scaffold1043	11	11	108718
scaffold1044	15	15	146004
scaffold1045	4	4	66062
scaffold1046	7	7	66572
scaffold1047	9	9	67352
scaffold1048	7	7	67252
scaffold1049	8	8	67855
scaffold105	24	24	248198
scaffold1050	9	9	99722
scaffold1051	6	6	68277
scaffold1052	8	8	84530
scaffold1053	7	7	62877
scaffold10531	1	1	10238
scaffold1054	5	5	65526
scaffold1055	12	12	113834
scaffold1056	7	7	63750
scaffold1057	13	13	139356
scaffold1058	7	7	79576
scaffold1059	7	7	67124
scaffold1060	9	9	99717
scaffold1061	6	6	62256
scaffold1062	6	6	65910
scaffold1063	8	8	65753
scaffold1064	12	12	161651
scaffold1065	18	18	132023
scaffold1066	6	6	65062
scaffold1067	5	5	60245
scaffold1068	7	7	62167
scaffold1069	6	6	64320
scaffold107	20	20	248203
scaffold1070	8	8	62287
scaffold1071	10	10	121450
scaffold1072	13	13	119502
scaffold1073	9	9	65248
scaffold1074	8	8	92250
scaffold1075	6	6	61440
scaffold1076	9	9	109132
scaffold1077	7	7	59299
scaffold1078	5	5	57940
scaffold108	35	35	324889
scaffold1080	9	9	63160
scaffold1081	4	4	63477
scaffold1082	4	4	62860
scaffold1083	6	6	60053
scaffold1084	5	5	64580
scaffold1085	11	11	53753
scaffold1086	9	9	63115
scaffold1087	10	10	110191
scaffold1088	11	11	80677
scaffold1089	12	12	110998
scaffold1090	6	6	62857
scaffold1091	4	4	63852
scaffold1092	6	6	73151
scaffold1093	7	7	63794
scaffold1094	20	20	161480
scaffold1095	10	10	136600
scaffold1096	9	9	84632
scaffold1097	8	8	63781
scaffold1098	6	6	62191
scaffold1099	13	13	106180
scaffold110	26	26	399833
scaffold1100	6	6	57099
scaffold1101	4	4	71559
scaffold1102	12	12	84088
