id_contig	#gene	#CDS	#b
CM002455.1	593	617	1546440
CM002456.1	554	574	1443245
CM002457.1	525	543	1384164
CM002458.1	505	535	1364975
CM002459.1	531	552	1358244
CM002460.1	457	457	1241202
CM002461.1	465	482	1193805
CM002462.1	434	451	1168894
CM002463.1	435	439	1164708
CM002464.1	386	399	1083023
CM002465.1	393	401	1065987
CM002466.1	404	422	1046732
CM002467.1	330	336	890907
CM002468.1	354	363	869639
CM002469.1	317	327	787877
CM002470.1	286	291	710462
CM002471.1	252	256	665804
CM002472.1	202	199	517648
CM002473.1	137	138	435979
CM002474.1	54	57	152354
CM002475.1	20	20	63419
KK037247.1	282	290	747110
KK037248.1	283	282	719191
KK037249.1	255	263	659759
KK037250.1	255	260	633890
KK037251.1	185	185	478243
KK037252.1	162	170	431818
KK037253.1	160	155	430255
KK037254.1	130	132	316797
KK037255.1	115	114	306134
KK037256.1	114	122	290709
KK037257.1	53	61	136605
KK037258.1	41	43	124202
KK037259.1	46	46	121145
KK037260.1	39	40	112910
KK037261.1	30	29	96496
KK037262.1	42	41	97365
KK037263.1	27	27	73328
KK037264.1	34	34	72446
KK037265.1	26	26	66087
KK037266.1	19	17	60557
KK037267.1	24	27	55496
KK037268.1	19	17	48825
KK037269.1	14	17	45006
KK037270.1	10	10	38572
KK037271.1	17	16	35757
KK037272.1	18	18	35887
KK037273.1	11	11	34316
KK037274.1	10	9	30172
KK037275.1	11	11	25820
KK037276.1	8	7	26632
KK037277.1	13	13	24845
KK037278.1	10	9	24357
KK037279.1	15	13	23336
KK037280.1	5	4	21301
KK037281.1	9	9	17884
KK037282.1	10	10	16066
KK037283.1	2	2	9139
KK037284.1	15	16	33334
KK037285.1	5	6	14702
KK037286.1	2	2	13976
KK037287.1	4	4	13874
KK037288.1	6	7	13269
KK037289.1	3	4	10301
KK037290.1	5	5	8847
KK037291.1	4	3	7060
KK037292.1	5	5	6806
KK037293.1	4	4	6398
KK037294.1	0	0	6304
KK037295.1	3	3	6165
KK037296.1	3	3	5808
KK037297.1	1	1	5661
KK037298.1	2	2	4519
KK037299.1	4	4	4352
KK037300.1	3	3	4350
KK037301.1	2	2	4184
KK037302.1	3	3	4026
KK037303.1	2	3	3871
KK037304.1	1	0	3763
KK037305.1	0	0	3643
KK037306.1	0	0	3625
KK037307.1	1	1	3577
KK037308.1	1	3	3549
KK037309.1	2	2	3483
KK037310.1	1	1	3406
KK037311.1	1	1	3408
KK037312.1	1	1	3276
KK037313.1	3	4	3136
KK037314.1	1	1	3110
KK037315.1	2	2	3104
KK037316.1	3	3	3081
KK037317.1	3	3	3016
KK037318.1	2	2	2975
KK037319.1	2	2	2966
KK037320.1	1	1	2939
KK037321.1	1	1	2940
KK037322.1	0	0	2782
KK037323.1	0	0	2771
KK037324.1	3	3	2731
KK037325.1	1	1	2715
KK037326.1	1	1	2641
KK037327.1	1	1	2617
KK037328.1	1	1	2555
KK037329.1	3	3	2548
KK037330.1	0	0	2544
KK037331.1	1	1	2527
KK037332.1	1	1	2441
KK037333.1	1	1	2421
KK037334.1	2	2	2421
KK037335.1	1	1	2408
KK037336.1	2	2	2391
KK037337.1	2	1	2390
KK037338.1	3	3	2385
KK037339.1	0	0	2370
KK037340.1	1	1	2338
KK037341.1	1	1	2337
KK037342.1	1	1	2335
KK037343.1	0	0	2262
KK037344.1	1	1	2233
KK037345.1	0	0	2222
KK037346.1	0	0	2220
KK037347.1	2	2	2208
KK037348.1	2	2	2176
KK037349.1	0	0	2121
KK037350.1	1	1	2119
KK037351.1	1	1	2081
KK037352.1	1	1	2058
KK037353.1	1	1	2012
KK037354.1	1	1	2007
KK037355.1	1	1	1998
KK037356.1	1	1	1982
KK037357.1	2	2	1949
KK037358.1	0	0	1934
KK037359.1	2	2	1936
KK037360.1	2	2	1924
KK037361.1	2	2	1907
KK037362.1	1	1	1898
KK037363.1	0	0	1887
KK037364.1	1	1	1865
KK037365.1	2	2	1839
KK037366.1	1	1	1837
KK037367.1	0	0	1826
KK037368.1	1	1	1801
KK037369.1	2	2	1801
KK037370.1	1	1	1787
KK037371.1	2	2	1775
KK037372.1	1	1	1763
KK037373.1	0	0	1758
KK037374.1	1	1	1754
KK037375.1	1	1	1740
KK037376.1	1	1	1733
KK037377.1	1	1	1729
KK037378.1	1	1	1721
KK037379.1	1	1	1716
KK037380.1	2	2	1714
KK037381.1	0	0	1704
KK037382.1	1	0	1680
KK037383.1	0	0	1668
KK037384.1	2	2	1667
KK037385.1	1	1	1665
KK037386.1	2	2	1654
KK037387.1	1	1	1629
KK037388.1	1	1	1629
KK037389.1	1	0	1611
KK037390.1	1	1	1616
KK037391.1	1	1	1611
KK037392.1	1	0	1578
KK037393.1	1	1	1572
KK037394.1	0	0	1532
KK037395.1	1	1	1525
KK037396.1	1	1	1502
KK037397.1	1	1	1499
KK037398.1	0	0	1497
KK037399.1	1	1	1497
KK037400.1	0	0	1493
