id_contig	#gene	#CDS	#b
BDSP01000025.1	46	46	123693
BDSP01000050.1	266	266	622807
BDSP01000078.1	122	122	303661
BDSP01000089.1	61	61	142776
BDSP01000224.1	43	43	123592
BDSP01000277.1	110	109	272890
BDSP01000284.1	44	44	96264
BDSP01000051.1	64	64	157458
BDSP01000060.1	134	134	348457
BDSP01000072.1	50	50	152390
BDSP01000192.1	7	8	31334
BDSP01000209.1	44	44	149689
BDSP01000242.1	39	39	89685
BDSP01000251.1	137	137	330829
BDSP01000264.1	88	89	206730
BDSP01000268.1	5	5	21017
BDSP01000293.1	17	17	31889
BDSP01000095.1	172	172	399691
BDSP01000102.1	200	200	451831
BDSP01000139.1	12	12	45211
BDSP01000150.1	103	103	250277
BDSP01000171.1	26	26	55847
BDSP01000182.1	70	70	150972
BDSP01000290.1	12	12	32502
BDSP01000030.1	25	25	52726
BDSP01000168.1	27	27	80196
BDSP01000187.1	60	60	140958
BDSP01000211.1	70	71	175556
BDSP01000213.1	122	122	292843
BDSP01000235.1	124	124	295240
BDSP01000111.1	354	354	904706
BDSP01000117.1	135	135	331159
BDSP01000188.1	8	8	21970
BDSP01000093.1	14	13	33111
BDSP01000094.1	33	33	64542
BDSP01000146.1	41	41	90627
BDSP01000169.1	49	49	131361
BDSP01000177.1	135	135	286591
BDSP01000216.1	26	26	55410
BDSP01000217.1	28	28	57171
BDSP01000234.1	126	126	265118
BDSP01000152.1	213	211	579596
BDSP01000285.1	171	170	376587
BDSP01000075.1	86	87	209860
BDSP01000091.1	26	26	70401
BDSP01000133.1	193	193	445009
BDSP01000183.1	13	13	25983
BDSP01000231.1	69	69	172468
BDSP01000036.1	135	136	323496
BDSP01000147.1	140	140	341979
BDSP01000206.1	89	89	243254
BDSP01000105.1	50	51	150110
BDSP01000131.1	224	224	537358
BDSP01000159.1	12	11	32924
BDSP01000167.1	72	72	169202
BDSP01000057.1	17	17	44953
BDSP01000080.1	189	188	453916
BDSP01000082.1	101	101	214388
BDSP01000190.1	36	36	91492
BDSP01000144.1	62	61	140534
BDSP01000203.1	236	236	553271
BDSP01000276.1	45	45	93525
BDSP01000259.1	356	355	850204
BDSP01000156.1	22	22	69037
BDSP01000184.1	232	232	514140
BDSP01000202.1	106	105	253021
BDSP01000055.1	190	190	439500
BDSP01000193.1	140	140	341389
BDSP01000227.1	8	8	21284
BDSP01000175.1	23	23	69106
BDSP01000222.1	36	35	124780
BDSP01000289.1	248	248	597692
BDSP01000061.1	282	282	683746
BDSP01000185.1	12	12	33290
BDSP01000123.1	226	226	553717
BDSP01000239.1	65	65	162070
BDSP01000137.1	310	307	704126
BDSP01000076.1	64	64	158396
BDSP01000101.1	57	57	158823
BDSP01000204.1	142	141	354807
BDSP01000109.1	112	111	280684
BDSP01000199.1	110	110	265081
BDSP01000260.1	51	51	127238
BDSP01000059.1	29	29	69756
BDSP01000100.1	119	117	295273
BDSP01000148.1	52	52	106285
BDSP01000181.1	36	36	88339
BDSP01000269.1	11	11	36693
BDSP01000127.1	87	87	213839
BDSP01000155.1	17	17	38005
BDSP01000257.1	146	146	343852
BDSP01000052.1	101	101	244218
BDSP01000122.1	86	86	206432
BDSP01000149.1	40	40	84248
BDSP01000238.1	23	23	55579
BDSP01000124.1	187	187	466031
BDSP01000176.1	29	29	75288
BDSP01000132.1	165	165	427084
BDSP01000271.1	107	106	294206
BDSP01000228.1	101	101	248522
BDSP01000170.1	129	128	281051
BDSP01000173.1	121	121	274440
BDSP01000026.1	56	55	133562
BDSP01000125.1	33	32	80549
BDSP01000006.1	12	12	26562
BDSP01000151.1	61	61	128426
BDSP01000278.1	63	62	162078
BDSP01000038.1	34	34	90351
BDSP01000280.1	20	20	53744
BDSP01000103.1	43	42	136590
BDSP01000291.1	50	50	116595
BDSP01000245.1	45	45	105298
BDSP01000274.1	34	34	87163
BDSP01000198.1	33	33	81514
BDSP01000174.1	25	25	71845
BDSP01000115.1	10	10	21157
BDSP01000237.1	9	9	31449
BDSP01000042.1	59	59	147601
BDSP01000141.1	225	225	542410
BDSP01000153.1	240	240	609189
BDSP01000162.1	98	97	222329
BDSP01000246.1	27	27	71818
BDSP01000114.1	199	198	480195
BDSP01000120.1	63	62	168485
BDSP01000219.1	102	102	245677
BDSP01000013.1	249	249	613768
BDSP01000140.1	65	65	171053
BDSP01000087.1	306	305	686783
BDSP01000164.1	11	11	33726
BDSP01000225.1	64	64	140115
BDSP01000024.1	4	4	13182
BDSP01000053.1	125	125	310154
BDSP01000253.1	203	202	457752
BDSP01000022.1	209	209	485476
BDSP01000071.1	83	83	207157
BDSP01000230.1	40	40	104957
BDSP01000040.1	36	36	86621
BDSP01000049.1	37	37	88264
BDSP01000128.1	21	21	67593
BDSP01000135.1	18	18	49931
BDSP01000145.1	22	22	47797
BDSP01000201.1	113	113	241092
BDSP01000220.1	19	19	46715
BDSP01000229.1	60	60	164017
BDSP01000008.1	59	59	134808
BDSP01000240.1	171	171	440184
BDSP01000263.1	41	41	107828
BDSP01000002.1	4	4	9013
BDSP01000003.1	47	47	145023
BDSP01000005.1	44	44	104919
BDSP01000046.1	24	24	65940
BDSP01000143.1	66	66	125241
BDSP01000186.1	41	41	98454
BDSP01000221.1	3	3	10927
BDSP01000233.1	24	24	77941
BDSP01000256.1	35	35	83030
BDSP01000118.1	142	142	336277
BDSP01000142.1	32	32	111935
BDSP01000210.1	49	49	108906
BDSP01000214.1	40	40	90076
BDSP01000009.1	4	4	10007
BDSP01000011.1	137	136	325945
BDSP01000106.1	64	64	154420
BDSP01000179.1	92	93	197685
BDSP01000015.1	30	30	73174
BDSP01000021.1	9	9	18163
