id_contig	#gene	#CDS	#b
F-serratus_M_contig1	49	49	2026200
F-serratus_M_contig2	85	85	1964071
F-serratus_M_contig3	49	49	1857770
F-serratus_M_contig4	32	32	1835880
F-serratus_M_contig5	74	74	1819419
F-serratus_M_contig6	42	42	1770133
F-serratus_M_contig7	58	58	1735314
F-serratus_M_contig8	80	80	1562449
F-serratus_M_contig9	46	46	1551305
F-serratus_M_contig10	52	52	1505512
F-serratus_M_contig11	30	30	1469542
F-serratus_M_contig12	51	51	1458827
F-serratus_M_contig13	43	43	1436082
F-serratus_M_contig14	42	42	1419905
F-serratus_M_contig15	52	52	1417115
F-serratus_M_contig16	26	26	1414345
F-serratus_M_contig17	15	15	1410840
F-serratus_M_contig18	24	24	1406707
F-serratus_M_contig19	10	10	1385892
F-serratus_M_contig20	23	23	1365288
F-serratus_M_contig21	48	48	1323423
F-serratus_M_contig22	19	19	1262904
F-serratus_M_contig23	48	48	1262446
F-serratus_M_contig24	27	27	1248423
F-serratus_M_contig25	17	17	1227348
F-serratus_M_contig26	29	29	1225298
F-serratus_M_contig27	32	32	1212229
F-serratus_M_contig28	31	31	1199797
F-serratus_M_contig29	102	102	1198156
F-serratus_M_contig30	15	15	1195910
F-serratus_M_contig31	27	27	1193868
F-serratus_M_contig32	46	46	1185638
F-serratus_M_contig33	6	6	1184451
F-serratus_M_contig34	24	24	1164789
F-serratus_M_contig35	21	21	1161205
F-serratus_M_contig36	22	22	1151445
F-serratus_M_contig37	28	28	1146692
F-serratus_M_contig38	21	21	1135922
F-serratus_M_contig39	12	12	1131109
F-serratus_M_contig40	42	42	1119947
F-serratus_M_contig41	28	28	1116711
F-serratus_M_contig42	22	22	1109721
F-serratus_M_contig43	42	42	1104802
F-serratus_M_contig44	10	10	1093689
F-serratus_M_contig45	42	42	1092883
F-serratus_M_contig46	38	38	1088438
F-serratus_M_contig47	15	15	1076653
F-serratus_M_contig48	27	27	1072970
F-serratus_M_contig49	24	24	1063344
F-serratus_M_contig50	27	27	1056335
F-serratus_M_contig51	17	17	1052153
F-serratus_M_contig52	7	7	1041008
F-serratus_M_contig53	17	17	1036852
F-serratus_M_contig54	8	8	1034714
F-serratus_M_contig55	21	21	1030819
F-serratus_M_contig56	9	9	1030417
F-serratus_M_contig57	27	27	1030270
F-serratus_M_contig58	41	41	1017187
F-serratus_M_contig59	25	25	1015974
F-serratus_M_contig60	22	22	1014603
F-serratus_M_contig61	38	38	1012667
F-serratus_M_contig62	22	22	997933
F-serratus_M_contig63	13	13	994296
F-serratus_M_contig64	27	27	986602
F-serratus_M_contig65	32	32	986518
F-serratus_M_contig66	13	13	979135
F-serratus_M_contig67	29	29	978802
F-serratus_M_contig68	30	30	975941
F-serratus_M_contig69	37	37	966133
F-serratus_M_contig70	38	38	956525
F-serratus_M_contig71	28	28	955330
F-serratus_M_contig72	23	23	948143
F-serratus_M_contig73	19	19	944820
F-serratus_M_contig74	14	14	943816
F-serratus_M_contig75	43	43	941282
F-serratus_M_contig76	36	36	940605
F-serratus_M_contig77	13	13	938164
