id_contig	#gene	#CDS	#b
KV784353.1	2102	2093	5926375
KV784354.1	1268	1262	3822992
KV784355.1	1187	1179	3437899
KV784356.1	1047	1039	3206981
KV784357.1	1096	1093	3184085
KV784358.1	1078	1073	2967614
KV784359.1	1031	1030	2770240
KV784360.1	819	818	2651504
KV784361.1	978	973	2734635
KV784362.1	82	76	1906272
KV784363.1	182	180	1700871
KV784364.1	500	499	1636732
KV784365.1	396	395	1481013
KV784366.1	457	458	1349802
KV784367.1	157	148	1348792
KV784368.1	115	115	1295603
KV784369.1	368	368	1246618
KV784370.1	282	281	1144490
KV784371.1	232	228	1148903
KV784372.1	160	158	1108856
KV784373.1	342	341	951085
KV784374.1	307	306	950298
KV784375.1	292	292	885465
KV784376.1	157	155	912017
KV784377.1	143	141	923391
KV784378.1	288	285	868567
KV784379.1	266	265	873766
KV784380.1	108	105	785617
KV784381.1	226	222	747900
KV784382.1	211	209	728828
KV784383.1	158	159	773263
KV784384.1	185	182	614248
KV784385.1	180	178	615088
KV784386.1	167	164	583829
KV784387.1	54	54	575126
KV784388.1	65	64	612094
KV784389.1	28	28	579102
KV784390.1	43	39	562930
KV784391.1	19	17	552198
KV784392.1	44	44	507195
KV784393.1	22	21	550327
KV784394.1	140	138	477099
KV784395.1	36	36	549970
KV784396.1	24	25	512631
KV784397.1	21	20	464023
KV784398.1	18	17	481344
KV784399.1	13	12	417959
KV784400.1	40	40	420661
KV784401.1	18	17	441796
KV784402.1	14	13	420730
KV784403.1	12	12	410628
KV784404.1	9	8	408677
KV784405.1	81	81	339683
KV784406.1	31	30	347597
KV784407.1	29	28	359325
KV784408.1	116	114	315655
KV784409.1	18	18	346956
KV784410.1	29	29	317980
KV784411.1	29	29	330435
KV784412.1	21	21	345724
KV784413.1	12	12	392845
KV784414.1	6	6	325335
KV784415.1	18	13	289507
KV784416.1	21	21	283747
KV784417.1	10	10	283846
KV784418.1	22	22	283846
KV784419.1	33	33	262195
KV784420.1	16	16	282950
KV784421.1	9	9	326134
KV784422.1	9	9	275172
KV784423.1	19	16	263701
KV784424.1	4	4	278192
KV784425.1	25	25	252813
KV784426.1	7	7	272126
KV784427.1	10	10	233033
KV784428.1	4	4	244932
KV784429.1	42	42	238117
KV784430.1	20	20	245629
KV784431.1	5	5	225955
KV784432.1	16	16	209277
KV784433.1	8	8	180574
KV784434.1	8	8	193964
KV784435.1	3	3	221530
KV784436.1	20	20	177237
KV784437.1	6	5	189488
KV784438.1	5	4	153064
KV784439.1	9	9	155492
KV784440.1	19	19	172549
KV784441.1	6	6	168682
KV784442.1	29	27	158111
KV784443.1	10	8	175871
KV784444.1	4	4	162553
KV784445.1	5	5	155441
KV784446.1	4	4	135709
KV784447.1	4	4	159893
KV784448.1	8	8	148595
KV784449.1	16	16	125412
KV784450.1	9	9	257687
KV784451.1	6	6	135820
KV784452.1	3	3	134375
KV784453.1	4	3	134685
KV784454.1	11	9	98033
KV784455.1	5	5	106831
KV784456.1	5	5	124974
KV784457.1	3	3	100409
KV784458.1	12	12	84697
KV784459.1	3	3	91266
KV784460.1	1	1	90598
KV784461.1	3	3	75349
KV784462.1	4	4	75749
KV784463.1	2	2	74075
KV784464.1	8	8	60858
KV784465.1	3	3	58825
KV784466.1	3	3	65693
KV784467.1	0	0	56628
KV784468.1	1	1	52813
KV784469.1	1	1	47800
KV784470.1	5	5	51786
KV784471.1	5	5	39953
KV784472.1	3	3	37069
KV784473.1	0	0	33225
KV784474.1	4	4	31848
KV784475.1	3	3	54739
KV784476.1	7	7	25630
KV784477.1	2	2	27199
KV784478.1	0	0	23943
KV784479.1	4	4	22341
KV784480.1	1	1	20502
KV784481.1	1	1	19574
KV784482.1	1	1	19363
KV784483.1	1	1	20261
KV784484.1	0	0	18349
KV784485.1	1	1	19166
KV784486.1	1	1	45259
KV784487.1	1	1	17549
KV784488.1	1	1	17333
KV784489.1	2	2	15812
KV784490.1	2	2	16995
KV784491.1	1	1	15140
KV784492.1	1	1	15152
KV784493.1	1	1	13886
KV784494.1	4	4	13722
KV784495.1	3	3	13177
KV784496.1	0	0	12468
KV784497.1	0	0	12380
KV784498.1	0	0	13843
KV784499.1	4	3	12203
KV784500.1	1	1	12800
KV784501.1	1	1	11643
KV784502.1	2	2	11339
KV784503.1	2	2	11558
KV784504.1	1	1	11013
KV784505.1	2	2	10775
KV784506.1	0	0	10742
KV784507.1	1	1	10476
KV784508.1	1	1	11005
KV784509.1	1	1	11066
KV784510.1	1	1	10203
KV784511.1	1	1	9846
KV784512.1	0	0	9840
KV784513.1	0	0	9920
KV784514.1	2	2	9633
KV784515.1	2	2	9471
KV784516.1	0	0	9352
KV784517.1	0	0	9314
KV784518.1	1	1	9153
KV784519.1	0	0	8966
KV784520.1	0	0	10431
KV784521.1	1	1	8790
KV784522.1	1	1	8656
KV784523.1	5	5	8649
KV784524.1	0	0	8329
KV784525.1	1	1	8248
KV784526.1	0	0	8278
KV784527.1	1	1	8152
KV784528.1	1	1	8113
KV784529.1	2	2	7968
KV784530.1	2	2	7967
KV784531.1	0	0	7958
KV784532.1	0	0	7091
KV784533.1	0	0	6947
KV784534.1	0	0	6806
KV784535.1	1	1	6655
KV784536.1	0	0	6493
KV784537.1	0	0	5970
KV784538.1	0	0	5922
KV784539.1	0	0	5713
KV784540.1	2	2	5218
KV784541.1	1	1	5209
KV784542.1	0	0	5117
KV784543.1	1	1	5117
KV784544.1	0	0	4953
KV784545.1	0	0	4905
KV784546.1	0	0	4898
KV784547.1	2	2	4827
KV784548.1	1	1	4820
KV784549.1	0	0	4594
KV784550.1	1	1	4487
KV784551.1	0	0	4417
KV784552.1	0	0	4370
KV784553.1	0	0	4345
KV784554.1	0	0	4279
KV784555.1	0	0	4226
KV784556.1	0	0	4225
KV784557.1	3	3	4214
KV784558.1	2	2	4198
KV784559.1	0	0	4197
KV784560.1	0	0	4189
KV784561.1	0	0	4127
KV784562.1	1	1	4122
KV784563.1	1	1	4023
KV784564.1	0	0	3963
KV784565.1	1	1	3907
KV784566.1	1	1	3896
KV784567.1	0	0	3844
KV784568.1	0	0	3834
KV784569.1	2	2	3824
KV784570.1	1	1	3816
KV784571.1	1	1	3804
KV784572.1	0	0	3800
KV784573.1	0	0	3799
KV784574.1	0	0	3786
KV784575.1	1	1	3757
KV784576.1	0	0	3741
KV784577.1	0	0	3725
KV784578.1	0	0	3723
KV784579.1	2	2	3714
KV784580.1	2	2	3705
KV784581.1	0	0	3693
KV784582.1	0	0	3686
KV784583.1	0	0	3672
KV784584.1	2	2	3649
KV784585.1	0	0	3628
KV784586.1	2	2	3624
KV784587.1	0	0	3618
KV784588.1	1	1	3595
KV784589.1	1	1	3591
KV784590.1	1	1	3587
KV784591.1	1	1	3587
KV784592.1	0	0	3579
KV784593.1	1	1	3556
KV784594.1	1	1	3554
KV784595.1	1	1	3549
KV784596.1	0	0	3503
KV784597.1	0	0	3478
KV784598.1	2	2	3474
KV784599.1	0	0	3464
KV784600.1	1	1	3436
KV784601.1	0	0	3409
KV784602.1	0	0	3395
KV784603.1	0	0	3394
KV784604.1	0	0	3337
KV784605.1	2	2	3323
KV784606.1	1	1	3317
KV784607.1	1	1	3311
KV784608.1	1	1	3308
KV784609.1	0	0	3297
KV784610.1	0	0	3255
KV784611.1	0	0	3250
KV784612.1	0	0	3246
KV784613.1	0	0	3232
KV784614.1	1	1	3135
KV784615.1	0	0	3087
KV784616.1	2	2	3070
KV784617.1	1	1	3016
KV784618.1	1	1	2970
KV784619.1	1	1	2840
KV784620.1	1	1	2749
KV784621.1	0	0	2706
KV784622.1	0	0	2625
KV784623.1	1	1	2613
