id_contig	#gene	#CDS	#b
L-elsbetiae_contig1	2	2	135236
L-elsbetiae_contig2	15	15	126029
L-elsbetiae_contig3	9	9	116516
L-elsbetiae_contig4	7	7	109723
L-elsbetiae_contig5	4	4	105818
L-elsbetiae_contig6	10	10	95854
L-elsbetiae_contig7	12	12	94512
L-elsbetiae_contig8	11	11	93870
L-elsbetiae_contig9	9	9	93110
L-elsbetiae_contig10	43	43	92172
L-elsbetiae_contig11	10	10	91491
L-elsbetiae_contig12	4	4	91249
L-elsbetiae_contig13	11	11	91186
L-elsbetiae_contig14	9	9	89660
L-elsbetiae_contig15	11	11	87856
L-elsbetiae_contig16	9	9	85595
L-elsbetiae_contig17	5	5	85261
L-elsbetiae_contig18	7	7	84531
L-elsbetiae_contig19	6	6	82432
L-elsbetiae_contig20	3	3	81838
L-elsbetiae_contig21	8	8	81387
L-elsbetiae_contig22	4	4	80658
L-elsbetiae_contig23	6	6	80631
L-elsbetiae_contig24	10	10	80573
L-elsbetiae_contig25	11	11	80283
L-elsbetiae_contig26	9	9	79774
L-elsbetiae_contig27	8	8	79541
L-elsbetiae_contig28	10	10	78667
L-elsbetiae_contig29	11	11	77822
L-elsbetiae_contig30	11	11	77669
L-elsbetiae_contig31	7	7	77071
L-elsbetiae_contig32	3	3	75021
L-elsbetiae_contig33	9	9	73080
L-elsbetiae_contig34	9	9	73028
L-elsbetiae_contig35	8	8	72913
L-elsbetiae_contig36	6	6	72175
L-elsbetiae_contig37	7	7	71750
L-elsbetiae_contig38	4	4	71231
L-elsbetiae_contig39	7	7	71058
L-elsbetiae_contig40	1	1	70205
L-elsbetiae_contig41	10	10	70093
L-elsbetiae_contig42	7	7	69768
L-elsbetiae_contig43	7	7	69122
L-elsbetiae_contig44	5	5	69015
L-elsbetiae_contig45	6	6	68527
L-elsbetiae_contig46	10	10	68465
L-elsbetiae_contig47	8	8	68440
L-elsbetiae_contig48	10	10	67833
L-elsbetiae_contig49	4	4	67805
L-elsbetiae_contig50	4	4	67760
L-elsbetiae_contig51	11	11	67680
L-elsbetiae_contig52	7	7	67670
L-elsbetiae_contig53	8	8	67234
L-elsbetiae_contig54	9	9	66680
L-elsbetiae_contig55	4	4	66636
L-elsbetiae_contig56	5	5	66586
L-elsbetiae_contig57	7	7	66565
L-elsbetiae_contig58	7	7	66469
L-elsbetiae_contig59	4	4	66330
L-elsbetiae_contig60	6	6	66137
L-elsbetiae_contig61	7	7	66077
L-elsbetiae_contig62	4	4	65937
L-elsbetiae_contig63	8	8	65724
L-elsbetiae_contig64	7	7	65035
L-elsbetiae_contig65	8	8	64970
L-elsbetiae_contig66	10	10	64816
L-elsbetiae_contig67	10	10	64696
L-elsbetiae_contig68	6	6	64519
L-elsbetiae_contig69	7	7	64412
L-elsbetiae_contig70	5	5	64354
L-elsbetiae_contig71	8	8	64247
L-elsbetiae_contig72	8	8	64192
L-elsbetiae_contig73	2	2	63936
L-elsbetiae_contig74	5	5	63778
L-elsbetiae_contig75	8	8	63663
L-elsbetiae_contig76	5	5	63540
L-elsbetiae_contig77	8	8	63505
L-elsbetiae_contig78	10	10	63462
L-elsbetiae_contig79	4	4	63324
L-elsbetiae_contig80	4	4	63298
L-elsbetiae_contig81	4	4	63202
L-elsbetiae_contig82	7	7	63177
L-elsbetiae_contig83	3	3	62882
L-elsbetiae_contig84	11	11	62445
L-elsbetiae_contig85	4	4	62222
L-elsbetiae_contig86	7	7	62121
L-elsbetiae_contig87	3	3	61804
L-elsbetiae_contig88	3	3	61751
L-elsbetiae_contig89	6	6	60946
L-elsbetiae_contig90	9	9	60661
L-elsbetiae_contig91	7	7	60532
L-elsbetiae_contig92	7	7	60421
L-elsbetiae_contig93	2	2	60354
L-elsbetiae_contig94	5	5	60297
L-elsbetiae_contig95	5	5	59756
L-elsbetiae_contig96	7	7	59472
L-elsbetiae_contig97	2	2	59311
L-elsbetiae_contig98	2	2	59217
L-elsbetiae_contig99	3	3	58913
L-elsbetiae_contig100	4	4	58895
L-elsbetiae_contig101	20	20	58838
L-elsbetiae_contig102	3	3	58731
L-elsbetiae_contig103	4	4	58648
L-elsbetiae_contig104	3	3	58641
L-elsbetiae_contig105	8	8	58452
L-elsbetiae_contig106	7	7	58332
L-elsbetiae_contig107	6	6	58024
L-elsbetiae_contig108	6	6	57744
L-elsbetiae_contig109	5	5	57724
L-elsbetiae_contig110	6	6	57650
L-elsbetiae_contig111	10	10	57649
L-elsbetiae_contig112	7	7	57645
L-elsbetiae_contig113	5	5	57583
L-elsbetiae_contig114	6	6	57578
L-elsbetiae_contig115	4	4	57536
L-elsbetiae_contig116	6	6	57499
L-elsbetiae_contig117	6	6	57407
L-elsbetiae_contig118	5	5	57381
L-elsbetiae_contig119	7	7	57351
L-elsbetiae_contig120	3	3	57349
L-elsbetiae_contig121	4	4	57296
L-elsbetiae_contig122	7	7	56967
L-elsbetiae_contig123	4	4	56863
L-elsbetiae_contig124	1	1	56753
L-elsbetiae_contig125	5	5	56555
L-elsbetiae_contig126	5	5	56512
L-elsbetiae_contig127	1	1	56431
L-elsbetiae_contig128	9	9	56374
L-elsbetiae_contig129	3	3	56277
L-elsbetiae_contig130	4	4	56196
L-elsbetiae_contig131	1	1	56104
L-elsbetiae_contig132	2	2	55972
L-elsbetiae_contig133	5	5	55816
L-elsbetiae_contig134	3	3	55683
L-elsbetiae_contig135	5	5	55546
L-elsbetiae_contig136	8	8	55420
L-elsbetiae_contig137	6	6	55399
L-elsbetiae_contig138	1	1	55377
L-elsbetiae_contig139	0	0	55375
L-elsbetiae_contig140	3	3	55114
L-elsbetiae_contig141	6	6	55101
L-elsbetiae_contig142	5	5	54892
L-elsbetiae_contig143	3	3	54828
L-elsbetiae_contig144	8	8	54826
L-elsbetiae_contig145	8	8	54753
L-elsbetiae_contig146	7	7	54700
L-elsbetiae_contig147	6	6	54676
L-elsbetiae_contig148	2	2	54656
L-elsbetiae_contig149	4	4	54487
L-elsbetiae_contig150	6	6	54487
L-elsbetiae_contig151	2	2	54456
L-elsbetiae_contig152	6	6	54346
L-elsbetiae_contig153	5	5	54327
L-elsbetiae_contig154	3	3	54258
L-elsbetiae_contig155	5	5	54256
L-elsbetiae_contig156	6	6	54205
L-elsbetiae_contig157	9	9	54188
L-elsbetiae_contig158	4	4	54154
L-elsbetiae_contig159	5	5	54117
L-elsbetiae_contig160	7	7	54092
L-elsbetiae_contig161	3	3	53787
L-elsbetiae_contig162	3	3	53446
L-elsbetiae_contig163	4	4	53369
L-elsbetiae_contig164	6	6	53344
L-elsbetiae_contig165	3	3	53331
L-elsbetiae_contig166	4	4	53043
L-elsbetiae_contig167	7	7	53034
L-elsbetiae_contig168	6	6	53018
L-elsbetiae_contig169	5	5	52986
L-elsbetiae_contig170	4	4	52961
L-elsbetiae_contig171	10	10	52946
L-elsbetiae_contig172	4	4	52817
L-elsbetiae_contig173	4	4	52815
L-elsbetiae_contig174	4	4	52795
L-elsbetiae_contig175	6	6	52538
L-elsbetiae_contig176	3	3	52533
L-elsbetiae_contig177	17	17	52489
L-elsbetiae_contig178	3	3	52442
L-elsbetiae_contig179	3	3	52384
L-elsbetiae_contig180	7	7	52269
L-elsbetiae_contig181	4	4	52229
L-elsbetiae_contig182	3	3	52207
L-elsbetiae_contig183	7	7	52107
L-elsbetiae_contig184	4	4	52092
L-elsbetiae_contig185	2	2	52083
L-elsbetiae_contig186	3	3	52013
L-elsbetiae_contig187	2	2	51901
L-elsbetiae_contig188	3	3	51774
L-elsbetiae_contig189	3	3	51756
L-elsbetiae_contig190	5	5	51701
L-elsbetiae_contig191	7	7	51609
L-elsbetiae_contig192	6	6	51585
L-elsbetiae_contig193	6	6	51562
L-elsbetiae_contig194	4	4	51540
L-elsbetiae_contig195	4	4	51507
L-elsbetiae_contig196	5	5	51283
L-elsbetiae_contig197	4	4	51248
L-elsbetiae_contig198	6	6	51192
L-elsbetiae_contig199	5	5	51052
L-elsbetiae_contig200	5	5	50960
L-elsbetiae_contig201	5	5	50859
L-elsbetiae_contig202	3	3	50837
L-elsbetiae_contig203	3	3	50820
L-elsbetiae_contig204	6	6	50706
L-elsbetiae_contig205	6	6	50627
L-elsbetiae_contig206	4	4	50618
L-elsbetiae_contig207	9	9	50610
L-elsbetiae_contig208	8	8	50555
L-elsbetiae_contig209	6	6	50504
L-elsbetiae_contig210	8	8	50498
L-elsbetiae_contig211	21	21	50425
L-elsbetiae_contig212	5	5	50274
L-elsbetiae_contig213	8	8	50260
L-elsbetiae_contig214	4	4	50180
L-elsbetiae_contig215	4	4	50146
L-elsbetiae_contig216	2	2	50102
L-elsbetiae_contig217	1	1	50048
L-elsbetiae_contig218	5	5	50044
L-elsbetiae_contig219	9	9	50034
L-elsbetiae_contig220	6	6	49973
L-elsbetiae_contig221	8	8	49927
L-elsbetiae_contig222	4	4	49921
L-elsbetiae_contig223	5	5	49790
L-elsbetiae_contig224	7	7	49729
L-elsbetiae_contig225	5	5	49698
L-elsbetiae_contig226	2	2	49586
L-elsbetiae_contig227	6	6	49470
L-elsbetiae_contig228	5	5	49422
L-elsbetiae_contig229	5	5	49369
L-elsbetiae_contig230	1	1	49354
L-elsbetiae_contig231	6	6	49312
L-elsbetiae_contig232	4	4	49192
L-elsbetiae_contig233	6	6	49165
L-elsbetiae_contig234	4	4	49127
L-elsbetiae_contig235	4	4	49036
L-elsbetiae_contig236	5	5	48967
L-elsbetiae_contig237	1	1	48953
L-elsbetiae_contig238	1	1	48946
L-elsbetiae_contig239	2	2	48878
L-elsbetiae_contig240	6	6	48812
L-elsbetiae_contig241	2	2	48750
L-elsbetiae_contig242	4	4	48739
L-elsbetiae_contig243	3	3	48650
L-elsbetiae_contig244	4	4	48647
L-elsbetiae_contig245	3	3	48575
L-elsbetiae_contig246	2	2	48513
L-elsbetiae_contig247	6	6	48328
L-elsbetiae_contig248	7	7	48215
L-elsbetiae_contig249	2	2	48177
L-elsbetiae_contig250	5	5	48113
L-elsbetiae_contig251	7	7	48104
L-elsbetiae_contig252	5	5	48067
L-elsbetiae_contig253	5	5	48067
L-elsbetiae_contig254	5	5	48051
L-elsbetiae_contig255	3	3	47998
L-elsbetiae_contig256	6	6	47748
L-elsbetiae_contig257	2	2	47734
L-elsbetiae_contig258	5	5	47646
L-elsbetiae_contig259	4	4	47605
L-elsbetiae_contig260	3	3	47597
L-elsbetiae_contig261	3	3	47590
L-elsbetiae_contig262	6	6	47580
L-elsbetiae_contig263	3	3	47556
L-elsbetiae_contig264	3	3	47532
L-elsbetiae_contig265	1	1	47503
L-elsbetiae_contig266	3	3	47409
L-elsbetiae_contig267	4	4	47393
L-elsbetiae_contig268	8	8	47238
L-elsbetiae_contig269	6	6	47185
L-elsbetiae_contig270	5	5	47178
L-elsbetiae_contig271	2	2	47150
L-elsbetiae_contig272	5	5	47138
L-elsbetiae_contig273	5	5	47120
L-elsbetiae_contig274	3	3	47114
L-elsbetiae_contig275	5	5	47097
L-elsbetiae_contig276	7	7	47091
L-elsbetiae_contig277	4	4	47046
L-elsbetiae_contig278	3	3	47032
L-elsbetiae_contig279	2	2	46952
L-elsbetiae_contig280	5	5	46944
L-elsbetiae_contig281	4	4	46928
L-elsbetiae_contig282	3	3	46820
L-elsbetiae_contig283	3	3	46810
L-elsbetiae_contig284	4	4	46738
L-elsbetiae_contig285	6	6	46733
L-elsbetiae_contig286	4	4	46681
L-elsbetiae_contig287	6	6	46644
